X,Y,Incident_Date,Latitude,Longitude,Incident_Type,Department_Apparatus_Name,ObjectId
-8799368.26160946,4288654.15111812,2018/04/07 00:00:00+00,35.91298,-79.04607,"745 - Alarm system activation, no fire - unintentional",Battalion 11,1
-8798829.47527402,4288387.50730648,2018/04/26 00:00:00+00,35.91104,-79.04123,324 - Motor vehicle accident with no injuries.,Engine 32,2
-8799410.56301596,4287205.55676209,2018/04/07 00:00:00+00,35.90244,-79.04645,"745 - Alarm system activation, no fire - unintentional",Engine 32,3
-8799017.60521346,4287208.30533528,2018/04/26 00:00:00+00,35.90246,-79.04292,"745 - Alarm system activation, no fire - unintentional",Engine 35,4
-8799994.99034262,4289014.26808741,2018/04/07 00:00:00+00,35.9156,-79.0517,611 - Dispatched & cancelled en route,Engine 31,5
-8799573.08947252,4288377.88626023,2018/04/26 00:00:00+00,35.91097,-79.04791,353 - Removal of victim(s) from stalled elevator,Engine 32,6
-8797602.73448548,4291674.28002848,2018/04/26 00:00:00+00,35.93495,-79.03021,553 - Public service,Reserve 33,7
-8799573.08947252,4288608.79371958,2018/04/07 00:00:00+00,35.91265,-79.04791,"743 - Smoke detector activation, no fire - unintentional",Battalion 11,8
-8799935.9910125,4288107.1260207,2018/04/26 00:00:00+00,35.909,-79.05117,"745 - Alarm system activation, no fire - unintentional",Engine 32,9
-8800676.26562628,4288595.04909071,2018/04/07 00:00:00+00,35.91255,-79.05782,323 - Motor vehicle/pedestrian accident (MV Ped),Engine 31,10
-8794421.22343861,4292653.21830832,2018/04/26 00:00:00+00,35.94207,-79.00163,"550 - Public service assistance, other",Reserve 33,11
-8791918.76128557,4295718.47050397,2018/04/07 00:00:00+00,35.96436,-78.97915,611 - Dispatched & cancelled en route,Truck 74,12
-8799379.39355854,4287123.09988941,2018/04/27 00:00:00+00,35.90184,-79.04617,"745 - Alarm system activation, no fire - unintentional",Engine 32,13
-8796549.65210257,4287819.88014121,2018/01/08 00:00:00+00,35.90691,-79.02075,522 - Water or steam leak,Engine 31,14
-8797095.11760746,4278012.71589313,2018/04/27 00:00:00+00,35.83552,-79.02565,111 - Building fire,Engine 35,15
-8800019.4806306,4287476.29455654,2018/04/07 00:00:00+00,35.90441,-79.05192,"745 - Alarm system activation, no fire - unintentional",Engine 31,16
-8800922.28170093,4286932.07720251,2018/04/27 00:00:00+00,35.90045,-79.06003,131 - Passenger vehicle fire,Battalion 11,17
-8797608.30046002,4294711.7512488,2018/04/08 00:00:00+00,35.95704,-79.03026,611 - Dispatched & cancelled en route,Reserve 33,18
-8801410.97426551,4284773.34172291,2018/04/27 00:00:00+00,35.88474,-79.06442,"745 - Alarm system activation, no fire - unintentional",Engine 32,19
-8798633.80900505,4286740.92044748,2018/04/08 00:00:00+00,35.899059,-79.0394723,611 - Dispatched & cancelled en route,Engine 32,20
-8799226.88585615,4294266.18398925,2018/04/27 00:00:00+00,35.9538,-79.0448,"745 - Alarm system activation, no fire - unintentional",Engine 35,21
-8799661.03187024,4288464.4759829,2018/04/08 00:00:00+00,35.9116,-79.0487,353 - Removal of victim(s) from stalled elevator,Engine 32,22
-8795957.43241155,4293093.21929532,2018/04/08 00:00:00+00,35.94527,-79.01543,"118 - Trash or rubbish fire, contained",Reserve 33,23
-8800402.41967893,4287102.48576891,2018/04/27 00:00:00+00,35.90169,-79.05536,"745 - Alarm system activation, no fire - unintentional",Battalion 11,24
-8795432.00441501,4287595.8611086,2018/04/08 00:00:00+00,35.90528,-79.01071,"745 - Alarm system activation, no fire - unintentional",Battalion 11,25
-8794465.75123492,4293656.99660114,2018/04/08 00:00:00+00,35.94937,-79.00203,322 - Motor vehicle accident with injuries,Reserve 33,26
-8799534.12765074,4288285.79953393,2018/04/27 00:00:00+00,35.9103,-79.04756,622 - No incident found on arrival at dispatch address,Engine 32,27
-8800019.4806306,4287476.29455654,2018/04/08 00:00:00+00,35.90441,-79.05192,"745 - Alarm system activation, no fire - unintentional",Battalion 11,28
-8798679.19396145,4286614.62965346,2018/04/08 00:00:00+00,35.89814,-79.03988,"745 - Alarm system activation, no fire - unintentional",Battalion 11,29
-8800169.76194317,4289445.87436698,2018/04/27 00:00:00+00,35.91874,-79.05327,"711 - Municipal alarm system, malicious false alarm",Battalion 11,30
-8799972.72644447,4287200.0596178,2018/04/27 00:00:00+00,35.9024,-79.0515,611 - Dispatched & cancelled en route,FR81,31
-8799017.60521346,4287208.30533528,2018/04/08 00:00:00+00,35.90246,-79.04292,"745 - Alarm system activation, no fire - unintentional",Engine 32,32
-8799052.11425561,4287358.10362454,2018/04/09 00:00:00+00,35.90355,-79.04323,"745 - Alarm system activation, no fire - unintentional",Engine 32,33
-8794479.10957382,4292671.09300121,2018/04/27 00:00:00+00,35.9422,-79.00215,611 - Dispatched & cancelled en route,Reserve 33,34
-8795350.74118673,4293729.87726626,2018/04/09 00:00:00+00,35.9499,-79.00998,611 - Dispatched & cancelled en route,Battalion 11,35
-8798220.55765938,4289536.59633739,2018/04/28 00:00:00+00,35.9194,-79.03576,611 - Dispatched & cancelled en route,Reserve 33,36
-8801554.57640864,4284388.63434607,2018/04/09 00:00:00+00,35.88194,-79.06571,322 - Motor vehicle accident with injuries,Battalion 11,37
-8792548.82960346,4291591.78925811,2018/01/08 00:00:00+00,35.93435,-78.98481,611 - Dispatched & cancelled en route,Engine 33,38
-8796892.51613422,4287965.56370607,2018/04/09 00:00:00+00,35.90797,-79.02383,324 - Motor vehicle accident with no injuries.,Engine 32,39
-8800531.55028825,4292893.84164048,2018/04/28 00:00:00+00,35.94382,-79.05652,611 - Dispatched & cancelled en route,Engine 34,40
-8801668.12228925,4287722.30073156,2018/04/28 00:00:00+00,35.9062,-79.06673,324 - Motor vehicle accident with no injuries.,Battalion 11,41
-8795525.51278728,4294108.03951075,2018/04/09 00:00:00+00,35.95265,-79.01155,"113 - Cooking fire, confined to container",Battalion 11,42
-8796801.23415177,4291550.54410771,2018/04/09 00:00:00+00,35.93405,-79.02301,"463 - Vehicle accident, general cleanup",Reserve 33,43
-8800749.7364902,4293678.99825985,2018/04/28 00:00:00+00,35.94953,-79.05848,622 - No incident found on arrival at dispatch address,Engine 34,44
-8801393.16314699,4295286.6150234,2018/04/09 00:00:00+00,35.96122,-79.06426,611 - Dispatched & cancelled en route,Engine 34,45
-8796958.19463378,4288709.13003667,2018/04/28 00:00:00+00,35.91338,-79.02442,671 - HazMat release investigation w/no HazMat,Engine 32,46
-8796027.56369075,4292270.98191287,2018/04/10 00:00:00+00,35.93929,-79.01606,"730 - System malfunction, other",Battalion 11,47
-8798418.70635299,4292231.10910646,2018/04/28 00:00:00+00,35.939,-79.03754,"600 - Good intent call, other",Reserve 33,48
-8799418.35538032,4287003.53853435,2018/04/28 00:00:00+00,35.90097,-79.04652,442 - Overheated motor,Engine 32,49
-8814476.54289992,4279942.12922575,2018/01/08 00:00:00+00,35.84957,-79.18179,111 - Building fire,Engine 35,50
-8799796.84164901,4289106.36098311,2018/04/29 00:00:00+00,35.91627,-79.04992,"651 - Smoke scare, odor of smoke",Battalion 11,51
-8800675.15243137,4293575.86586974,2018/04/10 00:00:00+00,35.94878,-79.05781,"550 - Public service assistance, other",Engine 34,52
-8800019.4806306,4287476.29455654,2018/04/29 00:00:00+00,35.90441,-79.05192,611 - Dispatched & cancelled en route,Engine 31,53
-8800131.9133163,4290566.20629351,2018/04/10 00:00:00+00,35.92689,-79.05293,551 - Assist police or other governmental agency,Reserve 35,54
-8799344.88451639,4288001.29770871,2018/04/29 00:00:00+00,35.90823,-79.04586,"743 - Smoke detector activation, no fire - unintentional",Engine 31,55
-8800689.62396517,4288644.52983595,2018/04/10 00:00:00+00,35.91291,-79.05794,"745 - Alarm system activation, no fire - unintentional",Reserve 35,56
-8799344.88451639,4288001.29770871,2018/04/29 00:00:00+00,35.90823,-79.04586,"743 - Smoke detector activation, no fire - unintentional",Engine 31,57
-8795226.06335704,4288030.15987348,2018/04/10 00:00:00+00,35.90844,-79.00886,735 - Alarm system sounded due to malfunction,Engine 32,58
-8802674.45048602,4273745.87478945,2018/04/29 00:00:00+00,35.80444,-79.07577,611 - Dispatched & cancelled en route,Engine 35,59
-8798055.80481301,4290897.51675051,2018/04/10 00:00:00+00,35.9293,-79.03428,322 - Motor vehicle accident with injuries,Reserve 33,60
-8799349.33729602,4289197.08012062,2018/01/09 00:00:00+00,35.91693,-79.0459,322 - Motor vehicle accident with injuries,Engine 31,61
-8799357.12966038,4288163.47658102,2018/04/10 00:00:00+00,35.90941,-79.04597,733 - Smoke detector activation due to malfunction,Engine 31,62
-8795550.00307525,4287033.77231608,2018/04/29 00:00:00+00,35.90119,-79.01177,"550 - Public service assistance, other",Truck 74,63
-8798937.45518009,4287120.35133775,2018/04/10 00:00:00+00,35.90182,-79.0422,"745 - Alarm system activation, no fire - unintentional",Battalion 11,64
-8799342.65812658,4289603.95101719,2018/04/29 00:00:00+00,35.91989,-79.04584,"445 - Arcing, shorted electrical equipment",Engine 31,65
