OBJECTID,NAME,COUNTYCODE,Shape__Area,Shape__Length
1,ALAMEDA,ALA,3393422945.34766,308409.041468975
2,ALPINE,ALP,3145923662.83594,274621.971413523
3,AMADOR,AMA,2559999505.5,357484.287126098
4,BUTTE,BUT,7338760782.48047,526733.834178834
5,CALAVERAS,CAL,4352190479.75,371782.869726162
6,COLUSA,COL,4989911831.48828,383523.401876715
7,CONTRA COSTA,CCA,3354512409.95703,322287.577505702
8,DEL NORTE,DNT,4729231956.62109,382184.492814197
9,EL DORADO,ELD,7639394869.3125,466661.150440145
10,FRESNO,FRE,24330120252.6523,1093895.20489131
11,GLENN,GLE,5795889783.42188,396931.57413627
12,HUMBOLDT,HUM,16165983952.2383,756491.671421514
13,IMPERIAL,IMP,16564881510.375,593768.98473651
14,INYO,INY,41102024994.0938,1060574.11974829
15,KERN,KRN,31841214556.0156,858404.244033948
16,KINGS,KNG,5529133561.96875,354364.072139624
17,LAKE,LAK,5730854944.79688,463242.119185938
18,LASSEN,LAS,21267442721.0273,776453.249182621
19,LOS ANGELES,LAX,15556934045.4023,942144.744890015
20,MADERA,MAD,8811360518.00391,600617.900716133
21,MARIN,MRN,2478160337.33984,440527.201107614
22,MARIPOSA,MPA,6035198403.14453,429728.175789513
23,MENDOCINO,MEN,15278495993.4531,752838.676185453
24,MERCED,MER,8057307266.96094,426886.59742861
25,MODOC,MOD,19478781501.4688,565977.062054315
26,MONO,MNO,13067096695.6797,698792.157902175
27,MONTEREY,MNT,13210102336.9609,767552.885290091
28,NAPA,NAP,3347903250.49219,357593.60210203
29,NEVADA,NEV,4217373188.51953,431416.040776511
30,ORANGE,ORA,2998780165.12109,260828.937890732
31,PLACER,PLA,6454129676.66016,534912.395570971
32,PLUMAS,PLU,11557020349.1914,654242.792867664
33,RIVERSIDE,RIV,27417453831.5547,910439.979486141
34,SACRAMENTO,SAC,4202160863.70703,404176.326787453
35,SAN BENITO,SBT,5596482339.43359,452157.962990791
36,SAN BERNARDINO,SBD,77493727034.5156,1246903.95017678
37,SAN DIEGO,SDG,15661226467.7734,740895.257317439
38,SAN FRANCISCO,SFO,446992297.488281,111979.141210194
39,SAN JOAQUIN,SJQ,5941132037.03516,410713.171891814
40,SAN LUIS OBISPO,SLO,12967116761.6563,767162.0151753
41,SAN MATEO,SMT,2273337190.21875,274724.281498409
42,SANTA BARBARA,SBA,10551556301.8672,813977.993539861
43,SANTA CLARA,SCL,5346088103.44141,422464.108061954
44,SANTA CRUZ,SCR,1818382823.91797,285092.36464171
45,SHASTA,SHA,17386471165.1836,704926.888720925
46,SIERRA,SIE,4199761460.44922,372491.798445722
47,SISKIYOU,SIS,29437084947.9805,899105.880222855
48,SOLANO,SOL,3827756139.96094,342077.980888981
49,SONOMA,SON,6789999302.88672,515817.723516414
50,STANISLAUS,STA,6255290742.89844,471872.267258051
51,SUTTER,SUT,2615911424.15625,354090.756923243
52,TEHAMA,TEH,13131226222.3672,619759.725399605
53,TRINITY,TRI,14451939353.043,806718.69378483
54,TULARE,TUL,19305406948.5547,649004.970142014
55,TUOLUMNE,TUO,9522786826.64063,637052.079004125
56,VENTURA,VEN,7090296045.20703,488785.376648143
57,YOLO,YOL,4349578885.47656,418928.163875908
58,YUBA,YUB,2786300320.52734,364828.523237321
