AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
20,54,2,2020/04/04 04:00:00+00,52,2022/10/09 10:17:00+00,1
0,3,0,2020/04/11 04:00:00+00,3,2022/10/09 10:17:00+00,2
0,4,0,2020/04/25 04:00:00+00,4,2022/10/09 10:17:00+00,3
20,74,5,2020/04/25 04:00:00+00,69,2022/10/09 10:17:00+00,4
65,58,38,2020/05/02 04:00:00+00,20,2022/10/09 10:17:00+00,5
65,39,16,2020/05/09 04:00:00+00,23,2022/10/09 10:17:00+00,6
0,24,3,2020/05/16 04:00:00+00,21,2022/10/09 10:17:00+00,7
20,165,4,2020/06/06 04:00:00+00,161,2022/10/09 10:17:00+00,8
0,35,0,2020/06/13 04:00:00+00,35,2022/10/09 10:17:00+00,9
20,159,9,2020/06/13 04:00:00+00,150,2022/10/09 10:17:00+00,10
65,69,38,2020/06/13 04:00:00+00,31,2022/10/09 10:17:00+00,11
20,137,9,2020/06/20 04:00:00+00,128,2022/10/09 10:17:00+00,12
45,74,2,2020/06/27 04:00:00+00,72,2022/10/09 10:17:00+00,13
65,28,9,2020/06/27 04:00:00+00,19,2022/10/09 10:17:00+00,14
65,54,22,2020/07/04 04:00:00+00,32,2022/10/09 10:17:00+00,15
20,527,5,2020/08/01 04:00:00+00,522,2022/10/09 10:17:00+00,16
20,534,48,2020/08/08 04:00:00+00,486,2022/10/09 10:17:00+00,17
65,126,19,2020/08/08 04:00:00+00,107,2022/10/09 10:17:00+00,18
0,230,13,2020/08/29 04:00:00+00,217,2022/10/09 10:17:00+00,19
45,199,4,2020/09/12 04:00:00+00,195,2022/10/09 10:17:00+00,20
65,118,27,2020/09/12 04:00:00+00,91,2022/10/09 10:17:00+00,21
45,257,10,2020/09/19 04:00:00+00,247,2022/10/09 10:17:00+00,22
0,187,4,2020/10/10 04:00:00+00,183,2022/10/09 10:17:00+00,23
45,393,10,2020/10/17 04:00:00+00,383,2022/10/09 10:17:00+00,24
65,318,77,2020/10/17 04:00:00+00,241,2022/10/09 10:17:00+00,25
0,278,3,2020/10/31 04:00:00+00,275,2022/10/09 10:17:00+00,26
0,539,4,2020/11/21 05:00:00+00,535,2022/10/09 10:17:00+00,27
