OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,Segment_ID,CT2022_AQL_USE_NAME,CT2022_AQL_USE_ATTAINMENT,CT2022_REC_USE_NAME,CT2022_REC_USE_ATTAINMENT,CT2022_FISHCON_USE_NAME,CT2022_FISHCON_USE_ATTAINMENT,CT2022_SHLFSH_USE_NAME,CT2022_SHLFSH_USE_ATTAINMENT,Impaired,Shape__Area,Shape__Length
1,2022,CT-E1_005,"LIS EB Inner - Inner Stonington Harbor, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",ESTUARY,0.226,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,6302944.70800781,26569.7945214328
3,2022,CT-W1_004,"LIS WB Inner - Pine Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Pine Creek Point, US to saltwater limit at Oldfield Road crossing, Fairfield.",ESTUARY,0.06,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_004,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,1675498.77648926,32505.3262817061
4,2022,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries.  Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",ESTUARY,0.231,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,CT-C2_002,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,6430481.4574585,14980.2404509157
5,2022,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries.  Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",ESTUARY,0.516,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,False,CT-C2_003,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,14379845.9512329,32526.424736347
6,2022,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",ESTUARY,0.063,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_017,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,1756834.61560059,18206.9738210634
8,2022,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",ESTUARY,0.157,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,CT-W1_003-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,4374296.52044678,53973.6698435171
9,2022,CT-W1_002-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",ESTUARY,0.442,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_002-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,12327169.8567505,33356.4149221658
10,2022,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Byram River, US to saltwater limit just above Route 1 crossing, out to CT/NY border (includes CT half of River), I95 crosses river in seg, Greenwich.",ESTUARY,0.037,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_022-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,1034815.00085449,22885.8049633945
12,2022,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",ESTUARY,0.207,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,True,False,CT-E1_009,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,5757117.02178955,16817.5379882268
13,2022,CT-E1_022,"LIS EB Inner - Bride Brook, East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Bride Brook from outlet at RR crossing, Eastern end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, East Lyme.",ESTUARY,0.029,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_022,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,818315.725708008,16954.221921481
14,2022,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",ESTUARY,0.041,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_026-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,1145495.85449219,17338.9153350762
16,2022,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",ESTUARY,0.314,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,CT-C1_009-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,8756572.60516357,48802.7672824204
17,2022,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), and US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",ESTUARY,0.272,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,CT-C1_018-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,7585004.57159424,57721.04068099
18,2022,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",ESTUARY,0.022,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_007,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,607017.854156494,17920.684539002
