OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,226.378846201902,-3723.61662789173
2,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,228.386318501612,-3542.99822356623
3,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,284.236187740462,-5179.67628599726
4,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,395.187944756156,-10002.3385673358
5,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,364.528689657836,-9429.78991514957
6,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,214.728019826981,-3253.36906154483
7,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,240.887535051848,-4016.45779102111
8,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,453.858902769889,-5514.71457172336
9,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,215.274159316531,-3037.83184483179
10,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,378.097776176817,-5722.52802484709
11,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,232.310276329328,-3504.24929997803
12,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,802.853271347405,-22237.4836484152
13,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,824.853156138122,-25561.9259784737
14,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,360.417702593955,-5214.4082365651
15,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,348.175270850322,-8756.34732701283
16,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,323.651515699143,-6257.78379804864
17,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,476.119850105523,-14743.9411071042
18,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,261.774999711419,-3365.27117254382
19,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,247.879102709257,-4450.70786821179
20,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,241.575885867345,-3543.46190774369
21,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,192.374514885919,-2640.45575738825
22,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,428.14961275217,-10829.224482516
23,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,2426.85128301625,-263731.561604078
24,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,169.786870179243,-1916.34461421815
25,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,212.508744542554,-3158.0635954036
26,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,328.746441984793,-5695.4135507822
27,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,207.161463331665,-2839.28539502279
28,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,347.729254536036,-8136.91345310095
29,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,1386.68960391554,-134760.387179351
30,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,2425.00930866582,-322486.975153621
31,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,215.222642161442,-3238.84878762995
32,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,238.211280245138,-4007.25630142713
33,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,810.762072936619,-34509.0256973833
34,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,352.958654299224,-7926.21826426446
35,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,1296.9973268494,-97986.0103363024
36,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,283.288700152377,-5485.51419782736
37,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,247.584543300349,-4199.4979663663
38,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,666.068188665304,-23014.2019370761
39,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,495.51427140836,-12732.4065114156
40,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,301.869600583473,-4862.45563695743
41,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,219.890788966775,-3456.80168607584
42,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,2625.40883454829,-306876.128053876
43,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,607.445176815145,-23376.8665688115
44,Land,Other States,RI,Rhode Island,CFIPS,5,Newport,False, , , ,305.884470120079,-6619.09435167904
45,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,801.626978934663,-42555.5419442542
46,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,989.105440105442,-48823.7295001556
47,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,831.551356056244,-30480.5262290741
48,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,2151.42070761305,-153600.752852948
49,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,831.039338425855,-29137.5283491311
50,Land,Connecticut,CT,Connecticut,CNTY_COD,5,New Haven,False, , , ,106.647702994779,-790.719324248218
51,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,9243.73830124612,-277173.149405076
52,Land,Connecticut,CT,Connecticut,CNTY_COD,5,New Haven,False, , , ,127.954063717244,-1109.24956212755
53,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,2279.17248217702,-114854.113391887
54,Land,Connecticut,CT,Connecticut,CNTY_COD,5,New Haven,False, , , ,2452.48950174354,-356584.640410922
55,Land,Connecticut,CT,Connecticut,CNTY_COD,5,New Haven,False, , , ,98.6313949937849,-680.929393930488
