Co,Agency Name,Cabinet Code,Cabinet,Merit Classification,FY 2012 Emp Count,Average Age,Average Years of Service,Total Turnover
40,"Agriculture, Food & Forestry Department (0040) ",300,Agriculture,Merit,406,47.57,14.53,6.4%
39,Boll Weevil Eradication (0039) ,300,Agriculture,Non-Merit,10,52.55,12.31,0%
645,Conservation Commission (0645) ,300,Agriculture,Merit,63,50.83,15.26,12.7%
117,Oklahoma State Board of Commercial Pet Breeders (0117) ,300,Agriculture,0,4,42.37,8.29,100%
535,Peanut Commission (0535) ,300,Agriculture,Merit,1,63.78,25.14,0%
875,Wheat Commission (0875) ,300,Agriculture,Non-Merit,4,39.46,5.55,25%
160,Commerce Department (0160) ,400,Commerce,Merit,133,47.78,12.92,13.5%
290,Employment Security Commission (0290) ,400,Commerce,Merit,668,49.78,12.29,15.3%
370,Industrial Finance Authority (0370) ,400,Commerce,Non-Merit,7,61.82,21.15,28.6%
405,Labor Department (0405) ,400,Commerce,Merit,85,50.49,12.98,17.6%
619,Physician Manpower Training Commission (0619) ,500,Education (excl. Higher Education),Merit,6,55.89,22.9,0%
606,Ardmore Higher Education Center (0606) ,500,Education and Workforce Development (excl. Higher Education),0,16,53.39,7.43,12.5%
55,Arts Council (0055) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,13,43.82,9.47,23.1%
800,Career and Technology Education (0800) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,273,50.58,15.48,7%
265,Education Department (0265) ,500,Education and Workforce Development (excl. Higher Education),Merit,271,48.42,10.71,26.9%
266,Educational Television Authority (0266) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,62,50.2,11.4,11.3%
430,Libraries Department (0430) ,500,Education and Workforce Development (excl. Higher Education),Merit,48,54.64,18.26,14.6%
563,Private Vocational Schools Board (0563) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,1,66.01,36.79,100%
620,Quartz Mountain Arts & Conference Center & Nature Park (0620) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,12,55.1,18.34,8.3%
610,Regional University System of Oklahoma (0610) ,500,Education and Workforce Development (excl. Higher Education),0,7,55.1,12.98,28.6%
629,School of Science & Mathematics (0629) ,500,Education and Workforce Development (excl. Higher Education),Merit,58,51.15,10.82,13.8%
269,Teacher Preparation Commission (0269) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,10,56.26,13.89,20%
