OBJECTID,TRBG80,TRACT80,BLKGRP80,AREA_SQFT,AREA_ACRES,SF1LOGRECNO,SF3LOGRECNO,SHAPE_Length,SHAPE_Area
1,200.5,200,5,3562086.75770074,81.8,5110.0,2639.0,7911.47291418979,3562086.51562856
2,200.6,200,6,3271751.54283747,75.1,5112.0,2640.0,7470.03660124823,3271751.67189663
3,300.1,300,1,6264639.76494689,143.8,5116.0,2642.0,10976.8016096813,6264639.46068124
4,300.3,300,3,2650018.80793099,60.8,5120.0,2644.0,6644.97564396653,2650018.89030668
5,400.1,400,1,10302737.0302685,236.5,5124.0,2646.0,13134.5620410856,10302737.0827596
6,400.2,400,2,7664661.20249734,176.0,5126.0,2647.0,15240.2437671537,7664661.28860586
7,400.3,400,3,3473638.03780655,79.7,5128.0,2648.0,7896.61861253852,3473637.87391995
8,400.4,400,4,2885287.01083391,66.2,5130.0,2649.0,8351.34309769619,2885287.06382537
9,400.5,400,5,2726152.62919119,62.6,5132.0,2650.0,8343.54020220706,2726152.55517765
10,400.6,400,6,2607972.29898946,59.9,5134.0,2651.0,7866.39218082738,2607972.29661307
11,400.7,400,7,4379969.21129146,100.6,5136.0,2652.0,9268.20115835188,4379969.23793252
12,500.1,500,1,9904052.65057692,227.4,5140.0,2654.0,17086.726964223,9904052.60075028
13,500.2,500,2,2599622.93705257,59.7,5142.0,2655.0,6691.97697943062,2599623.02279231
14,500.3,500,3,6989675.72243493,160.5,5144.0,2656.0,16224.1499807737,6989675.68612774
15,500.4,500,4,10868128.0289232,249.5,5146.0,2657.0,22473.4166117004,10868127.9789269
16,600.2,600,2,5353567.52968542,122.9,5152.0,2660.0,10591.0011656954,5353567.67631555
17,600.3,600,3,11189849.5288019,256.9,5154.0,2661.0,17703.5041201121,11189849.4818228
18,600.4,600,4,8288471.64247938,190.3,5156.0,2662.0,18469.4888049992,8288471.64385255
19,600.5,600,5,5956660.15486511,136.7,5158.0,2663.0,12197.4775276927,5956659.81122054
20,600.6,600,6,6229901.76808146,143.0,5160.0,2664.0,10691.3774527489,6229901.94142857
21,700.1,700,1,1319251.46346204,30.3,5164.0,2666.0,4810.07498670631,1319251.52452547
22,700.2,700,2,1706321.51308222,39.2,5166.0,2667.0,5753.69062861216,1706321.30059057
23,700.3,700,3,2334541.40266505,53.6,5168.0,2668.0,8048.77102379519,2334541.33132094
24,700.4,700,4,1744915.30920793,40.1,5170.0,2669.0,5284.67875612732,1744915.41529843
25,700.5,700,5,1743419.95778948,40.0,5172.0,2670.0,5284.36921676407,1743419.85651012
26,700.6,700,6,3508405.49093258,80.5,5174.0,2671.0,7953.70702603005,3508405.62746887
27,700.7,700,7,1564596.31131704,35.9,5176.0,2672.0,5364.60082525379,1564596.39060219
28,800.1,800,1,2417528.58015031,55.5,5180.0,2674.0,6193.96775197753,2417528.68764122
29,800.2,800,2,4335158.50734338,99.5,5182.0,2675.0,8556.14983312567,4335158.42342301
30,800.3,800,3,5539863.50043531,127.2,5184.0,2676.0,9656.35248840964,5539863.77527821
31,900.1,900,1,3282462.53667285,75.4,5188.0,2678.0,8989.01814365541,3282462.52958885
32,900.2,900,2,2342927.86837577,53.8,5190.0,2679.0,7718.29177148485,2342927.68605617
33,900.3,900,3,3779735.99214877,86.8,5192.0,2680.0,18947.2530247613,3779735.9394659
34,1000.1,1000,1,4002626.07263476,91.9,5196.0,2682.0,8820.8240328645,4002626.01989374
35,1000.2,1000,2,6274243.37476595,144.0,5198.0,2683.0,10923.4170354694,6274243.30315578
36,1100.1,1100,1,3419273.69773924,78.5,5202.0,2685.0,8582.70900788155,3419273.30665919
37,1100.2,1100,2,4414316.10282763,101.3,5204.0,2686.0,9037.60495532536,4414316.33232175
38,1100.3,1100,3,3036050.21516896,69.7,5206.0,2687.0,7033.78265003927,3036050.46503533
39,1200.1,1200,1,2543695.92295062,58.4,5210.0,2689.0,6503.22814872184,2543695.73920207
40,1200.2,1200,2,3209513.44175524,73.7,5212.0,2690.0,9823.67146160657,3209513.37019236
41,1200.3,1200,3,4862884.16313574,111.6,5214.0,2691.0,9979.59537524349,4862884.3101119
42,1200.4,1200,4,9664251.44163681,221.9,5216.0,2692.0,13776.8975843576,9664250.87773128
43,1300.1,1300,1,3966681.64990006,91.1,5220.0,2694.0,7987.64391665131,3966681.98239022
44,1300.2,1300,2,3300910.47723113,75.8,5222.0,2695.0,8664.69598549097,3300910.3970675
45,1300.3,1300,3,3330008.1447177,76.4,5224.0,2696.0,7943.24302915504,3330008.35674897
46,1300.4,1300,4,2638495.92598056,60.6,5226.0,2697.0,6875.55156813897,2638495.6935425
47,1400.1,1400,1,2170720.99884048,49.8,5230.0,2699.0,5925.91535122156,2170721.19209848
48,1400.2,1400,2,2613197.98018892,60.0,5232.0,2700.0,6596.58682997314,2613198.01578908
49,1400.3,1400,3,3190180.20739246,73.2,5234.0,2701.0,9861.55940592571,3190180.0990714
50,1400.4,1400,4,3069519.79459512,70.5,5236.0,2702.0,7619.92220354321,3069519.54551337
51,1400.5,1400,5,7701740.71611931,176.8,5238.0,2703.0,16659.3934126587,7701740.68425607
52,1400.6,1400,6,4233021.83972644,97.2,5240.0,2704.0,12205.255234267,4233021.97210681
53,1500.1,1500,1,4941279.06706016,113.4,5244.0,2706.0,10459.5620074224,4941279.05052189
54,1500.2,1500,2,4614263.6934052,105.9,5246.0,2707.0,9644.25218517744,4614263.73296117
55,1500.3,1500,3,2801870.63078194,64.3,5248.0,2708.0,11204.9954633255,2801870.72244455
56,1600.1,1600,1,9470553.28622353,217.4,5252.0,2710.0,17303.8996109048,9470553.37344814
57,1600.3,1600,3,4026670.00387445,92.4,5256.0,2712.0,9721.22618444355,4026669.99884827
58,1600.4,1600,4,3235357.77236094,74.3,5258.0,2713.0,7821.25469635154,3235357.94365323
59,1600.5,1600,5,3221203.06534959,73.9,5260.0,2714.0,8971.92525533555,3221203.10491378
60,1700.1,1700,1,2843215.76045634,65.3,5264.0,2716.0,7933.91059643569,2843215.79977095
61,1700.2,1700,2,3277403.98300204,75.2,5266.0,2717.0,7927.08383335557,3277404.04609045
62,1700.3,1700,3,3484689.57455367,80.0,5268.0,2718.0,9238.35815978244,3484689.72906588
63,1700.4,1700,4,3497494.51351812,80.3,5270.0,2719.0,7946.48916173437,3497494.61330217
64,1700.5,1700,5,3167748.98107735,72.7,5272.0,2720.0,7945.95795830905,3167749.09489041
65,1700.6,1700,6,3416526.81387448,78.4,5274.0,2721.0,8066.59675824454,3416526.5912666
66,1700.7,1700,7,3699754.6460339,84.9,5276.0,2722.0,9880.10631455517,3699754.40478974
67,1800.1,1800,1,4730563.38347403,108.6,5280.0,2724.0,9489.11890270251,4730563.57588261
68,1800.2,1800,2,2627039.94248271,60.3,5282.0,2725.0,7420.22294738286,2627039.91775421
69,1800.3,1800,3,2985264.85749123,68.5,5284.0,2726.0,8212.56032656719,2985264.64635199
70,1900.1,1900,1,2683551.25377482,61.6,5288.0,2728.0,6667.50758699119,2683551.27923128
71,1900.2,1900,2,2666374.87994294,61.2,5290.0,2729.0,6662.78951365089,2666374.93046604
72,1900.3,1900,3,4451056.22176223,102.2,5292.0,2730.0,9430.92092572117,4451056.29662746
73,1900.4,1900,4,6909836.86626316,158.6,5294.0,2731.0,13684.727115754,6909837.0190193
74,2000.1,2000,1,3029866.64639024,69.6,5298.0,2733.0,8200.45021878141,3029866.89362115
75,2000.2,2000,2,2884986.28564258,66.2,5300.0,2734.0,8369.1866400738,2884986.24644628
76,2000.3,2000,3,2878124.81074991,66.1,5302.0,2735.0,7310.59489307485,2878124.92119642
77,2000.4,2000,4,3313755.04134953,76.1,5304.0,2736.0,7311.55724386918,3313754.59839737
78,4200.1,4200,1,5968365.80992808,137.0,5556.0,2862.0,12844.0245296447,5968365.68012468
79,2100.1,2100,1,3934202.17043805,90.3,5308.0,2738.0,9710.23431320477,3934202.07564986
80,2100.2,2100,2,2179652.03823738,50.0,5310.0,2739.0,5921.78329840479,2179652.04554473
81,2100.3,2100,3,4705262.70217154,108.0,5312.0,2740.0,9742.9399876538,4705262.67643439
82,2100.4,2100,4,3825100.03105316,87.8,5314.0,2741.0,9293.82975446987,3825100.25211327
83,2200.1,2200,1,6632373.43689191,152.3,5318.0,2743.0,11788.7908045389,6632373.63711173
84,2200.2,2200,2,6105472.63608708,140.2,5320.0,2744.0,10789.8999175944,6105472.62954268
85,2200.3,2200,3,6044121.22641042,138.8,5322.0,2745.0,21564.745609713,6044120.95170206
86,2200.4,2200,4,4211348.32781736,96.7,5324.0,2746.0,13185.2172592677,4211348.2598712
87,2200.5,2200,5,7890655.01836426,181.1,5326.0,2747.0,15218.3521408809,7890654.9981418
88,2300.9,2300,9,20312271.1011293,466.3,5330.0,2749.0,22737.7364456144,20312271.2558637
89,2400.1,2400,1,2585676.76679752,59.4,5334.0,2751.0,6558.13284084653,2585676.72812252
90,2400.2,2400,2,1917294.65982437,44.0,5336.0,2752.0,6902.53900160791,1917294.66905262
91,2400.3,2400,3,1736789.38643925,39.9,5338.0,2753.0,5271.13788838925,1736789.56344326
92,2400.4,2400,4,2420358.1705279,55.6,5340.0,2754.0,7871.12879086288,2420357.78697937
93,2400.5,2400,5,1700544.70998245,39.0,5342.0,2755.0,5207.37287121413,1700544.85261041
94,2500.1,2500,1,4008308.7081791,92.0,5346.0,2757.0,8754.11672188452,4008308.64347236
95,2500.2,2500,2,2688498.33907173,61.7,5348.0,2758.0,7441.39651201992,2688498.19494735
96,2600.1,2600,1,2641093.7000731,60.6,5352.0,2760.0,6637.12453865793,2641093.83537991
97,2600.2,2600,2,2567977.93650845,59.0,5354.0,2761.0,6656.96762005752,2567977.85706453
98,2600.3,2600,3,2854618.88202898,65.5,5356.0,2762.0,7964.77191558031,2854618.96136491
99,2600.4,2600,4,3191513.98113848,73.3,5358.0,2763.0,7732.3235677525,3191513.92462137
100,2600.5,2600,5,2856142.60769554,65.6,5360.0,2764.0,7992.24760004797,2856142.4802781
101,2700.1,2700,1,2191897.23913194,50.3,5364.0,2766.0,5966.87716328451,2191897.18889823
102,2700.2,2700,2,2962372.90220182,68.0,5366.0,2767.0,7958.22451444058,2962372.87253374
103,2700.3,2700,3,2080025.72262633,47.8,5368.0,2768.0,8858.52615471812,2080025.61751302
104,2700.4,2700,4,2465404.61140667,56.6,5370.0,2769.0,6874.92864099187,2465404.60511541
105,2700.5,2700,5,2762077.75480034,63.4,5372.0,2770.0,8058.05243934358,2762077.976171
106,2700.6,2700,6,3304779.10511403,75.9,5374.0,2771.0,11993.1518324489,3304779.11667224
107,2700.7,2700,7,1480703.34300513,34.0,5376.0,2772.0,5302.31367548228,1480703.41722066
108,2800.1,2800,1,2108641.3953796,48.4,5380.0,2774.0,5830.93104356117,2108641.35048171
109,2800.2,2800,2,2144624.52683313,49.2,5382.0,2775.0,5888.15445376864,2144624.40552312
110,2800.3,2800,3,2039576.02115149,46.8,5384.0,2776.0,6768.30663969446,2039576.17230289
111,2800.4,2800,4,2144676.29379445,49.2,5386.0,2777.0,5881.60160641895,2144676.5038604
112,2800.5,2800,5,2117319.5829243,48.6,5388.0,2778.0,5845.99643036989,2117319.45476375
113,2900.1,2900,1,2116045.90357904,48.6,5392.0,2780.0,5845.81204535077,2116045.85592592
114,2900.2,2900,2,2114716.59045082,48.5,5394.0,2781.0,5815.4976700314,2114716.52394751
115,2900.3,2900,3,1442110.3484521,33.1,5396.0,2782.0,5155.52872198795,1442110.32572714
116,2900.4,2900,4,2130519.53352148,48.9,5398.0,2783.0,6460.77975227172,2130519.60354726
117,2900.5,2900,5,2838677.05802226,65.2,5400.0,2784.0,6943.77296963694,2838677.05515282
118,3000.1,3000,1,2916719.90903397,67.0,5404.0,2786.0,7554.30456545153,2916719.74129033
119,3000.2,3000,2,2180748.51358154,50.1,5406.0,2787.0,5958.3072441337,2180748.58036771
120,3000.3,3000,3,2120338.43365341,48.7,5408.0,2788.0,5822.80464006386,2120338.43600568
121,3000.4,3000,4,2086629.68607667,47.9,5410.0,2789.0,6941.00443170571,2086629.59835264
122,3000.5,3000,5,2513784.45998791,57.7,5412.0,2790.0,8039.82364389992,2513784.33848318
123,3000.6,3000,6,2143438.3126297,49.2,5414.0,2791.0,5871.99878640948,2143438.23196991
124,3000.7,3000,7,2095598.23924383,48.1,5416.0,2792.0,5810.63544174109,2095598.48413872
125,3100.1,3100,1,2210459.69206709,50.7,5420.0,2794.0,5980.75556400004,2210459.83451285
126,3100.2,3100,2,2131826.7023971,48.9,5422.0,2795.0,5882.47680115594,2131826.72205549
127,3100.3,3100,3,2118530.84155295,48.6,5424.0,2796.0,5895.28839723407,2118530.90524807
128,3100.4,3100,4,2290635.91155748,52.6,5426.0,2797.0,6097.53400519348,2290635.64334661
129,3100.5,3100,5,1854531.96851403,42.6,5428.0,2798.0,5684.34276421896,1854532.02988785
130,3100.6,3100,6,6975546.64992791,160.1,5430.0,2799.0,16943.1411748169,6975546.65783266
131,3100.7,3100,7,2652844.77191575,60.9,5432.0,2800.0,7411.81242928984,2652844.76050539
132,3100.8,3100,8,2890300.93783557,66.4,5434.0,2801.0,7543.72235661744,2890300.95881701
133,3200.1,3200,1,2052437.61821178,47.1,5438.0,2803.0,5758.88177344474,2052437.65832812
134,3200.2,3200,2,2089555.35648014,48.0,5440.0,2804.0,5795.87073400212,2089555.27515477
135,3200.3,3200,3,3694089.15319778,84.8,5442.0,2805.0,17422.7515381006,3694089.36446166
136,3200.4,3200,4,2742048.35856572,62.9,5444.0,2806.0,8190.87110913458,2742048.39444027
137,3200.5,3200,5,2069476.73383367,47.5,5446.0,2807.0,5781.35489176585,2069476.68696989
