OBJECTID,ZCTA5CE10,ALAND10,County,GlobalID,INTPTLON10_1,ID,Zip,Visits_Age_0_to_17
1,48371,110655621,,934f66a2-f12b-4b3e-b9c6-2e22052a5703,-83.2915307,,,
2,48380,65730039,,2f1d0f19-8027-408a-9b8b-60ae9951c3f8,-83.6668237,44.0,48380.0,2.0
3,48081,10178038,,af8fec7d-cde1-4321-955f-d25e9c9b1689,-82.8950389,,,
4,48315,33063561,,948472bf-36d4-4d89-864c-62a48708331a,-82.996562,18.0,48315.0,1.0
5,48317,31361812,,8a478f90-bd2d-486d-89a6-71e2ae577915,-83.0519717,19.0,48317.0,6.0
6,48088,11490620,,2f9c923a-8980-4027-b43e-7256d6650be1,-82.9829908,,,
7,48048,49265723,,9d2642bd-4cb4-4639-9a79-d5fedc0abc7d,-82.7958699,7.0,48048.0,2.0
8,48236,19463663,Wayne,fb102a47-5808-422e-96fd-96e4d4b610fb,-82.8931944,,,
9,48383,38623150,,cbf4bde4-996e-4b6e-afb9-89d3fae40dd6,-83.525841,45.0,48383.0,4.0
10,48335,19519357,,ec0ee584-395f-4ebb-a9ef-c9c14a5abddc,-83.4051512,,,
11,48320,2832858,,8141ae42-ba37-4093-94d6-85691f03e26d,-83.3380921,,,
12,48165,24100791,,5784671a-4771-46f5-a7b3-8a8895e18467,-83.6169224,,,
13,48363,52310794,,b60df2f6-6e69-4aee-b6ff-9b08cf14b24e,-83.1624995,,,
14,48073,19104791,,52b73d29-993a-44fb-be55-ee27e57fb95f,-83.1643617,,,
15,48083,22379873,,35348dc1-0992-4913-b369-617c8f8a8ce3,-83.1168587,,,
16,48213,16923386,Wayne,a7ef4979-5356-461f-94ec-359bf984504e,-82.9952131,80.0,48213.0,4.0
17,48216,5747286,Wayne,b9443bfc-a601-4b9c-a141-859713daa49e,-83.0787461,83.0,48216.0,4.0
18,48221,14119737,Wayne,2dce2617-8835-42f9-80f2-8562ede06794,-83.1486085,86.0,48221.0,17.0
19,48215,10395926,Wayne,afc6319d-6e98-49e6-9601-a206ebf95ff9,-82.9543435,82.0,48215.0,7.0
20,48227,19504196,Wayne,4ed6a307-87cf-418a-b52d-4e1195b3f66c,-83.1925916,91.0,48227.0,23.0
21,48128,6123655,Wayne,eeae68df-5287-482e-9488-92095094288e,-83.2599691,,,
24,48230,8360759,Wayne,559f45b7-d6a4-4c37-8085-94b30720a776,-82.9218416,,,
25,48187,46813620,Wayne,66900243-85ab-441c-8eeb-f7d7d45f573c,-83.4835758,65.0,48187.0,4.0
26,48225,6854875,Wayne,e7e50808-3f70-484b-91a6-6bc9b629f5da,-82.92961,89.0,48225.0,9.0
27,48218,6872362,Wayne,e7464adf-65b7-4f0b-8502-d51ab67fde50,-83.1266716,84.0,48218.0,4.0
28,48178,131199506,,fd85caed-fbad-4efc-b7e5-f4d417587591,-83.6568721,,,
29,48062,102252058,,cbf5c56d-6020-415f-8fbe-81df8526037a,-82.7964708,8.0,48062.0,2.0
30,48036,21551261,,658a671d-622b-4f92-aa55-669930ded1e0,-82.9131436,4.0,48036.0,7.0
31,48312,29136295,,6d309f21-f40a-48c5-abf1-b24e28d618e6,-83.0089258,,,
32,48043,10615453,,f953061b-7b51-441f-8435-544b41be765e,-82.8815059,5.0,48043.0,8.0
33,48309,40034011,,5f3eadaa-260a-4f13-b2a3-ad4d13fd00a3,-83.1835878,33.0,48309.0,1.0
34,48301,19082075,,eb769ffb-c88b-4fcc-b8bd-73cbed041b30,-83.2821684,31.0,48301.0,2.0
35,48331,24056347,,a3dbb0af-034e-42ed-b5bc-4fae33aa9288,-83.4089353,37.0,48331.0,4.0
36,48357,30436623,,d0d2246c-457c-40d1-bd5a-f5eaf4d83a08,-83.6464004,,,
37,48356,36733900,,c442a269-5d4c-436b-930b-378a8af0cc21,-83.5929054,,,
38,48360,30939560,,bf2d1bdf-e7ba-4c18-9a54-936f10501dd8,-83.2600828,,,
39,48328,23415085,,360cfc40-8876-44e4-8ec0-abc3082ca59f,-83.3590983,36.0,48328.0,2.0
40,48205,16531627,Wayne,6f98db83-3195-4929-974c-3416f46a8cd6,-82.9811418,72.0,48205.0,17.0
41,48214,13014076,Wayne,3e019424-36c7-4874-90b2-c198a9566595,-82.9876441,81.0,48214.0,3.0
43,48101,18182907,Wayne,571e3216-9e5a-468d-8bc6-86b6f4a51480,-83.2103905,48.0,48101.0,6.0
45,48223,15679754,Wayne,7ce8c10e-3968-4273-aabb-d22dd5104843,-83.2463272,87.0,48223.0,4.0
46,48217,5921036,Wayne,3358ce25-c806-4b43-8ba1-e4ca766daa6a,-83.1550783,,,
48,48185,31512594,Wayne,4e3f426b-2523-4bdd-bfc2-855ac4a14570,-83.3842091,63.0,48185.0,2.0
49,48208,8190764,Wayne,75ac66bf-c1bd-45a0-abb7-912d1dff4169,-83.0919366,75.0,48208.0,2.0
50,48096,94741211,,0eccb61f-3191-437d-9d76-02492e259f6b,-82.9204704,,,
51,48313,23503570,,3c626dc0-40a3-4093-a546-168495efc8e3,-83.0029032,16.0,48313.0,2.0
52,48091,20698268,,3dc0f8c4-0f73-430d-9c04-bd653ee4b287,-83.057986,12.0,48091.0,10.0
53,48316,28762237,,8dc0114d-23e7-4fa2-856b-128bcd975b95,-83.0572439,,,
54,48047,46696164,,fe1a3a65-f67a-4fd9-be93-b601d51f2f56,-82.7738418,6.0,48047.0,4.0
55,48045,37852081,,de032eb5-a36a-4eb5-a0e3-07446a79bcc0,-82.8181134,,,
56,48397,462102,,ffbcf8c4-dd1f-4bb7-b957-cc47baa5aa74,-83.0410352,,,
57,48340,19451041,,312a49f2-96cb-4f91-be80-c37cbfea5631,-83.2879038,39.0,48340.0,12.0
58,48220,11479188,,a0712063-4bd3-40a0-b3fe-fc87695755da,-83.1352127,29.0,48220.0,2.0
59,48329,26456696,,689791b9-2f00-472b-ba44-9075e3b74d9e,-83.3886216,,,
60,48076,18438102,,a322a022-2d8b-4ef0-a638-dfb9b3681847,-83.2308736,27.0,48076.0,2.0
61,48393,34281698,,dc44f60a-5def-40ea-8ba5-53a848e3dd76,-83.5450877,47.0,48393.0,6.0
62,48359,27891596,,ddd9b438-dd1e-4bb6-8c9f-17b924ffecbb,-83.2755218,43.0,48359.0,2.0
63,48167,46056638,Wayne,73e0302a-bec0-4283-a787-37dc3c147d2d,-83.5246583,,,
64,48070,3847786,,4d668be3-623c-434b-8da8-e9501134f6cc,-83.1680876,,,
65,48207,16061703,Wayne,d5910183-a2fb-45ad-b4c8-b6b4f70febba,-83.01896,74.0,48207.0,5.0
67,48188,46715127,Wayne,f415b899-fae0-4502-982d-e4c3cbe4fe9b,-83.4827194,66.0,48188.0,2.0
68,48126,25386287,Wayne,d8deeaf5-de05-42ba-9a9e-6b0cb2123072,-83.1832135,53.0,48126.0,24.0
69,48228,22299441,Wayne,17ae8144-cd6d-431b-831a-d3240f956e11,-83.2170142,92.0,48228.0,30.0
70,48219,21773613,Wayne,0f688c7e-07bb-4e57-90d9-063b5d401c39,-83.2514284,85.0,48219.0,27.0
71,48203,20756114,Wayne,4cd19992-9fbf-4a5c-998a-f2ed8aa5040b,-83.1043384,71.0,48203.0,21.0
73,48233,48551,Wayne,b6ffb7fd-39eb-4fe5-b9ee-792f957e6f89,-83.061662,,,
76,48341,16553506,,3d995d1a-720b-4c15-8397-d4aa651e2981,-83.2968413,40.0,48341.0,1.0
77,48302,28779375,,8e068112-74dd-4c99-b9c4-9489c68b8cd3,-83.2934674,,,
78,48304,29280740,,a95034bc-aa4a-446d-8abe-8d975bac3a9a,-83.2331516,,,
79,48348,85808148,,7396e6a8-cfc8-434b-bbaa-b9d69760dd4a,-83.4038752,,,
80,48346,46526882,,1b303a91-1856-404c-9ec9-b40eb1c5ded7,-83.4289043,42.0,48346.0,2.0
81,48237,13341572,,676d4909-9904-4b3a-8b41-64dc63a43ff0,-83.1824197,30.0,48237.0,4.0
82,48025,20795336,,f0771c96-89f1-4698-a4d2-835c3a22cfbc,-83.2648239,,,
83,48017,5683647,,4431259e-64e6-48e7-bbf9-f980341b1226,-83.1503605,,,
84,48005,94471583,,5988a8de-6f4f-4242-af77-e967ee998055,-82.9238283,,,
85,48211,10848548,Wayne,7b2e7a86-d919-47f4-b06d-9ed2d727aacc,-83.0457331,78.0,48211.0,8.0
86,48120,8253572,Wayne,d9d0de36-ccc8-430b-9dfb-36f15ca6bcf6,-83.1762109,50.0,48120.0,2.0
87,48201,5193540,Wayne,3b54934b-134d-445e-b04f-0d51898c4fe5,-83.0601841,,,
88,48127,19924557,Wayne,e68a16cd-c1db-4716-acba-8128384847bd,-83.2832964,54.0,48127.0,3.0
89,48442,221106779,,b5d57638-bbf5-4257-8182-fa37870cf4e3,-83.6061018,,,
