OBJECTID,NAME,TYPE,LOCALFIPS,FACILITYID,COUNTY,STATE,COUNTRY,GC_EXCEPTION,SOURCE,MUNI_UNIQUE_ID,EFFECTIVEDATE,sdeGISMunicipalBoundaryAREA,SHAPESTArea,SHAPESTLength
1,Sioux Falls,City,59020,,"Minnehaha, Lincoln",SD,US,,City of Sioux Falls,SIOUXFALLS_01@MINNEHAHA.SD.US,2023/09/04 16:00:00+00,84.27146347,2349353544.80947,662796.182600819
10,Crooks,City,14740,,Minnehaha,SD,US,,Minnehaha County,CROOKS_10@MINNEHAHA.SD.US,2018/04/17 05:25:29+00,0.74822173,42678274.5495529,60716.8394012339
12,Valley Springs,City,66260,,Minnehaha,SD,US,,Minnehaha County,VALLEYSPRINGS_12@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.81665275,27334191.3121703,30724.5194477191
13,Hartford,City,27540,,Minnehaha,SD,US,,Minnehaha County,HARTFORD_13@MINNEHAHA.SD.US,2018/03/20 08:38:22+00,2.04956213,101514622.472679,141715.098083319
14,Baltic,City,3380,,Minnehaha,SD,US,,Minnehaha County,BALTIC_14@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.77756199,23706727.2698452,29844.3180489417
15,Dell Rapids,City,15980,,Minnehaha,SD,US,,Minnehaha County,DELLRAPIDS_15@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,2.02738147,67547498.3132917,67995.3511758168
16,Garretson,City,23820,,Minnehaha,SD,US,,Minnehaha County,GARRETSON_16@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,1.53125789,44433413.3964605,40678.8417959941
17,Sherman,City,58580,,Minnehaha,SD,US,,Minnehaha County,SHERMAN_17@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.25311906,7056526.38087567,10626.9542671308
18,Colton,City,13380,,Minnehaha,SD,US,,Minnehaha County,COLTON_18@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.70294986,19622338.393104,18560.8256164
19,Humboldt,City,30900,,Minnehaha,SD,US,,Minnehaha County,HUMBOLDT_19@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.62116485,17957482.3385909,31340.6713607175
20,Lyons,Other,39740,,Minnehaha,SD,US,,Minnehaha County,LYONS_20@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.06879417,1842575.05697762,5950.17660177164
21,Ellis,Other,18820,,Minnehaha,SD,US,,Minnehaha County,ELLIS_21@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.0605287,1678212.6096757,10709.4694221305
22,Renner,Other,54140,,Minnehaha,SD,US,,Minnehaha County,RENNER_22@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.58863786,16404057.6374512,21641.867885961
23,Corson,Other,14020,,Minnehaha,SD,US,,Minnehaha County,CORSON_23@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.04402929,1189909.25528955,5275.37328271832
24,Rowena,Other,56580,,Minnehaha,SD,US,,Minnehaha County,ROWENA_24@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,0.10447944,2912708.1800983,8106.2245099483
13665,Brandon,City,6840,,Minnehaha,SD,US,,Minnehaha County,BRANDON_11@MINNEHAHA.SD.US,2018/03/18 12:22:39+00,5.20147972,167990013.093327,130593.306192894
