ETC_ID,Q1A_Qual_of_services_in_city,Q1B_Appearance_of_city,Q1C_Image_of_city,Q1D_Planning_for_growth,Q1E_Quality_of_life,Q1F_Feeling_of_safety,Q1G_Efforts_to_promote_diversity,Q1H_Promotion_of_inclusiveness,Q1I_Direction_of_city,Q1J_Leadership_of_officials,Q1K_Public_involvement,Q1L_Ethical_conduct_of_employees,Q1M_Sustainability_programs,Q1N_Informed_about_budget,Q1O_Opport_to_express_ideas,Q2_Usage_of_city_services_facilities,Q2_2nd,Q2_3rd,Q2_4th,Q2_5th,Q2_6th,Q2_7th,Q2_8th,Q2_9th,Q2_10th,Q2_11th,Q2_12th,Q3A_Condition_of_streets,Q3B_Condition_of_sidewalks,Q3C_Maint_of_private_property,Q3D_Condition_of_alley,Q3E_Feeling_of_safety,Q3F_Quality_of_neigh_park,Q3G_Adequacy_of_lighting,Q4_Services_should_emphasize,Q4_2nd,Q5_Overall_neighborhood,Q6_Most_important_public_safety_concern,Q7A_Qual_of_large_parks,Q7B_Qual_of_city_rec_centers,Q7C_Qual_of_city_swim_pools,Q7D_Qual_of_athletic_fields,Q7E_Qual_of_youth_rec,Q7F_Qual_of_adult_rec,Q7G_Qual_of_golf_courses,Q7H_Qual_of_arts_cultural,Q7I_Library_programs,Q8_Programs_emphasize_most,Q8_2nd,Q9A_Library_services,Q9B_Condition_of_streets,Q9C_Clarity_of_street_signs,Q9D_Local_transit,Q9E_Mgmt_of_traffic_flow,Q9F_Walk_bike_paths,Q9G_Info_about_programs_events,Q9H_Enforce_prop_maint_codes,Q9I_Landscape_maintenance,Q9J_Appearance_of_resid_prop,Q9K_Appearance_of_comm_prop,Q9L_Cleanliness_of_streets,Q9M_Resid_trash_collection,Q9N_Recycling_services,Q9O_Bulky_item_pickup,Q9P_Water_service,Q9Q_Local_police_services,Q9R_Enforcement_of_traffic_laws,Q9S_Qual_of_local_fire_services,Q9T_Efforts_to_prevent_crime,Q9U_Qual_of_parks_rec,Q9V_Maint_of_city_parks,Q10_Services_emphasize_most,Q10_2nd,Q10_3rd,Q11_Social_human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Social_human_emphasize_most,Q12_2nd,Q12_3rd,Q13_How_get_info_about_Tempe,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_get_info,Q13a_2nd,Q13a_3rd,Q14A_Contacted_Tempe_in_past_year,Q14B_Easy_to_contact,Q14C_Way_you_were_treated,Q14D_Accuracy_of_info_given,Q14E_How_quickly_staff_responded,Q14F_How_well_issue_handled,Q15_Overall_priorities,Q15_2nd,Q15_3rd,Q15_4th,Q16_One_improvement_in_neighborhood,Q17_One_problem_to_work_on,Q18A_How_long_in_Tempe,Q18B_Age,Q18C_Gender,Q18D_Used_public_transit,Q18E_Full_time_student,Q18F_Own_or_rent,Q18G_Have_an_alley,Q18H_Highest_level_of_educ,Q18I_Have_cable_television,Q18J_Internet_access,Q18K_Visited_downtown_Tempe,Q18L_Race_ethnicity,Q18L_2nd,Q18L__3rd,Q18L__4th,Q18L__Other,Q20_Zip,OBJECTID
1,5,4,4,3,4,3,5,5,3,4,4,3,4,4,4,2,4.0,5.0,9.0,12.0,,,,,,,,4,4.0,4,9,3,4,4,E,A,4,HOME BURGLARY,5,4,4,4,9,4,9,3,4,Z,,9,4,4,5,4,4,4,3,4,3,3,4,5,5,4,4,4,4,4,3,4,4,T,J,H,99,,,,,,,,,99,,,1.0,2.0,5.0,7.0,8.0,9.0,10.0,,,,5,7.0,8.0,1,4.0,4.0,4.0,4.0,4.0,8,11.0,,,ADD SPEED HUMPS S OF ELLIOTT,MORE NEIGHBORHOOD POLICE PATRO,5,2,1,1,2,1,2,4,1,1,1,2,,,,,85284,0
2,2,5,5,3,4,3,3,3,3,4,3,5,5,4,3,1,,,,,,,,,,,,3,4.0,3,2,3,4,4,E,G,4,LACK OF POLICE PATROL,9,9,9,9,9,9,9,4,4,E,H,5,4,5,9,4,4,3,3,5,5,5,5,4,4,9,4,2,3,9,3,3,9,Q,R,T,99,,,,,,,,,3,2.0,4.0,5.0,7.0,9.0,,,,,,,,9,5.0,7.0,1,5.0,5.0,5.0,5.0,3.0,1,8.0,,,USEFUL POLICE PATROLS,VANDALS,5,7,1,2,2,1,9,5,1,1,1,2,,,,,85283,1
3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5.0,8.0,,,,,,,,,,5,5.0,5,9,5,9,5,Z,,9,,5,5,9,9,9,9,9,9,5,Z,,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,Z,,,3,,,,,,,,,99,,,2.0,,,,,,,,,,2,,,2,,,,,,1,4.0,,,,,3,7,1,1,2,1,2,4,1,2,2,2,,,,,85283,2
4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,9,1,4.0,,,,,,,,,,,3,3.0,3,9,4,4,4,E,C,4,SECURITY,4,9,9,9,9,9,9,4,4,Z,,4,3,4,9,3,9,4,3,2,2,2,3,5,5,5,5,4,4,9,9,9,9,I,K,J,99,,,,,,,,,99,,,5.0,7.0,9.0,,,,,,,,9,7.0,5.0,2,,,,,,2,3.0,6.0,11.0,LANDSCAPING MAJOR THOROUGHFARE,SECURITY,5,7,2,2,2,1,2,4,1,1,1,2,,,,,85283,3
5,4,5,3,3,4,4,4,4,3,4,4,4,4,3,3,2,,,,,,,,,,,,3,1.0,4,4,4,5,4,B,A,4,TRAFFIC,4,4,3,4,4,4,3,4,4,Z,,9,3,3,5,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,B,E,G,99,,,,,,,,,99,,,4.0,5.0,9.0,,,,,,,,5,4.0,9.0,2,,,,,,3,,,,SIDEWALKS,TRAFFIC ON NEIGHBORHOOD STREET,5,7,1,2,2,1,1,3,1,2,1,5,,,,,85281,4
6,5,5,5,9,5,4,5,5,5,9,5,9,5,9,5,1,10.0,12.0,,,,,,,,,,5,5.0,5,5,5,5,5,E,F,5,THEFT,9,5,5,5,5,5,9,5,5,I,,5,5,5,5,5,9,5,5,5,5,5,5,5,4,9,3,5,5,5,4,5,9,B,A,,99,,,,,,,,,7,3.0,,5.0,,,,,,,,,,99,,,2,,,,,,6,,,,DOING GREAT!,MILL CREEK DIST SCARY AT NIGHT,1,2,1,1,1,2,1,4,2,2,1,2,,,,,85282,5
7,4,5,4,3,4,4,3,3,2,3,3,4,4,4,3,1,2.0,3.0,,,,,,,,,,5,5.0,5,5,5,5,5,E,D,5,,5,4,3,3,9,9,9,3,5,E,C,5,5,5,3,5,5,3,9,4,4,4,4,5,5,5,4,4,4,3,3,3,4,M,N,O,99,,,,,,,,,9,4.0,7.0,2.0,,,,,,,,,,2,4.0,8.0,1,4.0,4.0,4.0,4.0,4.0,4,9.0,,,SAVE MONEY FOR BASIC SERVICES,SAME AS #16,3,5,2,2,2,1,1,4,1,1,1,4,,,,,85282,6
8,4,4,3,2,3,4,3,3,3,3,3,3,3,4,4,1,12.0,,,,,,,,,,,4,4.0,4,3,3,3,4,D,E,9,IT'S PRETTY QUIET,4,3,3,3,4,4,3,4,4,A,E,4,4,4,4,4,3,4,2,2,3,3,4,4,4,4,4,4,4,4,4,3,3,H,I,K,99,,,,,,,,,99,,,1.0,5.0,7.0,9.0,,,,,,,5,1.0,9.0,2,,,,,,1,2.0,,,CODE COMPLIANCE DIVISION,SOLID WASTE SECTION,5,6,1,1,2,1,1,2,1,2,1,5,,,,,85281,7
9,5,5,5,4,4,5,4,4,4,4,3,4,4,5,5,1,2.0,3.0,5.0,8.0,9.0,10.0,11.0,,,,,4,5.0,3,2,4,3,4,D,C,4,DOG URINATING ON DOOR,5,4,9,9,9,4,9,4,3,H,A,4,4,9,2,3,4,4,4,4,4,4,4,4,4,5,5,4,3,5,3,4,4,G,T,M,3,,,,,,,,,3,4.0,6.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,2,5.0,6.0,1,5.0,5.0,4.0,3.0,4.0,1,4.0,,,KEEPING ALLEYS CLEAN,BUDGET-MORE REVENUE,4,7,2,1,2,1,1,4,1,1,1,2,,,,,85282,8
10,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,1,2.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,,,,4,4.0,4,4,4,4,4,G,A,4,,4,4,4,4,3,4,9,4,4,B,I,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,O,A,G,1,,,,,,,,,1,2.0,9.0,2.0,5.0,7.0,,,,,,,,2,6.0,,2,,,,,,1,5.0,,,,,5,6,2,1,2,1,1,4,2,1,2,2,,,,,85281,9
