X,Y,OBJECTID,Id,CaseNo,Address,CaseStatus,CaseStatusDate,CaseOpenDate,Violation,ViolationType,Y_COORD,X_COORD
-111.9020085,33.415965,1,{B9BF3D44-CCE6-4F0A-BC81-FA0FAB413E1A},CM230755,"1938 E APACHE BLVD, TEMPE, AZ, 85281",Under Investigation,2023/03/29 00:00:00+00,2023/03/29 00:00:00+00,"ZDC 4-902.B.6 - Banners, pennants, wind-driven spinners, streamers, balloons, flags, search lights, strobe lights, holographic projections, laser light displays, beacons, and inflatable signs.",Sign,33.415965,-111.9020085
-111.955653,33.4068750000001,2,{C5A28317-891E-490B-B894-D5BB2EBB7BFF},CM231059,"1115 W BROADWAY RD, TEMPE, AZ, 85282",Under Investigation,2023/05/04 00:00:00+00,2023/05/04 00:00:00+00,ZDC 4-102.E.1. - Site not maintained in accordance with approved plans,Zoning,33.406875,-111.955653
-111.9275415,33.3701100000001,3,{91545ADE-338B-468B-BF5D-0CEBAEB5B68E},CM231081,"5801 S RURAL RD, TEMPE, AZ, 85283",Under Investigation,2023/05/08 00:00:00+00,2023/05/05 00:00:00+00,ZDC 4-102.E.1. - Site not maintained in accordance with approved plans,Zoning,33.37011,-111.9275415
-111.97422,33.3849510000001,4,{42D844E6-68BB-4C93-94D8-D2132968D067},CE232750,"2407 W GREENWAY RD, TEMPE, AZ, 85282",Under Investigation,2023/11/01 00:00:00+00,2023/05/08 00:00:00+00,"CC 21-3.b.1 - Filthy, littered, debris or trash-covered exterior areas, including exterior areas under any roof not enclosed by the walls, doors or windows of any building",Nuisance,33.384951,-111.97422
-111.97422,33.3849510000001,5,{CEE54F25-FF84-46B1-8392-3152A2625EC6},CE232750,"2407 W GREENWAY RD, TEMPE, AZ, 85282",Under Investigation,2023/11/01 00:00:00+00,2023/05/08 00:00:00+00,ZDC 3-102 - Non-permitted use in residential district,Zoning,33.384951,-111.97422
-111.9559223,33.3639373400001,6,{84F930F4-33FD-4749-9905-F316C076DBBD},CE232778,"6249 S PARKSIDE DR, TEMPE, AZ, 85283",Under Investigation,2023/07/28 00:00:00+00,2023/05/08 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.36393734,-111.9559223
-111.89362596,33.427917,7,{E07CFFEA-7F59-4EF6-94E9-CB64C044B236},CM231116,"230 S SIESTA LN, TEMPE, AZ, 85281",Under Investigation,2023/05/10 00:00:00+00,2023/05/09 00:00:00+00,ZDC 1-201.A. - Site &/or building changes made without City approval,Zoning,33.427917,-111.89362596
-111.94671826,33.41779841,8,{3B1D6E72-B253-4AC2-8048-24E1A9FFC635},CE235634,"518 W 11TH ST, TEMPE, AZ, 85281",Under Investigation,2023/10/23 00:00:00+00,2023/10/18 00:00:00+00,"CC 21-3.b.8 - Landscaping that is substantially dead, damaged or characterized by uncontrolled growth, or presents a deteriorated appearance; or any dead trees, bushes, shrubs or portions thereof, including stumps",Nuisance,33.41779841,-111.94671826
-111.91544674,33.3866565600001,9,{48F77EB4-92F1-4D4D-A261-603F5DDD3C71},CE235653,"3924 S OAK ST, TEMPE, AZ, 85282",Under Investigation,2023/10/19 00:00:00+00,2023/10/19 00:00:00+00,"CC 21-3.b.4 - To permit outside of any single-family or multifamily dwelling or accessory building any camper, vehicle or parts thereof in the front or side area of the building visible from the street that is not on an improved area intended for parking",Nuisance,33.38665656,-111.91544674
-111.93612966,33.39808322,10,{9CB5FD64-7676-4C6D-8BCC-A6EAD956359A},CE235659,"221 E CAIRO DR, TEMPE, AZ, 85282",Under Investigation,2023/10/19 00:00:00+00,2023/10/19 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.39808322,-111.93612966
-111.957957,33.4133370000001,11,{2CD4A63F-ED00-4FB4-AD1F-BEA0FB0F5684},CE235665,"1308 W 14TH ST, TEMPE, AZ, 85281",Under Investigation,2023/10/23 00:00:00+00,2023/10/19 00:00:00+00,"CC 21-3.b.8 - Landscaping that is substantially dead, damaged or characterized by uncontrolled growth, or presents a deteriorated appearance; or any dead trees, bushes, shrubs or portions thereof, including stumps",Nuisance,33.413337,-111.957957
-111.957957,33.4133370000001,12,{E40D20BD-B081-40D2-B38E-A2426C145DC1},CE235665,"1308 W 14TH ST, TEMPE, AZ, 85281",Under Investigation,2023/10/23 00:00:00+00,2023/10/19 00:00:00+00,"CC 21-3.b.7 - Object, building, tree, bush or vehicle that interferes with or obstructs a sidewalk or street",Nuisance,33.413337,-111.957957
-111.89880542,33.3723914300001,13,{50917CA8-5E05-44A2-BB0F-70A3F87449E0},CE235672,"2023 E CORNELL DR, TEMPE, AZ, 85283",Under Investigation,2023/10/23 00:00:00+00,2023/10/20 00:00:00+00,"Sec.29-2. - Adjacent property owners to maintain sidewalks, gutters, alleys",Zoning,33.37239143,-111.89880542
-111.89754857,33.4044371700001,14,{D08494E7-5CE9-4A65-8574-3F0B5C42CE56},CE235700,"2219 S RIVER DR, TEMPE, AZ, 85282",Under Investigation,2023/11/16 00:00:00+00,2023/10/23 00:00:00+00,"CC 21-3.b.4 - To permit outside of any single-family or multifamily dwelling or accessory building any camper, vehicle or parts thereof in the front or side area of the building visible from the street that is not on an improved area intended for parking",Nuisance,33.40443717,-111.89754857
-111.91205295,33.41356054,15,{217ADEF1-7D65-4E97-A90A-87A887BCAE18},CE235728,"1608 E HUDSON DR, TEMPE, AZ, 85281",Under Investigation,2023/10/24 00:00:00+00,2023/10/24 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.41356054,-111.91205295
-111.899115,33.3697320000001,16,{4E8E5CF9-3660-454B-BDF7-03B1262E7A48},CE235737,"5821 S COUNTRY CLUB WAY, TEMPE, AZ, 85283",Under Investigation,2023/10/24 00:00:00+00,2023/10/24 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.369732,-111.899115
-111.90395462,33.3608109200001,17,{E37B8AF0-9AB6-46B5-8EB8-DA4B4F5DDCC2},CE235743,"1937 E CARMEN ST, TEMPE, AZ, 85283",Under Investigation,2023/10/25 00:00:00+00,2023/10/25 00:00:00+00,"CC 21-3.b.8 - Uncultivated weeds in gravel landscape, or a lawn higher than 12 inches",Nuisance,33.36081092,-111.90395462
-111.9358395,33.3782594900001,18,{45B75900-759C-4273-B886-ED0AF0764EEA},CM232108,"220 E BASELINE RD, TEMPE, AZ, 85283",Under Investigation,2023/11/08 00:00:00+00,2023/10/25 00:00:00+00,"ZDC 4-902.I.2 - A damaged sign, including signs vandalized or subject to graffiti, shall be repaired within sixty (60) days;",Sign,33.37825949,-111.9358395
-111.96945198,33.4143066,19,{1B792357-69EF-46F9-AF39-17BD718AC319},CM232114,"1345 S 52ND ST, TEMPE, AZ, 85281",Under Investigation,2023/10/26 00:00:00+00,2023/10/25 00:00:00+00,ZDC 4-102.E.2. - Dead or damaged landscape feature,Zoning,33.4143066,-111.96945198
-111.882726,33.393474,20,{D8FCF1DC-6CA1-4E7E-9AC8-1EB1ED5276BE},CM232127,"2600 E SOUTHERN AVE, TEMPE, AZ, 85282",Under Investigation,2023/10/26 00:00:00+00,2023/10/26 00:00:00+00,"ZDC 4-902.I.2 - A damaged sign, including signs vandalized or subject to graffiti, shall be repaired within sixty (60) days;",Sign,33.393474,-111.882726
-111.90597145,33.3658342100001,21,{4344472A-09E2-4BEC-9048-F22F3CEB2711},CE235785,"1905 E LIBRA DR, TEMPE, AZ, 85283",Under Investigation,2023/10/27 00:00:00+00,2023/10/26 00:00:00+00,CC 21-3.b.3 - An unregistered vehicle outside of or under a roof area not enclosed,Nuisance,33.36583421,-111.90597145
-111.8961,33.36843549,22,{DACB023B-8C9F-41EE-A7BB-6A3835891760},CE235789,"2145 E GEMINI DR, TEMPE, AZ, 85283",Under Investigation,2023/10/26 00:00:00+00,2023/10/26 00:00:00+00,"CC 21-3.b.1 - Filthy, littered, debris or trash-covered exterior areas, including exterior areas under any roof not enclosed by the walls, doors or windows of any building",Nuisance,33.36843549,-111.8961
-111.91975541,33.4422498700001,23,{3009797B-54E5-41DB-A30A-8813D03B3A60},CE235815,"1212 E TEMPE DR, TEMPE, AZ, 85281",Under Investigation,2023/10/27 00:00:00+00,2023/10/27 00:00:00+00,CC 21-25 - Residential rental property not registered or updated with the Maricopa County Assessor,Rental Housing,33.44224987,-111.91975541
-111.905091,33.372261,24,{B70609A1-4D58-4831-8F97-0B63B5BFB413},CE235845,"5606 S HAZELTON LN, TEMPE, AZ, 85283",Under Investigation,2023/10/30 00:00:00+00,2023/10/30 00:00:00+00,"CC 21-3.b.8 - Landscaping that is substantially dead, damaged or characterized by uncontrolled growth, or presents a deteriorated appearance; or any dead trees, bushes, shrubs or portions thereof, including stumps",Nuisance,33.372261,-111.905091
-111.9417075,33.3928234900001,25,{C63F4F0F-A62F-47BC-BF95-1157785CD9E3},CM232137,"45 W SOUTHERN AVE, TEMPE, AZ, 85282",Under Investigation,2023/10/30 00:00:00+00,2023/10/30 00:00:00+00,ZDC 3-202A. - Permitted land uses in commercial and mixed-use districts,Zoning,33.39282349,-111.9417075
-111.95275985,33.3697126100001,26,{1F26DCC3-F3E3-4F6D-93B6-DD29A52998DD},CE235853,"5916 S MCKEMY ST, TEMPE, AZ, 85283",Under Investigation,2023/10/30 00:00:00+00,2023/10/30 00:00:00+00,"CC 21-3.b.8 - Uncultivated weeds in gravel landscape, or a lawn higher than 12 inches",Nuisance,33.36971261,-111.95275985
-111.94782132,33.4177579,27,{7D85A78C-7694-4D36-AD45-FB30CD7335F4},CE235861,"611 W 11TH ST, TEMPE, AZ, 85281",Under Investigation,2023/11/02 00:00:00+00,2023/10/31 00:00:00+00,"CC 21-38.h - Every rental housing unit shall have landscaping in all yard areas which are visible from a public street, alley, or sidewalk or a neighboring property",Rental Housing,33.4177579,-111.94782132
-111.894111,33.4148874700001,28,{80710F60-492E-4D5A-A904-796B73BA9491},CM232154,"2148 E APACHE BLVD, TEMPE, AZ, 85281",Under Investigation,2023/11/06 00:00:00+00,2023/11/01 00:00:00+00,"Sec.22-105. - All sidewalks, walls, buildings, fences, signs, and other structures of surfaces shall be kept free from graffiti when the graffiti is visible from the street or other public or private property",Nuisance,33.41488747,-111.894111
-111.9072015,33.3784134800001,29,{05CD4FAC-F071-4577-A02F-C7D3412FCF43},CM232159,"1809 E BASELINE RD, TEMPE, AZ, 85283",Under Investigation,2023/11/02 00:00:00+00,2023/11/02 00:00:00+00,ZDC 4-903B.Q - Any portable sign within three (3) feet of a building or outdoor approved patio that does not meet size or location requirements.,Sign,33.37841348,-111.9072015
-111.94967374,33.3580700100001,30,{6A6FD14F-C891-4B98-B55D-B31D595A77ED},CE235955,"6811 S DENNIS DR, TEMPE, AZ, 85283",Under Investigation,2023/11/02 00:00:00+00,2023/11/02 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.35807001,-111.94967374
-111.9338775,33.362712,31,{E7388E07-584F-4382-AEFA-8624784BBA44},CE235960,"238 E WOODMAN DR, TEMPE, AZ, 85283",Under Investigation,2023/11/03 00:00:00+00,2023/11/02 00:00:00+00,"CC 21-3.b.7 - Object, building, tree, bush or vehicle that interferes with or obstructs a sidewalk or street",Nuisance,33.362712,-111.9338775
-111.941541,33.428637,32,{22C3B22E-BA32-44A9-B3A6-3AB2BFE46CDA},CM232177,"111 W RIO SALADO PKWY, TEMPE, AZ, 85281",Under Investigation,2023/11/03 00:00:00+00,2023/11/03 00:00:00+00,"CC 21-3.b.8 - Landscaping that is substantially dead, damaged or characterized by uncontrolled growth, or presents a deteriorated appearance; or any dead trees, bushes, shrubs or portions thereof, including stumps",Nuisance,33.428637,-111.941541
-111.92830317,33.39481814,33,{027F115A-D930-42C3-8471-EF609D56827C},CE236012,"709 E GENEVA DR, TEMPE, AZ, 85282",Under Investigation,2023/11/07 00:00:00+00,2023/11/06 00:00:00+00,"CC 21-3.b.7 - Object, building, tree, bush or vehicle that interferes with or obstructs a sidewalk or street",Nuisance,33.39481814,-111.92830317
-111.907071,33.40740055,34,{20FC8A65-FF45-47C9-8FA7-0530243EB33C},CM232187,"1845 E BROADWAY RD, TEMPE, AZ, 85282",Under Investigation,2023/11/06 00:00:00+00,2023/11/06 00:00:00+00,ZDC 4-903B.Q - Any portable sign within three (3) feet of a building or outdoor approved patio that does not meet size or location requirements.,Sign,33.40740055,-111.907071
-111.95564436,33.35978842,35,{9B12F518-679A-4F3C-9BBF-2EC59B4D7F08},CE236035,"1012 W LODGE DR, TEMPE, AZ, 85283",Under Investigation,2023/11/06 00:00:00+00,2023/11/06 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.35978842,-111.95564436
-111.91123599,33.3616950000001,36,{905B34B1-6061-4C1A-B467-1FEE30BFDEE2},CM232206,"6470 S MCCLINTOCK DR, TEMPE, AZ, 85283",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,ZDC 4-102.E.2. - Dead or damaged landscape feature,Zoning,33.361695,-111.91123599
-111.8988002,33.3614118900001,37,{BA4AC490-17AA-4D01-89D1-04A2C0C857AD},CE236064,"2114 E VAUGHN ST, TEMPE, AZ, 85283",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"CC 21-3.b.8 - Landscaping that is substantially dead, damaged or characterized by uncontrolled growth, or presents a deteriorated appearance; or any dead trees, bushes, shrubs or portions thereof, including stumps",Nuisance,33.36141189,-111.8988002
-111.9157155,33.3615780000001,38,{F60E374C-B4FC-437A-A07C-50036DB16EF4},CE236071,"6519 S ELM ST, TEMPE, AZ, 85283",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"CC 21-3.b.8 - Any landscaping, visible from public property, that is substantially dead, damaged, or characterize by uncontrolled growth, or presents a deteriorated appearance",Nuisance,33.361578,-111.9157155
-111.9157155,33.3615780000001,39,{0BB953E4-99CB-4205-BB71-21C825A3B990},CE236071,"6519 S ELM ST, TEMPE, AZ, 85283",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"CC 21-3.b.8 - Landscaping that is substantially dead, damaged or characterized by uncontrolled growth, or presents a deteriorated appearance; or any dead trees, bushes, shrubs or portions thereof, including stumps",Nuisance,33.361578,-111.9157155
-111.92265758,33.3418690300001,40,{21FE5C30-1B15-40CF-B9CE-7B497BDD1E07},CE236076,"1053 E CARVER RD, TEMPE, AZ, 85284",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"CC 21-3.b.7 - Object, building, tree, bush or vehicle that interferes with or obstructs a sidewalk or street",Nuisance,33.34186903,-111.92265758
