UID,SITE_ID.x,BENT_MMI_COND,MMI_BENT,VISIT_NO.x,AGGR_ECO9_2015,STRAHLERORDER,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,DOM1PIND,DOM3PIND,DOM5PIND,EPT_NTAX,EPT_PIND,EPT_PTAX,LRBS_USE,L_XFC_NAT,L_XCMGW,W1_HALL,MAFLOWU,MAFLOWV,NHDWAT_NADP2009_MEAN_NH4,NHDWAT_NADP2009_MEAN_NO3,NHDWAT_NADP2009_MEAN_SO4,NHDWAT_NADP2009_MEAN_TOTALN,NHDWAT_ELEV,NHDWAT_SLOPE,NHDWAT_PCT_CANOPY,NHDWAT_PCT_IMPERV,NHDWAT_POPDENKM,RDDEN,NHDWAT_PCT_SAND,TMAX_ANN,TMIN_ANN,WSAREA_NARS,PCT_AG,PCT_URB,PCT_FOR,PCT_WET,PCT_SHRUB_GRASS
11244,FW08IA031,Fair,27.28,1,TPL,1st,47.83,82.61,91.3,23.42,52.25,67.57,3,42.37,15.0,-1.607860335,-1.256062854,-0.348105528,0.068181818,0.0247,-9999.0,4.273963928,6.517304897,5.54393816,4.790949345,400.64,6.913,16.011,0.164,3.779,0.86,10.478,15.14,2.66,4.602600098,63.042,2.855,12.573,0.0,21.529
11975,FW08ND001,Fair,55.63,1,NPL,6th,47.73,73.86,82.95,28.35,55.91,67.72,9,55.33,25.0,-0.891963897,-1.016086822,-0.855284304,1.0,0.03453,-9999.0,1.550905869,2.939164001,2.171545892,1.868220094,745.183,2.308,0.367,0.248,0.612,0.962,39.959,13.48,-1.08,10691.59961,51.014,2.972,0.268,0.871,44.517
14383,FW08OK003,Fair,24.3,1,SPL,1st,44.44,88.89,96.3,30.92,67.15,77.78,4,4.0,18.18,-2.062243313,-0.187998707,-0.214670165,1.696972727,0.48697,-9999.0,2.866041183,5.208260536,4.946719885,3.401998401,661.172,1.578,2.038,0.446,1.478,1.162,39.419,22.81,7.92,15.34280014,16.139,5.561,1.543,0.076,76.376
14601,FW08CA022,Fair,44.75,1,XER,6th,41.67,91.67,25.0,49.13,71.3,82.61,9,28.0,39.13,-1.075184629,-1.082351291,-0.165030489,0.3485,0.62819,-9999.0,0.795853769,1.766082695,0.950207739,1.016930622,999.914,18.267,18.574,1.698,66.257,1.23,48.39,23.36,9.89,3564.51001,1.687,7.533,18.24,0.241,70.649
12470,FW08TN006,Fair,41.75,1,SAP,1st,27.27,48.48,66.67,24.25,40.3,53.36,18,67.33,38.3,-0.827066759,-0.004564252,0.343498111,0.0,0.82326,-9999.0,2.5209408,7.8378129,10.505551,3.7280474,1028.76,12.85,87.168,0.031,0.0,1.37,47.615,16.53,5.17,1.069200039,2.609,2.104,94.697,0.0,0.589
15646,FW08VA045,Fair,34.87,1,SAP,1st,40.24,63.41,78.05,13.92,37.97,49.37,11,29.0,21.15,-0.817226024,-0.216291273,0.086036093,0.454568182,0.94361,-9999.0,2.1632917,7.9723201,9.8121138,3.4807215,247.24,3.521,61.311,0.888,0.0,1.581,43.879,19.93,6.89,1.987200022,19.384,8.696,70.154,0.0,1.766
15434,FW08AR148,Fair,36.35,1,SAP,1st,70.0,8.33,8.33,38.59,67.39,78.26,10,55.0,43.48,-1.360555639,-0.394499061,-0.140411423,0.770403333,0.95967,-9999.0,3.3970144,9.4524622,12.685053,4.7730589,279.612,5.837,66.228,0.849,1.199,0.689,20.365,22.19,8.8,0.709200025,0.0,8.756,79.949,0.0,11.294
13963,FW08LA004,Fair,54.53,1,CPL,1st,35.29,64.71,82.35,9.23,27.69,38.46,5,12.33,15.62,-1.674812307,-0.206654167,0.255765742,0.0,1.05125,-9999.0,3.562862396,8.694581032,12.21617699,4.730633259,77.326,1.877,49.889,0.494,0.0,1.219,41.323,25.41,12.38,1.847149968,13.311,5.168,14.968,29.547,37.006
15684,FW08GA041,Fair,48.15,1,CPL,1st,0.0,0.0,0.0,38.89,77.78,94.44,2,9.09,33.33,-1.627653211,-0.400662867,0.012309848,0.33335,1.07518,-9999.0,2.085762,6.6354914,9.1021252,3.1185308,104.133,4.062,39.914,0.712,0.254,1.071,82.992,24.78,11.22,1.198799968,8.859,4.43,51.877,0.45,34.385
10954,FW08NV040,Fair,50.53,1,XER,5th,56.06,87.88,95.45,37.95,63.08,76.41,9,14.33,40.91,-1.445900543,-0.706938935,0.003343012,0.893940909,1.22399,-9999.0,0.535227477,0.745232787,0.475692364,0.583946885,2095.9,13.366,19.53,1.072,14.309,0.738,57.851,18.96,0.59,1851.920044,4.475,3.065,26.009,2.201,62.24
