OBJECTID,AV_LEGEND,NAME,LOCATIONID,USE_,STATE,SHAPE_Length,SHAPE_Area
1,Heliport,Canal Street,5CT8,Private,CT,228.565510039001,3263.87230382878
2,Airport,Westchester County,HPN,Public,NY,71719.655368214,4174852.49274994
3,Heliport,Sikorsky-Bridgeport,CT37,Private,CT,1673.57420157109,100666.26939998
4,Airport,Igor Sikorsky Memorial,BDR,Public,CT,44579.6688737219,3290934.08689373
5,Heliport,Sikorsky-Stratford,JSD,Private,CT,5256.85598167093,488383.055160711
6,Airport,Elizabeth Field,0B8,Public,NY,8947.27393017523,722991.095881036
7,Airport,Tweed-New Haven,HVN,Public,CT,44474.7015622653,2789065.43753752
8,Airport,Groton-New London,GON,Public,CT,59783.4349703843,4230519.65331677
9,Airport,Stonington Airpark,CT80,Private,CT,5109.52197642421,163215.821585974
10,Airport,Westerly State,WST,Public,RI,28481.1655988125,1986756.41000298
11,Airport,Salmon River Airfield,9B8,Public,CT,5120.41437821416,237332.24723466
12,Airport,Danbury Municipal,DXR,Public,CT,47467.0629051834,2330490.42521236
13,Airport,Chester,SNC,Public,CT,8101.49431414584,236109.812277211
14,Airport,Goodspeed,42B,Public,CT,4559.98459188219,133453.414022314
15,Airport,Waterbury-Oxford,OXC,Public,CT,30225.1911526011,1435212.9751377
16,Airport,Meriden-Markham Municipal,MMK,Public,CT,13183.9936885261,338409.272292682
17,Airport,Gardner Lake,CT08,Private,CT,3954.8646820999,87874.2564268972
18,Airport,Waterbury,N41,Public,CT,6593.72066572367,962320.592174096
19,Airport,Robertson Field,4B8,Public,CT,14854.0757333738,1206533.05900219
20,Airport,Riconn,RI11,Private,RI,6083.40989551034,459749.762144564
21,Airport,Hartford-Brainard,HFD,Public,CT,26670.7411864024,1132834.90727199
22,Airport,Windham,UD,Public,CT,22686.878632172,1768167.67600962
23,Airport,Heckler Field,CT09,Private,CT,2489.05486791319,62553.2822619138
24,Airport,Danielson,5B3,Public,CT,11179.3199644203,423715.381329661
25,Airport,Simsbury,4B9,Public,CT,4467.86639751951,84673.1510427309
26,Airport,Woodstock,64CT,Private,CT,4528.70089148106,192845.87960462
27,Airport,Ellington,7B9,Public,CT,8389.64787648632,199314.855132268
28,Airport,Skylark Airpark,7B6,Public,CT,6026.4547578836,218924.946654108
29,Airport,Bradley International,BDL,Public,CT,125217.976486569,14404125.5528687
30,Airport,Swift,CT31,Private,CT,5318.4141524977,162616.118465521
31,Airport,Dresser Hill,MA30,Private,MA,2679.97857817977,102250.32703987
32,Airport,Southbridge Municipal,3B0,Public,MA,10142.0079163241,689274.982057307
33,Airport,Candlelight Farms,11N,Public,CT,7235.26922417326,1085765.54333949
34,Airport,Toutant,C44,Public,CT,3811.26950561271,108288.524776184
35,Heliport,Hummingbird,4C3,Public,CT,621.338304325037,9110.74734868027
36,Heliport,Candlelight,6Y2,Public,CT,275.721160651792,4769.60682797541
37,Airport,Flying Ridge Airstrip,CT52,Private,CT,3851.46672757417,132799.313842214
38,Airport,Long View Landing,CT66,Private,CT,3168.26959623758,85338.6882637769
39,Airport,Whelan Farms,CT01,Private,CT,2971.51018797849,103399.443994621
40,Airport,Thompson Field,5CT5,Private,CT,3025.13189922752,151552.226594757
41,Airport,Wings Ago Airstrip,CT42,Private,CT,3291.37218474555,87151.3474071522
