OBJECTID,TBPOLY_COD,TOWN_POLY,AV_LEGEND,COASTP_COD,COAST_POLY,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,100,Connecticut Town,Connecticut,1,Inland Polygons,3176460.0,4963.22998046,4075440.4619215,-138366789909.045
2,101,Connecticut Waters,Water,3,Coastal Water Polygons,382649.0,597.88897705,4176838.85252315,-16668175767.6813
3,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0538419,8.412e-05,208.970587295714,-2345.38282250584
4,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.06616479,0.00010338,206.702028159631,-2882.16071539221
5,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.05240989,8.189e-05,193.266869747374,-2282.98977091723
6,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.34917899,0.00054559,509.925574883845,-15210.2308661021
7,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.163506,0.00025547,367.485839428423,-7122.34638660161
8,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0536438,8.381e-05,190.394398154949,-2336.72628947159
9,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.27764001,0.00043381,472.304452896393,-12094.0466242744
10,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.35041999,0.00211003,1585.71372826988,-58824.5659990802
11,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,388.40301513,0.60688,43305.8977420154,-16918826.0923014
12,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.405335,0.00063333,555.814781502599,-17656.4298157704
13,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.103619,0.0001619,339.710078483901,-4513.63896416173
14,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,35.26330184,0.05509889,10257.5217590366,-1536070.57421322
15,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.74209499,0.00115952,894.160567498556,-32325.6832381244
16,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.17633,0.00027551,330.008553575711,-7680.94551086243
17,100,Connecticut Town,Connecticut,1,Inland Polygons,34.91120147,0.05454879,12081.2526806754,-1520734.34195295
18,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.44182598,0.00069035,681.904367279707,-19246.04191512
19,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.15600599,0.00024375,396.529062049486,-6795.61274626103
20,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0729219,0.00011393,223.700546010042,-3176.48961110491
21,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,36.89619827,0.0576503,9448.2006181154,-1607199.08144139
22,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04791789,7.487e-05,181.076098601934,-2087.31083592571
23,100,Connecticut Town,Connecticut,1,Inland Polygons,1.00768995,0.00157452,1201.79445371089,-43895.2487034907
24,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,2.00447988,0.00313199,1509.17618823143,-87314.9071671923
25,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,6.69197988,0.01045619,2237.34676220784,-291502.45625033
26,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.274432,0.0004288,486.808934663075,-11954.2756935308
27,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.30142599,0.00047097,776.870933930161,-13130.1828161207
28,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.130775,0.00020433,296.288971372306,-5696.60469496368
29,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.92811399,0.00145017,975.991997231548,-40428.5686530721
30,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.182215,0.00028471,395.288297684603,-7937.27265100047
31,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.127213,0.00019877,378.240658685452,-5541.45023433417
32,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.05123649,8.005e-05,194.778629100229,-2231.85563585938
33,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0425034,6.641e-05,185.847529310254,-1851.44760564529
