OBJECTID,ROUTE,ROUTECLASS,ROUTENO,ROUTENAME,SCALELEVEL,SHAPE_Length
1,Bradley International Airport Connector,Connector, ,Bradley International Airport Connector,6,3624.52473312375
2,Route 6 Connector,Connector, ,Route 6 Connector,6,25314.8203434315
3,Route 9 Connector,Connector, ,Route 9 Connector,6,8157.031827164
4,Montville Connector,Connector, ,Montville Connector,6,11535.7424037823
5,Wharton Brook Connector,Connector, ,Wharton Brook Connector,6,9053.46938394758
6,Rocky Neck Connector,Connector, ,Rocky Neck Connector,6,3564.09554100509
7,Hammonasset Connector,Connector, ,Hammonasset Connector,6,7790.77078834231
8,Milford Parkway,Connector, ,Milford Parkway,6,14164.2162515506
9,Sherwood Island Connector,Connector, ,Sherwood Island Connector,6,7150.5282262834
10,Branford Connector,Connector, ,Branford Connector,6,4431.2865719573
11,State Route 197,State Route,197, ,5,57574.0804639079
12,State Route 131,State Route,131, ,5,19900.0158416464
13,State Route 168,State Route,168, ,5,42173.0386436796
14,State Route 192,State Route,192, ,5,18418.2500272241
15,State Route 220,State Route,220, ,5,30803.7575990858
16,State Route 75,State Route,75, ,4,71471.3290698341
17,State Route 190,State Route,190, ,4,149463.15570301
18,State Route 20,State Route,20, ,4,164533.809799626
19,State Route 12,State Route,12, ,4,288161.271016144
20,State Route 272,State Route,272, ,5,94888.8138949726
21,State Route 171,State Route,171, ,4,108037.979707797
22,State Route 183,State Route,183, ,5,101110.217614853
23,State Route 182A,State Route,182A, ,5,6878.25886396106
24,State Route 182,State Route,182, ,5,20020.3492540603
25,State Route 186,State Route,186, ,5,18831.7640813648
26,State Route 19,State Route,19, ,5,36920.0901277827
27,State Route 319,State Route,319, ,5,14972.3696744991
28,State Route 200,State Route,200, ,5,10114.8422622841
29,State Route 193,State Route,193, ,5,35117.9680286087
30,State Route 89,State Route,89, ,5,85800.3037139112
31,State Route 126,State Route,126, ,5,31911.6603713631
32,State Route 63,State Route,63, ,4,278259.615824773
33,State Route 41,State Route,41, ,4,94709.5766964744
34,State Route 112,State Route,112, ,5,36037.2006948721
35,State Route 179,State Route,179, ,5,87222.8889021289
36,State Route 140,State Route,140, ,4,118783.140573377
37,State Route 30,State Route,30, ,4,113372.871930188
38,State Route 21,State Route,21, ,5,29926.5943776331
39,State Route 181,State Route,181, ,5,41601.9757687298
40,State Route 263,State Route,263, ,5,32634.3258332348
41,State Route 244,State Route,244, ,4,34031.8525825976
42,State Route 315,State Route,315, ,5,10494.4255068814
43,State Route 361,State Route,361, ,5,18763.4824084582
44,State Route 343,State Route,343, ,4,7763.31231296912
45,State Route 309,State Route,309, ,5,28606.7752153829
46,State Route 286,State Route,286, ,5,19099.0691938669
47,State Route 128,State Route,128, ,5,21153.4132439326
48,State Route 195,State Route,195, ,4,84063.6537006463
49,State Route 101,State Route,101, ,5,49917.673783696
50,State Route 31,State Route,31, ,5,76301.0924325873
51,State Route 305,State Route,305, ,5,18224.2467795467
52,State Route 43,State Route,43, ,5,26768.953277219
53,State Route 125,State Route,125, ,5,6362.18745156409
54,State Route 178,State Route,178, ,5,36728.8342875493
55,State Route 194,State Route,194, ,4,19564.0762942007
56,State Route 185,State Route,185, ,5,33626.5874098956
57,State Route 4,State Route,4, ,4,270778.793883239
58,State Route 167,State Route,167, ,5,51170.0605967235
59,State Route 275,State Route,275, ,5,21776.5102326641
60,State Route 118,State Route,118, ,5,39963.2299083317
61,State Route 97,State Route,97, ,4,150130.300119937
62,State Route 205,State Route,205, ,5,20009.6841511565
63,State Route 173,State Route,173, ,5,32405.2135611079
64,State Route 3,State Route,3, ,5,74850.3984717026
65,State Route 341,State Route,341, ,5,84457.8035740251
66,State Route 9,State Route,9, ,2,304815.113497197
67,State Route 99,State Route,99, ,5,57866.200641549
68,State Route 314,State Route,314, ,5,10758.7928020547
69,State Route 94,State Route,94, ,5,47859.3041568663
70,State Route 71,State Route,71, ,5,100491.394616863
71,State Route 66,State Route,66, ,4,210738.697364484
72,State Route 203,State Route,203, ,5,28152.5808526242
73,State Route 87,State Route,87, ,5,87555.3978649349
74,State Route 175,State Route,175, ,5,32910.7498052435
75,State Route 176,State Route,176, ,5,22257.7434840433
76,State Route 209,State Route,209, ,5,15772.6202798787
77,State Route 109,State Route,109, ,5,114886.828415458
78,State Route 61,State Route,61, ,5,48599.356354419
79,State Route 222,State Route,222, ,5,40551.1287711473
80,State Route 174,State Route,174, ,5,16435.3968321826
81,State Route 229,State Route,229, ,5,30931.383196084
82,State Route 254,State Route,254, ,5,38725.1782871067
83,State Route 289,State Route,289, ,5,27299.764989664
84,State Route 71A,State Route,71A, ,5,21025.4887940195
85,State Route 132,State Route,132, ,5,58559.5884668889
86,State Route 55,State Route,55, ,4,13828.6429768311
87,State Route 207,State Route,207, ,4,84904.838233308
88,State Route 120,State Route,120, ,5,16508.2492385367
89,State Route 364,State Route,364, ,5,24304.7477289561
90,State Route 16,State Route,16, ,5,90472.6723965493
91,State Route 37,State Route,37, ,5,98741.9135817555
92,State Route 17A,State Route,17A, ,5,15972.0354449036
93,State Route 199,State Route,199, ,5,24564.4668141838
94,State Route 196,State Route,196, ,5,28632.0790974828
95,State Route 354,State Route,354, ,5,38939.497663881
96,State Route 11,State Route,11, ,4,65253.5006070632
97,State Route 322,State Route,322, ,5,51441.5957342006
98,State Route 217,State Route,217, ,5,20424.6033526484
99,State Route 149,State Route,149, ,5,61155.392407167
100,State Route 317,State Route,317, ,5,32273.956572083
101,State Route 188,State Route,188, ,5,83870.0928741478
102,State Route 163,State Route,163, ,4,67457.6625749633
103,State Route 68,State Route,68, ,5,116939.480244999
104,State Route 157,State Route,157, ,5,36328.955649752
105,State Route 150,State Route,150, ,5,47829.1252200092
106,State Route 117,State Route,117, ,5,60009.7472483332
107,State Route 172,State Route,172, ,5,22932.2784692876
108,State Route 133,State Route,133, ,5,44236.9706942708
109,State Route 154,State Route,154, ,4,148288.479526034
110,State Route 214,State Route,214, ,5,38558.7194106091
111,State Route 184,State Route,184, ,5,84448.5728394064
112,State Route 216,State Route,216, ,4,15016.2444677572
113,State Route 79,State Route,79, ,5,75692.4874803061
114,State Route 148,State Route,148, ,5,87465.0860592641
115,State Route 40,State Route,40,Mount Carmel Connector,5,13396.4167586887
116,State Route 78,State Route,78, ,5,3239.20407653037
117,State Route 115,State Route,115, ,5,30368.4042686746
118,State Route 27,State Route,27, ,5,17006.2517075169
119,State Route 80,State Route,80, ,4,137886.794569404
120,State Route 234,State Route,234, ,5,36719.4033004745
121,State Route 53,State Route,53, ,4,124425.884411913
122,State Route 302,State Route,302, ,4,41968.7891084574
123,State Route 161,State Route,161, ,5,42596.2059316049
124,State Route 334,State Route,334, ,5,23671.033599787
125,State Route 77,State Route,77, ,4,72903.6401566569
126,State Route 153,State Route,153, ,5,28281.5201401661
127,State Route 313,State Route,313, ,5,33577.2532442479
128,State Route 156,State Route,156, ,4,119909.676402127
129,State Route 58,State Route,58, ,4,97641.7815026883
130,State Route 103,State Route,103, ,5,28003.7404877018
131,State Route 243,State Route,243, ,5,35800.5552813162
132,State Route 111,State Route,111, ,5,61859.1886244263
133,State Route 114,State Route,114, ,5,41921.3164469252
134,State Route 215,State Route,215, ,5,24196.572114351
135,State Route 349,State Route,349, ,5,20860.1797223489
136,State Route 110,State Route,110, ,5,84958.2247912229
137,State Route 122,State Route,122, ,5,24189.7853339889
138,State Route 35,State Route,35, ,5,30246.4168682139
139,State Route 116,State Route,116, ,5,22756.0419160445
140,State Route 166,State Route,166, ,5,8659.01942847665
141,State Route 337,State Route,337, ,5,26240.286174098
142,State Route 121,State Route,121, ,5,29932.9277876384
143,State Route 100,State Route,100, ,5,24014.0504560681
