OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,SECLEVEL,FACTYPE,AGENCY,INMATE_MEN,INMATE_WOM,INMATE_JUV,INMATE_COE,CAPACITY,TOTALPOP,EMERPHONE,PERM_ID,GNIS_ID,PS
1,10425463,UNCLASSIFIED,SWEET HOME POLICE DEPARTMENT,541-367-5181,1950 MAIN STREET, ,SWEET HOME,OR,97386,1711,LINN,41043,ON THE NORTH SIDE OF MAIN STREET BETWEEN 19TH AVENUE AND 22ND AVENUE, , , ,2008/09/12 00:00:00+00,PHONE,2008/09/12 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),109784161,-122.7210418,44.40001,NAVTEQ,2008Q1,ONENTITY,YES,TGS,LINN_POL03A, , , , , , , ,0,0, , , ,Y
2,10171623,UNCLASSIFIED,OAKRIDGE POLICE DEPARTMENT,541-782-4232,76435 ASH STREET, ,OAKRIDGE,OR,97463,9606,LANE,41039,E SIDE OF ASH ST BETWEEN E COMMERCIAL ST AND E 1ST ST, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),86716883,-122.4569066,43.7472225,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
3,10476554,UNCLASSIFIED,UNITED STATES CUSTOMS AND BORDER PROTECTION - PORTLAND DEFERRED INSPECTION SITE,503-326-3409,511 NORTHWEST BROADWAY,ROOM 117,PORTLAND,OR,97209,3411,MULTNOMAH,41051,ON THE WEST SIDE OF NW BROADWAY ST BETWEEN NW GLISAN ST AND NW HOYT ST., , , ,2008/09/15 00:00:00+00,PHONE,2008/09/15 00:00:00+00,MANUAL,922120,FEDERAL POLICE SERVICES,21305917,-122.6779878,45.5269982,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , ,DEFERRED INSPECTION SITES,USCBP, , , , ,0,0, , , ,Y
4,10448854,UNCLASSIFIED,CROOK COUNTY CORRECTIONAL FACILITY,541-416-3620,400 NORTHEAST 3RD STREET, ,PRINEVILLE,OR,97754,1921,CROOK,41013,LOCATED ON SOUTH SIDE OF EAST 3RD STREET BETWEEN NE DUNHAM STREET AND N ELM STREET., , , ,2008/02/11 00:00:00+00,PHONE,2008/02/11 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,87453815,-120.8428523,44.3026352,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , , , , , , , ,0,0, , , ,N
5,10425984,UNCLASSIFIED,NORTHERN OREGON REGIONAL CORRECTIONAL FACILITY ADULT,541-298-1576,201 WEBBER STREET, ,THE DALLES,OR,97058,3507,WASCO,41065,"LOC ON THE NORTHWEST SIDE OF WEBER ST, BETWEEN W 2ND ST AND W 1ST ST.", , , ,2008/02/07 00:00:00+00,PHONE,2008/02/12 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,109826952,-121.2013205,45.6119336,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , , , , , , , ,0,0, , , ,N
6,10461814,UNCLASSIFIED,LANE COUNTY SHERIFFS OFFICE,541-682-6790,125 EAST 8TH AVENUE, ,EUGENE,OR,97401,2922,LANE,41039,"LOC ON THE NORTH SIDE OF E 8TH AVE, BETWEEN OAK ST AND PEARL ST ACROSS FROM E PARK STREET.", , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),37686996,-123.0904601,44.0512897,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , , , , , , , ,0,0, , , ,Y
7,10171631,UNCLASSIFIED,TROUTDALE POLICE DEPARTMENT,503-665-6129,141 SOUTHEAST DORA STREET, ,TROUTDALE,OR,97060,2058,MULTNOMAH,41051,W SIDE OF SE DORA ST BETWEEN SE 2ND ST AND E COLUMBIA RIVER HWY, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),21382287,-122.3877252,45.5403154,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
8,10171656,UNCLASSIFIED,SEASIDE POLICE DEPARTMENT,503-738-6311,1091 SOUTH HOLLIDAY DRIVE, ,SEASIDE,OR,97138,6612,CLATSOP,41007,LOCATED ON S HOLLIDAY DR E SIDE BETWEEN AVE J AND AVE K., , , ,2006/06/27 00:00:00+00,PHONE,2006/06/27 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),87480385,-123.9232823,45.987217,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
9,10461799,UNCLASSIFIED,CONDON POLICE DEPARTMENT,541-384-6111,128 SOUTH MAIN STREET, ,CONDON,OR,97823, ,GILLIAM,41021,"EAST SIDE OF S MAIN ST, BETWEEN OR-19 AND E GILLIAM ST.", , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),21187828,-120.1844214,45.2366583,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , , , , , , , ,0,0, , , ,Y
10,10461762,UNCLASSIFIED,UNITED STATES MARSHALS SERVICE - EUGENE,541-465-6701,405 EAST 8TH AVENUE,WAYNE LYMAN MORSE UNITED STATES COURTHOUSE SUITE 1200,EUGENE,OR,97401,3301,LANE,41039,"LOC ON THE NORTH SIDE OF E 8TH AVE, BETWEEN FERRY ST AND MILL ST.", , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,922120,MARSHALS' OFFICES,37693247,-123.0862458,44.0512897,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , , , , , , , ,0,0, , , ,Y
