OBJECTID,CODE,CB_DIST,DISTRICT,NAME,ADDR,ADDR2,CITY,ZIP,PHONE,FAX,EMAIL,URL,URL2,MAPURL,DISTRICTNAME,Shape__Area,Shape__Length
1,19,19,19th,Marah Altenberg,18 N County St, ,Waukegan,60085,(847) 562-6247, ,MAltenberg@lakecountyil.gov,https://www.lakecountyil.gov/District19,https://www.lakecountyil.gov/D19Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard19.pdf,19 - Marah Altenberg,88814936.734375,63732.9874882094
2,18,18,18th,Sara Frederick Knizhnik,18 N County St, ,Waukegan,60085,(847) 377-2300, ,SKnizhnik@lakecountyil.gov,https://www.lakecountyil.gov/District18,https://www.lakecountyil.gov/D18Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard18.pdf,18 - Sara Frederick Knizhnik,111275848.355469,84764.8896558455
3,11,11,11th,Paul Frank,18 N County St, ,Waukegan,60085,(224) 707-1101, ,PFrank@lakecountyil.gov,https://www.lakecountyil.gov/District11,https://www.lakecountyil.gov/D11Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard11.pdf,11 - Paul Frank,69296621.2265625,52362.6708406617
4,12,12,12th,Paras Parekh,18 N County St, ,Waukegan,60085,(847) 946-6832, ,PParekh@lakecountyil.gov,https://www.lakecountyil.gov/District12,https://www.lakecountyil.gov/D12Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard12.pdf,12 - Paras Parekh,98112734.796875,57075.2170804453
5,10,10,10th,Jessica Vealitzek,18 N County St, ,Waukegan,60085,(224) 406-3250, ,JVealitzek@lakecountyil.gov,https://www.lakecountyil.gov/District10,https://www.lakecountyil.gov/D10Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard10.pdf,10 - Jessica Vealitzek,67173358.6171875,64885.4921177514
6,15,15,15th,Jennifer Clark,18 N County St, ,Waukegan,60085,(224) 406-3007, ,JClark@lakecountyil.gov,https://www.lakecountyil.gov/District15,https://www.lakecountyil.gov/D15Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard15.pdf,15 - Jennifer Clark,56172022.5976563,44730.6162213129
7,3,3,3rd,Ann Maine,18 N County St, ,Waukegan,60085,(847) 857-1732, ,AMaine@lakecountyil.gov,https://www.lakecountyil.gov/District3,https://www.lakecountyil.gov/D3Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard3.pdf,3 - Ann Maine,218154000.140625,129376.967285543
8,2,2,2nd,Adam Schlick,18 N County St, ,Waukegan,60085,(847) 377-2300, ,ASchlick@lakecountyil.gov,https://www.lakecountyil.gov/District2,https://www.lakecountyil.gov/D2Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard2.pdf,2 - Adam Schlick,201963947.007813,92603.2979659976
9,17,17,17th,Michael Danforth,18 N County St, ,Waukegan,60085,(224) 760-0027, ,MDanforth@lakecountyil.gov,https://www.lakecountyil.gov/District17,https://www.lakecountyil.gov/D17Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard17.pdf,17 - Michael Danforth,226914318.777344,119569.602617268
10,13,13,13th,Sandy Hart,18 N County St, ,Waukegan,60085,(847) 377-2300, ,smhart@lakecountyil.gov,https://www.lakecountyil.gov/District13,https://www.lakecountyil.gov/D13Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard13.pdf,13 - Sandy Hart,80010697.4414063,74899.7102486602
11,9,9,9th,Mary Ross-Cunningham,18 N County St, ,Waukegan,60085,(847) 599-8852, ,MCunningham@lakecountyil.gov,https://www.lakecountyil.gov/District9,https://www.lakecountyil.gov/D9Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard9.pdf,9 - Mary Ross-Cunningham,20797562.703125,32587.6948404474
12,14,14,14th,Angelo Kyle,18 N County St, ,Waukegan,60085,(224) 406-3532, ,AKyle@lakecountyil.gov,https://www.lakecountyil.gov/District14,https://www.lakecountyil.gov/D14Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard14.pdf,14 - Angelo Kyle,43677830.0898438,54803.8338782351
13,16,16,16th,Esiah Campos,18 N County St, ,Waukegan,60085,(847) 377-2300, ,ECampos@lakecountyil.gov,https://www.lakecountyil.gov/District16,https://www.lakecountyil.gov/D16Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard16.pdf,16 - Esiah Campos,38869507.1289063,38976.8734210662
14,7,7,7th,Carissa Casbon,18 N County St, ,Waukegan,60085,(224) 501-5323, ,CCasbon@lakecountyil.gov,https://www.lakecountyil.gov/District7,https://www.lakecountyil.gov/D7Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard7.pdf,7 - Carissa Casbon,85682927.484375,62483.4992620877
15,6,6,6th,John Wasik,18 N County St, ,Waukegan,60085,(224) 406-6357, ,JWasik@lakecountyil.gov,https://www.lakecountyil.gov/District6,https://www.lakecountyil.gov/D6Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard6.pdf,6 - John Wasik,115566014.765625,88437.5947451469
16,8,8,8th,Diane Hewitt,18 N County St, ,Waukegan,60085,(224) 627-0883, ,DHewitt@lakecountyil.gov,https://www.lakecountyil.gov/District8,https://www.lakecountyil.gov/D8Newsletter,https://maps.lakecountyil.gov/output/DistrictMaps/bord/cboard8.pdf,8 - Diane Hewitt,84314373.2578125,55595.9804205421
