OBJECTID,ID,SURFACE_MATERIAL,MAINTENANCE_RESPONSIBILITY,WIDTH,COMMENTS,GLOBALID,PLAN_NUM,MAPNUM,DEEDBOOK,DEEDPAGE,TRAIL_NAME,ADDITION_TRAIL_NAME,TRAILOWNER,TRAILNAME,SOURCEDATE,SOURCETYPE,ADA,SIGNAGE,RESTRICTION,PARK_REGISTRY_ID,TRIRIGA_ID,SENSITIVE_RESOURCE,DIFFICULTY,STEPS,PARK_NAME,SUPERVISOR_DISTRICT,PLANNING_DISTRICT,MAINTENANCE_AREA,CreationDate,Creator,EditDate,Editor,Shape__Length
1,801104,Asphalt,Fairfax County Park Authority,6.0,,e520c5d1-d190-4a64-8344-ce1741033f0e,,0111,,,,,,,2007/03/08 00:00:00+00,GPS,,,,304.0,PA304-TRL-A,, ,F,Sugarland Run Stream Valley,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,67.6019414772577
2,803670,Natural,Fairfax County Park Authority,6.0,,1b261c42-bd58-4ddd-8613-abfbe61e2753,,0604,,,,,,,2007/04/16 00:00:00+00,GPS,,,,205.0,PA205-TRL-N,, ,F,Mason District,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1417.85162831312
3,801499,Bridge,Fairfax County Park Authority,4.0,,ec527aec-7199-4ca0-a454-c940656eb2b7,,0442,,,,,,,2007/03/20 00:00:00+00,GPS,,,,108.0,PA108-TRL-BG,, ,F,Frog Branch Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,41.7704238009746
4,805568,Asphalt,Fairfax County Park Authority,6.0,,8fbc0195-0c75-471a-b458-c9d348bfea94,,0481,,,,,,,,,,,,,,,,,Nottoway,Providence,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,330.578056096759
5,802354,Asphalt,Fairfax County Park Authority,6.0,CCT,7da09227-c36a-4dbf-8ae1-1aaac7c19163,,0894,,,Cross County Trail,,,,2007/04/02 00:00:00+00,GPS,,,,259.0,PA259-TRL-A,, ,F,Pohick Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,95.0247792021392
6,802541,Asphalt,Fairfax County Park Authority,8.0,,1d02e0ce-5e3c-4f1c-a6c2-7debfc28be1e,,0692,,,,,,,2007/03/30 00:00:00+00,GPS,,,,281.0,PA281-TRL-A,, ,F,Rutherford,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,40.5941204367648
7,803525,Asphalt,Fairfax County Park Authority,6.0,,b41c47d3-c2a9-4977-9786-44912bd2cf10,,0604,,,,,,,2007/04/16 00:00:00+00,GPS,,,,205.0,PA205-TRL-A,, ,F,Mason District,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,83.9240905848188
8,801645,Asphalt,Fairfax County Park Authority,6.0,,dacc3e67-504b-425e-804f-313b24bc835b,,0444,,,,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-A,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1114.26518887953
9,800259,Concrete,Fairfax County Park Authority,8.0,,61b8ec39-78b3-4090-b735-3c13a45b352f,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-C,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,19.8802971550606
10,802477,Asphalt,Fairfax County Park Authority,8.0,CCT,ed687e22-e621-4633-8de9-8660428e5b1f,,1071,,,Cross County Trail,,,,2007/04/04 00:00:00+00,GPS,,,,392.0,PA392-TRL-A,, ,F,Laurel Hill,Mount Vernon,Lower Potomac,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,22.5183644928736
12,802573,Gravel,Fairfax County Park Authority,6.0,,eb489255-41d8-483d-8110-1b571fe91a7d,,0892,,,,,,,2007/04/02 00:00:00+00,GPS,,,,1.0,PA1-TRL-G,, ,F,Accotink Stream Valley,Franconia,Springfield,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,645.81163601718
13,801911,Asphalt,Fairfax County Park Authority,8.0,,6c5ff1f3-051e-4259-b762-11840ef7ca28,,0453,,,,,,,2007/03/27 00:00:00+00,GPS,,,,121.0,PA121-TRL-A,, ,F,Greenbriar,Springfield,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,379.84386427709
14,801639,Asphalt,Fairfax County Park Authority,6.0,,a864e5ff-5aef-41f9-8faa-03d2362b9f2a,,0551,,,,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-A,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,563.851792718575
15,801605,Asphalt,Fairfax County Park Authority,8.0,,59d1d8fd-4a12-4dd5-8542-267fbbf4e157,,0542,,,,,,,2007/03/27 00:00:00+00,GPS,,,,77.0,PA77-TRL-A,, ,F,Ellanor C. Lawrence,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,233.752786744205
17,802548,Concrete,Fairfax County Park Authority,6.0,,5801e97f-fecc-4d58-b324-de33316f102a,,0891,,,,,,,2007/03/29 00:00:00+00,GPS,,,,135.0,PA135-TRL-C,, ,F,Hidden Pond,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,112.614508985933
18,802483,Natural,Fairfax County Park Authority,4.0,,68ff7265-c3f9-4256-9156-31dcac6a3887,,0891,,,,,,,2007/03/29 00:00:00+00,GPS,,,,259.0,PA259-TRL-N,, ,F,Pohick Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,36.579735761294
19,801610,Woodchip,Fairfax County Park Authority,6.0,,2838d6ec-f42f-4013-8e36-096532df8daa,,0542,,,,,,,2007/03/28 00:00:00+00,GPS,,,,77.0,PA77-TRL-W,, ,T,Ellanor C. Lawrence,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,310.388362468923
20,800887,Natural,Fairfax County Park Authority,6.0,,cc774f93-5c8d-461f-8f56-08283752c227,,0211,,,Stubblefield Falls Overlook Trail,,,,2007/03/13 00:00:00+00,GPS,,,,284.0,PA284-TRL-N,, ,F,Scotts Run Nature Preserve,Dranesville,McLean,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,120.830803034219
21,804811,Asphalt,NOVA Parks,9.0,,686e9701-b7bc-4af0-b3b7-4836b8349903,,0484,,,,,,,2007/04/19 00:00:00+00,GPS,,,,314.0,PA314-TRL-A,, ,F,Towers,Providence,Fairfax,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,496.20033680446
22,802481,Asphalt,Fairfax County Park Authority,6.0,,a3d00692-0a44-4e57-950a-936ff8895a9c,,0703,,,,,,,2007/03/30 00:00:00+00,GPS,,,,196.0,PA196-TRL-A,, ,F,Long Branch Stream Valley,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,144.693294091507
23,804882,Concrete,Fairfax County Park Authority,6.0,,a909b576-4222-42c1-91c0-bac881367293,,0372,,,,,,,2007/04/19 00:00:00+00,GPS,,,,160.0,PA160-TRL-C,, ,F,Kemper,Hunter Mill,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,62.9505832388845
24,800341,Concrete,Fairfax County Park Authority,4.0,,88e5446f-2f98-493e-b8fe-297d0d7a0136,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-C,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,19.6346505170258
25,804137,Asphalt,Fairfax County Park Authority,6.0,,161ab3d2-feed-4983-85ea-6a3d587879e9,,0592,,,,,,,2007/04/13 00:00:00+00,GPS,,,,141.0,PA141-TRL-A,, ,F,Holmes Run Stream Valley,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,468.230524136392
26,804174,Asphalt,Fairfax County Park Authority,6.0,,08b35b08-699c-49e2-90bb-f9888641d62f,,0601,,,,,,,2011/06/20 00:00:00+00,GPS,,,,278.0,PA278-TRL-A,,,F,Roundtree,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,157.42828801676
27,803924,Asphalt,Fairfax County Park Authority,4.0,,6a1429f4-b9aa-40ab-918e-73e2c4af9977,,0921,,,,,,,2007/08/29 00:00:00+00,GPS,,,,177.0,PA177-TRL-A,, ,F,Franconia,Franconia,Rose Hill,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,55.0836514796608
28,801185,Natural,Fairfax County Park Authority,6.0,,a4e43ec4-91ed-4e22-be06-d73441cddcae,,0091,,,Madison's Escape Trail,,,,2007/02/27 00:00:00+00,GPS,,,,272.0,PA272-TRL-N,, ,F,Riverbend,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,850.449494900758
29,805043,Gravel,Fairfax County Park Authority,6.0,,01203354-f69e-4ec4-8293-92aa0936a064,,0703,,,,,,,2007/08/29 00:00:00+00,GPS,,,,196.0,PA196-TRL-G,, ,F,Long Branch Stream Valley,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,25.4912477128404
30,804623,Stonedust,Fairfax County Park Authority,8.0,,153ce0cd-b5eb-4d04-92c8-fe10d0ea32a6,,0304,,,,,,,2007/04/20 00:00:00+00,GPS,,,,29.0,PA29-TRL-SD,, ,F,Bryn Mawr,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,484.473698563361
31,803831,Natural,Fairfax County Park Authority,6.0,,c17b4c6a-53fb-4311-82fe-4a729eae26d5,,0703,,,,,,,2007/04/17 00:00:00+00,GPS,,,,233.0,PA233-TRL-N,, ,F,Oak Hill,Braddock,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,59.514473251695
32,802436,Asphalt,Fairfax County Park Authority,6.0,,891c4db0-0c2c-4d05-8f6a-97f240956de2,,0891,,,,,,,2007/03/29 00:00:00+00,GPS,,,,135.0,PA135-TRL-A,, ,F,Hidden Pond,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,148.732541552468
33,803299,Asphalt,Fairfax County Park Authority,6.0,,496add40-2054-4295-9cb1-37c0e666be14,,0821,,,,Connector,,,2007/04/09 00:00:00+00,GPS,,,,203.0,PA203-TRL-N,,,F,Mark Twain,Franconia,Rose Hill,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,272.516740761474
34,800554,Gravel,Fairfax County Park Authority,6.0,,ec825df0-fd24-42d1-875e-77353b4c8318,,0184,,,,,,,2007/03/07 00:00:00+00,GPS,,,,66.0,PA66-TRL-G,, ,F,Difficult Run Stream Valley,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,609.860903993686
35,802954,Asphalt,Fairfax County Park Authority,6.0,,78293945-7352-44b0-9f3f-5002b719cd2c,,0983,,,,,,,2007/04/04 00:00:00+00,GPS,,,,293.0,PA293-TRL-A,, ,F,South Run Stream Valley,Mount Vernon,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,84.4217914466292
36,803025,Asphalt,Fairfax County Park Authority,6.0,,d98fef31-816b-4038-82c7-d3843e833132,,0971,,,,,,,2007/04/05 00:00:00+00,GPS,,,,293.0,PA293-TRL-A,, ,F,South Run District,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1314.58406631405
