OBJECTID,DFIRM_ID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,AR_REVERT,SOURCE_CIT,HYDRO_ID,CST_MDL_ID
497,50003C,50003C_131,AE,FLOODWAY,T,,50003C_FIRM4,,
498,50003C,50003C_470,AE,FLOODWAY,T,,50003C_FIRM6,,
499,50003C,50003C_577,AE,FLOODWAY,T,,50003C_STUDY1,,
500,50003C,50003C_114,AE,FLOODWAY,T,,50003C_STUDY1,,
501,50003C,50003C_271,AE,FLOODWAY,T,,50003C_FIRM2,,
502,50027C,50027C_9134,AE,FLOODWAY,T,,50027C_FIS1,,
503,50021C,50021C_7324,AE,FLOODWAY,T,,50021C_FIS1,,
504,50027C,50027C_8277,AE,FLOODWAY,T,,50027C_FIS1,,
505,50025C,50025C_2715,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
506,50021C,50021C_5935,AE,FLOODWAY,T,,50021C_FIS1,,
507,50027C,50027C_8780,AE,FLOODWAY,T,,50027C_FIS1,,
508,50027C,50027C_9311,AE,FLOODWAY,T,,50027C_FIS1,,
509,50027C,50027C_4318,AE,FLOODWAY,T,,50027C_FIS1,,
510,50021C,50021C_7324,AE,FLOODWAY,T,,50021C_FIS1,,
511,500056,500056_6729,AE,FLOODWAY,T,,500056_FIS1,,
512,50027C,50027C_9281,AE,FLOODWAY,T,,50027C_FIS1,,
513,50027C,50027C_8820,AE,FLOODWAY,T,,50027C_FIS1,,
514,50021C,50021C_7714,AE,FLOODWAY,T,,50021C_FIS2,,
515,50025C,50025C_2543,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
516,50027C,50027C_8780,AE,FLOODWAY,T,,50027C_FIS1,,
517,50025C,50025C_2762,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
518,50021C,50021C_7274,AE,FLOODWAY,T,,50021C_FIS1,,
519,50027C,50027C_9152,AE,FLOODWAY,T,,50027C_FIS1,,
520,50027C,50027C_8037,AE,FLOODWAY,T,,50027C_FIS1,,
521,50027C,50027C_9159,AE,FLOODWAY,T,,50027C_FIS1,,
522,50027C,50027C_9160,AE,FLOODWAY,T,,50027C_FIS1,,
523,50021C,50021C_7324,AE,FLOODWAY,T,,50021C_FIS1,,
524,50021C,50021C_7584,AE,FLOODWAY,T,,50021C_FIS1,,
525,50027C,50027C_9150,AE,FLOODWAY,T,,50027C_FIS1,,
526,50027C,50027C_9151,AE,FLOODWAY,T,,50027C_FIS1,,
527,50027C,50027C_9157,AE,FLOODWAY,T,,50027C_FIS1,,
528,50027C,50027C_9158,AE,FLOODWAY,T,,50027C_FIS1,,
529,50027C,50027C_9228,AE,FLOODWAY,T,,50027C_FIS1,,
530,50027C,50027C_9265,AE,FLOODWAY,T,,50027C_FIS1,,
531,50027C,50027C_8374,AE,FLOODWAY,T,,50027C_FIS1,,
532,50021C,50021C_7171,AE,FLOODWAY,T,,50021C_FIS1,,
533,500068,500068_6928,AE,FLOODWAY,T,,500068_FIS1,,
534,50021C,50021C_7399,AE,FLOODWAY,T,,50021C_FIS1,,
535,50025C,50025C_2633,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
536,50021C,50021C_5079,AE,FLOODWAY,T,,50021C_FIS1,,
537,50025C,50025C_2381,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
538,50021C,50021C_7422,AE,FLOODWAY,T,,50021C_FIS1,,
539,50021C,50021C_7688,AE,FLOODWAY,T,,50021C_FIS1,,
540,50021C,50021C_7274,AE,FLOODWAY,T,,50021C_FIS1,,
541,50021C,50021C_7688,AE,FLOODWAY,T,,50021C_FIS1,,
542,50027C,50027C_9228,AE,FLOODWAY,T,,50027C_FIS1,,
543,50027C,50027C_6313,AE,FLOODWAY,T,,50027C_FIS1,,
544,50027C,50027C_6314,AE,FLOODWAY,T,,50027C_FIS1,,
545,50021C,50021C_7863,AE,FLOODWAY,T,,50021C_FIS1,,
546,50025C,50025C_2715,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
547,50027C,50027C_9184,AE,FLOODWAY,T,,50027C_FIS1,,
548,50027C,50027C_6275,AE,FLOODWAY,T,,50027C_FIS1,,
549,50021C,50021C_7714,AE,FLOODWAY,T,,50021C_FIS2,,
550,50025C,50025C_2740,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
551,50027C,50027C_9257,AE,FLOODWAY,T,,50027C_FIS1,,
552,500056,500056_6719,AE,FLOODWAY,T,,500056_FIS1,,
553,50021C,50021C_7399,AE,FLOODWAY,T,,50021C_FIS1,,
554,50021C,50021C_7681,AE,FLOODWAY,T,,50021C_FIS2,,
555,50021C,50021C_7584,AE,FLOODWAY,T,,50021C_FIS1,,
556,50025C,50025C_2795,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
557,50027C,50027C_8609,AE,FLOODWAY,T,,50027C_FIS1,,
558,50027C,50027C_4318,AE,FLOODWAY,T,,50027C_FIS1,,
559,50021C,50021C_6445,AE,FLOODWAY,T,,50021C_FIS1,,
560,50021C,50021C_5954,AE,FLOODWAY,T,,50021C_FIS1,,
561,50027C,50027C_6316,AE,FLOODWAY,T,,50027C_FIS1,,
562,500066,500066_6772,AE,FLOODWAY,T,,500066_FIS1,,
563,50021C,50021C_7054,AE,FLOODWAY,T,,50021C_FIS1,,
564,500234,500234_7873,AE,FLOODWAY,T,,500234_FIS1,,
565,50027C,50027C_8037,AE,FLOODWAY,T,,50027C_FIS1,,
566,50021C,50021C_5079,AE,FLOODWAY,T,,50021C_FIS1,,
567,50027C,50027C_8609,AE,FLOODWAY,T,,50027C_FIS1,,
568,50025C,50025C_2733,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
569,50027C,50027C_9134,AE,FLOODWAY,T,,50027C_FIS1,,
570,50027C,50027C_9257,AE,FLOODWAY,T,,50027C_FIS1,,
571,50027C,50027C_8618,AE,FLOODWAY,T,,50027C_FIS1,,
572,50025C,50025C_2609,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
