OBJECTID,DFIRM_ID,XS_LN_ID,XS_LTR,START_ID,STREAM_STN,XS_LN_TYP,WTR_NM,WSEL_REG,LEN_UNIT,V_DATUM,SOURCE_CIT,BED_ELEV,TOP_WIDTH,XS_AREA,AREA_UNIT,VELOCITY,VEL_UNIT
19768,50003C,50003C_174,,50003C_3,6001.0,"NOT LETTERED, NOT MAPPED",South Stream,673.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19769,50003C,50003C_175,,50003C_3,5857.0,"NOT LETTERED, NOT MAPPED",South Stream,671.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19770,50003C,50003C_176,,50003C_3,5768.0,"NOT LETTERED, NOT MAPPED",South Stream,668.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19771,50003C,50003C_177,,50003C_3,5634.0,"NOT LETTERED, NOT MAPPED",South Stream,667.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19772,50003C,50003C_178,,50003C_3,5296.0,"NOT LETTERED, NOT MAPPED",South Stream,661.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19773,50003C,50003C_179,,50003C_3,4964.0,"NOT LETTERED, NOT MAPPED",South Stream,659.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19774,50003C,50003C_180,,50003C_3,4788.0,"NOT LETTERED, NOT MAPPED",South Stream,657.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19775,50003C,50003C_182,,50003C_3,4096.0,"NOT LETTERED, NOT MAPPED",South Stream,654.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19776,50003C,50003C_183,,50003C_3,3965.0,"NOT LETTERED, NOT MAPPED",South Stream,651.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19777,50003C,50003C_184,,50003C_3,3898.0,"NOT LETTERED, NOT MAPPED",South Stream,651.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19778,50003C,50003C_185,,50003C_3,2797.0,"NOT LETTERED, NOT MAPPED",South Stream,643.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19779,50003C,50003C_186,,50003C_3,2394.0,"NOT LETTERED, NOT MAPPED",South Stream,642.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19780,50003C,50003C_187,,50003C_3,2256.0,"NOT LETTERED, NOT MAPPED",South Stream,639.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19781,50003C,50003C_188,,50003C_3,2166.0,"NOT LETTERED, NOT MAPPED",South Stream,638.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19782,50003C,50003C_189,,50003C_3,1777.0,"NOT LETTERED, NOT MAPPED",South Stream,634.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19783,50003C,50003C_190,,50003C_3,970.0,"NOT LETTERED, NOT MAPPED",South Stream,627.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19784,50003C,50003C_191,,50003C_3,643.0,"NOT LETTERED, NOT MAPPED",South Stream,626.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19785,50003C,50003C_192,,50003C_3,297.0,"NOT LETTERED, NOT MAPPED",South Stream,624.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19786,50003C,50003C_193,,50003C_3,143.0,"NOT LETTERED, NOT MAPPED",South Stream,620.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19787,50003C,50003C_194,,50003C_3,70.0,"NOT LETTERED, NOT MAPPED",South Stream,618.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19788,50003C,50003C_195,,50003C_3,2.0,"NOT LETTERED, NOT MAPPED",South Stream,618.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19789,50003C,50003C_196,,50003C_1,39635.0,"NOT LETTERED, NOT MAPPED",Hoosic River,564.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19790,50003C,50003C_181,,50003C_3,4702.0,"NOT LETTERED, NOT MAPPED",South Stream,657.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19791,50003C,50003C_197,V,50003C_1,38895.0,"LETTERED, MAPPED",Hoosic River,562.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19792,50003C,50003C_198,,50003C_1,38044.0,"NOT LETTERED, NOT MAPPED",Hoosic River,561.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19793,50003C,50003C_199,,50003C_1,36775.0,"NOT LETTERED, NOT MAPPED",Hoosic River,558.0,Feet,NAVD88,50003C_STUDY1,,,,,,
