OBJECTID,Available,Acres,ShapeSTArea,ShapeSTLength
859,Tier 4,6.91352296,285923.855692232,2978.50424782776
860,Tier 4,37.0391546,1613419.12066233,7116.94468572666
861,Tier 4,243.00729571,10585355.4595619,16301.1507313695
862,Tier 4,56.34155678,2416801.95211106,6429.83256443401
1708,Tier 3,4773.74695582,207943585.618691,113647.099326484
1709,Tier 3,4078.39311262,177614860.08798,67097.3505568371
1710,Tier 3,533.57004088,23242352.1944141,30081.4314515334
1711,Tier 3,4084.30202314,178059166.367146,99977.6889233283
1712,Tier 1,263.31835051,11470101.4676666,15175.549142364
1713,Tier 1,227.24127678,9898590.42191592,14638.6455781821
1714,Tier 1,45.47485989,1980876.97316736,5837.95244340083
1715,Tier 1,63.32085064,2797959.00036993,10209.38407226
1716,Tier 2,296.50730967,12915806.7459766,30610.5090607854
1717,Tier 1,218.40766893,9513800.00326253,17191.34682144
1718,Tier 2,782.56832231,34088539.7650882,38697.2408092184
1719,Tier 1,33.86307856,1577837.06442622,4983.04428111478
1720,Tier 1,104.13585294,4583454.94444033,14256.9564516373
1721,Tier 1,199.5277954,8691396.00200987,15893.1327842847
1722,Tier 1,157.6122985,6865564.26031098,10482.0643877063
1723,Tier 1,199.51655397,8690906.32699084,14421.2455384872
1724,Tier 1,221.01235932,9627259.86266697,16092.7662147975
1725,Tier 2,798.41398653,34778774.1376779,29965.3565263408
1726,Tier 1,362.96916564,15817853.7811105,21944.929813145
1727,Tier 1,408.26560446,17237943.4647202,26675.3681597444
1728,Tier 3,271.15107594,11811293.6225048,18981.5934919414
1729,Tier 3,138.69051807,6041334.8019166,11980.7306116836
1730,Tier 3,714.61919144,31297888.4786926,33515.4064927813
1731,Tier 1,545.41373744,23827278.6226119,23258.4900823623
1732,Tier 3,475.49537019,20712495.4753957,21298.0861778122
1733,Tier 3,383.43643598,16702424.3414959,22216.6359566091
1734,Tier 1,11.26339971,490631.72874872,2813.05835257401
1735,Tier 2,0.443628,19324.3582594492,900.801222870451
1736,Tier 2,62.51244339,2723031.14188777,7103.09205642214
1737,Tier 3,167.01872652,7275306.62604527,10789.5491722325
1738,Tier 2,36.75633973,1601099.75411958,5061.6748413605
1739,Tier 1,297.4485086,12956805.2073052,22520.8862021448
1740,Tier 2,452.58912588,19781311.5110056,20091.7903711894
1741,Tier 1,5.43438071,236720.676713852,2419.53699004421
1742,Tier 1,10.09276684,439639.165069465,3269.83010960477
1743,Tier 2,19.23693469,837957.523394827,3977.48840200542
1744,Tier 2,0.07606539,3313.39499459259,883.523167060635
1745,Tier 2,0.13432284,5851.07962415589,1024.49606805706
1746,Tier 2,46.42154092,2022114.23394275,6649.47211546707
1747,Tier 3,12.77376807,556423.111581282,4293.74686914173
1748,Tier 3,340.40411817,14827944.0754108,21470.55150767
1749,Tier 1,324.9143787,14153213.7232235,17671.1912685782
1750,Tier 1,36.06436108,1570957.28461473,8264.33675480185
1751,Tier 1,2.53902688,110599.568466244,1379.33492815241
1752,Tier 1,2.75271687,119907.867072916,1385.10030203642
1753,Tier 1,0.67970818,29607.9700254189,700.549126465434
1754,Tier 3,0.1999563,8710.0617476611,2470.22556658817
1755,Tier 2,355.30114316,15476855.8886072,17570.2070258979
1756,Tier 2,152.24110834,6631596.15301201,11615.4893017388
1757,Tier 2,42.29066586,1842174.03603191,6006.74683909501
1758,Tier 2,12.64021671,550605.637631888,2970.02582891158
