OBJECTID,TSAID,LARNAME,GISACRES,CREATOR,CREATEDATE,LASTEDITOR,LASTEDITDATE,GlobalID,ShapeSTArea,ShapeSTLength
1,TSA0905,Cherokee TSA,4444937.23916,,,kevin.fox,2023/08/10 21:29:01+00,{9A22AD72-9E12-4AD9-B555-7979CE1E80B0},1.80446684485564,7.43330047914536
2,TSA0801,Cheyenne and Arapaho TSA,4302316.41329,,,kevin.fox,2023/08/10 21:24:55+00,{C21515BF-48E0-4718-A8D6-76ED03E0A8D2},1.73525603206147,6.93195316298313
3,TSA0906,Chickasaw TSA,4725565.2802,,,kevin.fox,2023/08/10 21:24:04+00,{EFC2BE0F-D16A-4A29-BE2C-EAA36572C779},1.87801617314536,8.63811027033717
4,TSA0335,Choctaw TSA,6964584.01418,,,,,{6940F653-C5C7-401B-959E-E3CF3619B7B1},2.76997284952917,9.55072573206014
5,TSA0336,Citizen Potawatomi TSA,576541.478086,,,,,{2DADD8E3-019E-406C-877C-F47C6C6C2C63},0.231056921334397,3.16232276339632
6,TSA0337,Eastern Shawnee TSA,13712.9002003,,,,,{25CAEF9A-0C1C-4DC1-9050-1C59AAC0BB2D},0.0056113076143095,0.426099092164427
7,TSA0338,Iowa TSA,229259.256885,,,,,{ABF2C132-60D8-4F78-AE47-A38B3638BB42},0.0926077389517944,1.87162430830112
8,TSA0810,Kaw TSA,100830.218198,,,kevin.fox,2023/08/10 21:27:29+00,{DFB91DBF-2699-4C7C-9759-ABE8CD7078D1},0.0412821599018598,0.888441612306338
9,TSA0823,Kickapoo TSA,206096.86764,,,kevin.fox,2023/08/10 21:03:31+00,{321B86D6-E09D-42DE-9F6D-82A75834DCE9},0.0829727819174761,2.08629456090294
10,TSA0802,Kiowa Comanche Apache TSA,2975587.73298,,,kevin.fox,2023/08/10 21:19:48+00,{AC0DC8C0-5C97-49E7-B04D-F5ACB237E36C},1.18472856368569,6.96446421600027
11,TSA0925,Miami TSA,25671.856571,,,kevin.fox,2023/08/10 21:12:52+00,{710643D4-A85F-413F-9D87-7684788B1C77},0.0105184230786626,0.572891313098834
12,TSA0343,Modoc TSA,4649.10997262,,,,,{A672F809-EDFF-4CF5-B587-8EAE24F1E9F7},0.0019028102834252,0.174625590030098
13,TSA0344,Muscogee Creek TSA,3109628.17247,,,,,{FDCF7AC7-CAA4-4A31-822D-295AE3558989},1.25347344173612,5.29504299011933
14,TSA0930,Osage TSA,1474229.12659,,,kevin.fox,2023/08/10 21:26:57+00,{65A127CF-ECCD-4572-ADE2-4DFA541AA311},0.601558573138696,4.20263637706654
15,TSA0346,Otoe Missouria TSA,129245.630336,,,,,{C78A89F4-6576-4783-ABB5-5F53F8C13EAF},0.0525962690574594,0.974721295248174
16,TSA0347,Ottawa TSA,15577.0153089,,,,,{F5D5F9B5-CD25-469F-A825-47A3017C85AC},0.0063745512725573,0.479588970469738
17,TSA0348,Pawnee TSA,109106.519884,,,,,{FC7864D1-4949-4A9E-A007-8997C6D3B547},0.0443013972389493,1.23027440270872
18,TSA0349,Pawnee Nation TSA,285389.742293,,,,,{AF9CF864-2D69-43AE-91CA-840CF78CE65B},0.115964092065333,1.67374070524147
19,TSA0350,Peoria TSA,23926.7591294,,,,,{3F9C5D12-B406-4D59-B571-CA5827DFE729},0.0097972855117637,0.598912653044073
20,TSA0813,Ponca TSA,104437.824277,,,kevin.fox,2023/08/10 21:26:08+00,{0A3AA974-A3E8-4AFC-8FA8-92AA4322B7B6},0.0425923747561763,1.03016731178758
21,TSA0352,Quapaw TSA,56553.0563078,,,,,{F8ACF5A7-1D89-4A56-B440-DBC821ADFA9D},0.0231743662875712,0.738768026559667
22,TSA0353,Sac and Fox TSA,480457.005208,,,,,{5ABBA607-FE02-45EA-978C-122FA8516090},0.193809852339379,2.68783537345867
23,TSA0354,Seminole TSA,367478.595085,,,,,{78FD8ADB-C165-4CEF-A151-DA98EE283A3F},0.147230305616319,2.1305169629863
24,TSA0923,Seneca Cayuga TSA,52872.5912849,,,kevin.fox,2023/08/10 21:29:35+00,{DC90DB75-5DF1-4015-BDF8-522E6C762DC6},0.0215926593730286,0.884863761948338
25,TSA0814,Tonkawa TSA,91776.6892479,,,kevin.fox,2023/08/10 21:25:34+00,{D2239F1D-9D8D-4749-BAB9-6400D0565FCA},0.0374742774054532,0.778751492504008
26,TSA0804,Wichita Caddo and Delaware TSA,732595.168597,,,kevin.fox,2023/08/10 21:24:33+00,{63644C60-E238-4FEC-8A9F-5AF0246D0E0A},0.294129223211979,3.57581354741775
27,TSA0358,Wyandotte TSA,20991.9651879,,,,,{90D94774-FE0E-4675-AA77-0B4E03EFD0B7},0.0085841788746075,0.568864908576159
