OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
1,1,Major drainage basin divide,Major,Major,15.02190017,79315.6610769057
2,1,Major drainage basin divide,Major,Major,13.76869964,72698.6315193768
3,1,Major drainage basin divide,Major,Major,18.11890029,95667.592381563
4,1,Major drainage basin divide,Major,Major,8.88488006,46912.157516286
5,1,Major drainage basin divide,Major,Major,14.7013998,77623.2567510253
6,1,Major drainage basin divide,Major,Major,13.55309963,71560.2498505273
7,1,Major drainage basin divide,Major,Major,13.45219993,71027.3707088788
8,1,Major drainage basin divide,Major,Major,6.57904005,34737.3390197115
9,2,Regional drainage basin divide,Regional,Regional,8.89801979,46981.5490911915
10,1,Major drainage basin divide,Major,Major,14.46109962,76354.5192150888
11,1,Major drainage basin divide,Major,Major,1.17452001,6201.45659234983
12,1,Major drainage basin divide,Major,Major,7.60774993,40168.9287070769
13,3,Subregional drainage basin divide,Subregional,Subregional,6.70668983,35411.3070446324
14,1,Major drainage basin divide,Major,Major,16.3729,86448.9309389931
15,1,Major drainage basin divide,Major,Major,12.37160015,65322.0581158151
16,3,Subregional drainage basin divide,Subregional,Subregional,13.83310031,73038.787964028
17,1,Major drainage basin divide,Major,Major,11.09869956,58600.9537496227
18,2,Regional drainage basin divide,Regional,Regional,12.08670043,63817.9371492268
19,1,Major drainage basin divide,Major,Major,7.26846981,38377.5173587737
20,1,Major drainage basin divide,Major,Major,1.86053001,9823.57991707874
21,1,Major drainage basin divide,Major,Major,4.48566007,23684.2678085011
22,2,Regional drainage basin divide,Regional,Regional,4.6683402,24648.8253866562
23,1,Major drainage basin divide,Major,Major,16.30520057,86091.5938766398
24,2,Regional drainage basin divide,Regional,Regional,1.70174002,8985.20394232263
25,3,Subregional drainage basin divide,Subregional,Subregional,4.42459011,23361.8587900417
26,2,Regional drainage basin divide,Regional,Regional,3.77427005,19928.1325169742
27,2,Regional drainage basin divide,Regional,Regional,1.02595996,5417.07337246843
28,2,Regional drainage basin divide,Regional,Regional,0.43006199,2270.72759244271
29,2,Regional drainage basin divide,Regional,Regional,2.44697999,12920.0665235075
30,3,Subregional drainage basin divide,Subregional,Subregional,1.54264998,8145.20640082498
31,1,Major drainage basin divide,Major,Major,2.30631995,12177.3816337864
32,2,Regional drainage basin divide,Regional,Regional,1.24098002,6552.37275618851
33,4,Local drainage basin divide,Local,Local,0.79477101,4196.39158485353
34,3,Subregional drainage basin divide,Subregional,Subregional,3.1394999,16576.5694579716
35,2,Regional drainage basin divide,Regional,Regional,0.62239599,3286.24823416178
36,1,Major drainage basin divide,Major,Major,2.34414005,12377.0656423785
37,2,Regional drainage basin divide,Regional,Regional,10.62460041,56097.6794711822
38,4,Local drainage basin divide,Local,Local,0.957026,5053.09641030513
39,3,Subregional drainage basin divide,Subregional,Subregional,10.48130035,55341.2208120575
40,2,Regional drainage basin divide,Regional,Regional,3.63468003,19191.1328263891
41,4,Local drainage basin divide,Local,Local,3.31438994,17499.9605705084
