OBJECTID,DBASIN_FEA_KEY,DBASIN_REC_WTRBDY_NAME,DBASIN_NAME,DBASIN_ALT_NAME,DBASIN_AREA_SQFT_NBR,DBASIN_AREA_ACRES_NBR,SHAPE_Length,SHAPE_Area
1,4039610,Puget Sound,PS_DB_011,38th Ave NW SD,1542583.4336,35.4128,6757.9206270501,1542583.43683599
2,4039611,Duwamish Waterway,DW_DB_149,SW Spokane St,305948.9508,7.0236,3241.76323159604,305948.916831317
3,4039612,Puget Sound,PS_DB_045,32nd Ave W SD,21057595.3051,483.4159,22620.8762591944,21057595.0908535
4,4039613,Lake Union/Ship Canal,LU_DB_054,16th Ave E SD,2659475.3993,61.0532,13432.2973241159,2659475.39930898
5,4039614,Duwamish Waterway,DW_DB_165,SW Florida St SD,4208427.1648,96.6122,16116.9832810637,4208427.16492125
6,4039615,Lake Washington,LW_DB_067,S King St SD,1125804.7564,25.8449,9806.1718305772,1125804.61351731
7,4039616,Lake Washington,LW_DB_033,NE 50th St SD,9401308.7383,215.8244,15322.7071642605,9401308.31677005
8,4039617,Puget Sound,PS_DB_040,W Bertona St SD,1716691.3846,39.4098,7342.08951427805,1716691.53949714
9,4039618,Lake Washington,LW_DB_031,Sand Point Way NE SD,12927343.5916,296.771,24367.3848549268,12927343.7742777
10,4039619,Lake Washington,LW_DB_110,S Grattan St SD,64079274.8287,1471.0577,54507.4504524807,64079274.8278538
11,4039620,Duwamish Waterway,DW_DB_114,S Brighton St SD,718172.6034,16.487,6133.86622270463,718172.602962569
12,4039621,Lake Union/Ship Canal,LU_DB_050,Galer St SD,160457.3404,3.6836,3038.03271413495,160457.348291699
13,4039622,Puget Sound,PS_DB_184,SW Barton St SD,25023876.5164,574.4692,41808.1482739055,25023876.516433
14,4039624,Puget Sound,PS_DB_162,California Way SW SD,131145.8011,3.0107,1802.14065294827,131145.763892828
15,4039625,Puget Sound,PS_DB_003,Seaview Ave NW SD A,275005.8794,6.3133,4134.16881610153,275005.957539689
16,4039626,Lake Washington,LW_DB_038,,144426.0988,3.3156,2853.96749126898,144426.036354883
17,4039627,Lake Washington,LW_DB_034,51st Ave NE SD,4506914.0214,103.4645,10761.37522682,4506914.30635035
18,4039628,Lake Washington,LW_DB_130,S Thayer St SD,4871413.4697,111.8323,12988.9049153407,4871225.75778717
19,4039629,Puget Sound,PS_DB_188,47th Ave SW SD,443812.0213,10.1885,3096.06920445187,443812.042215324
20,4039630,Duwamish Waterway,DW_DB_124,Slip4,134411.2375,3.0857,1957.98738733458,134411.233431435
21,4039631,Lake Union/Ship Canal,LU_DB_051,Broad St SD,136198.6255,3.1267,4278.1032220432,136198.623511675
22,4039632,Duwamish Waterway,DW_DB_169,SW Kenny St SD,5994194.8104,137.6078,17320.6373377178,5994194.81043317
23,4039633,Lake Washington,LW_DB_028,NE 45th St SD,4600843.9113,105.6208,15894.9183810197,4600843.83441417
24,4039634,Puget Sound,PS_DB_075,University St SD,698071.7619,16.0255,7488.30426450139,698071.924063506
25,4039635,Lake Washington,LW_DB_055,SR 520 SD,370176.6501,8.4981,3724.87018210905,370176.628175267
26,4039636,Puget Sound,PS_DB_189,Arroyo Beach Pl SW SD,2684782.1823,61.6341,9370.4056003777,2669950.17161363
27,4039638,Lake Washington,LW_DB_101,S Snoqualmie St SD,1804462.8235,41.4248,5569.76803088148,1804462.85266916
