OBJECTID,MNL_FEA_KEY,MNL_CMPNT_KEY,MNL_UPS_FEATURE_KEY,MNL_DNS_FEATURE_KEY,MNL_EQNUM_ID,MNL_UPS_ENDPT_ID,MNL_DNS_ENDPT_ID,MNL_MNLPT_ID,MNL_MAP_AREA_ID,MNL_SSC2001_ID,MNL_NPDES_ID,MNL_FEATYPE_CODE,MNL_FEATYPE_TEXT,MNL_OWNER_CODE,MNL_OWNER_NAME,MNL_PARALLEL_CODE,MNL_PARALLEL_TEXT,MNL_PRBL_FLOW_CODE,MNL_PRBL_FLOW_TEXT,MNL_USE_PERMIT_CODE,MNL_USE_PERMIT_TEXT,MNL_MATERIAL_CODE,MNL_MATERIAL_TYPE,MNL_PIPE_SHP_CODE,MNL_PIPE_SHP_TEXT,MNL_LIFECYCLE_CODE,MNL_LIFECYCLE_STAT,MNL_CNVYNC_TYPE,MNL_DSTNTN_TYPE,MNL_OVRFLW_FLAG,MNL_PUMP_FLAG,MNL_CUNETTE_FLAG,MNL_CASING_FLAG,MNL_LINING_FLAG,MNL_PERF_PIPE_FLAG,MNL_LENGTH_FT_NBR,MNL_FCNLENGTH_FT_NBR,MNL_WIDTH_IN_NBR,MNL_HEIGHT_IN_NBR,MNL_SLOPE_PCT_NBR,MNL_UPS_DEPTH_FT_NBR,MNL_DNS_DEPTH_FT_NBR,MNL_UPS_ELEV_FT_NBR,MNL_DNS_ELEV_FT_NBR,MNL_PRBL_FLOW_SYM_NUM,MNL_USE_PERMIT_SYM_NUM,MNL_INC_MNL_NBR,MNL_INSTALL_DATE,MNL_RETIRE_DATE,MNL_LST_UPDT_DATE,MNL_STREAM_NAME,MNL_CCTV_DATE,MNL_CCTV_COLLAPSE_FLAG,SHAPE_Length
1,2156440,-29052,15346,15366.0,,209-457,209-252,209-457 209-252,209,LC82-1,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,6.06,6.06,8.0,8.0,,,14.36,,463.64,16,16,,1960/01/01 00:00:00+00,,,,,N,6.06420168136873
2,2156451,-28936,548,547.0,,203-102,203-003,203-102 203-003,203,LC1571-1,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,7.36,7.36,8.0,8.0,,,-2.34,,450.34,16,16,,1959/01/01 00:00:00+00,,,,,N,7.35581941930131
3,2156477,174336,9678,9684.0,,208-061,208-062,208-061 208-062,208,LC1540,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,43.75,43.75,8.0,8.0,9.80000019073486,15.66,16.96,377.34,373.04,16,16,,1966/01/01 00:00:00+00,,,,,N,43.7457261902164
4,2156488,174861,11978,11933.0,,209-195,209-197,209-195 209-197,209,LC1525,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,RCP,Reinforced Concrete Pipe,CIR,Circular,C,Connected,,,N,N,N,N,N,N,16.8,16.8,15.0,15.0,0.0,11.26,11.26,364.74,364.74,16,16,,1960/01/01 00:00:00+00,,,,,N,16.7966161814538
5,2156489,174853,11855,11837.0,,209-191,209-192,209-191 209-192,209,LC1831,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,RCP,Reinforced Concrete Pipe,CIR,Circular,C,Connected,,,N,N,N,N,N,N,38.67,38.67,15.0,15.0,3.40000009536743,7.26,8.66,363.44,362.14,16,16,,1960/01/01 00:00:00+00,,,,,N,38.6684251881162
6,2156496,-28990,3838,3869.0,,209-418,209-026,209-418 209-026,209,LC58,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,7.53,7.53,8.0,8.0,,,15.4,,410.6,16,16,,1959/01/01 00:00:00+00,,,,,N,7.53412058030092
7,2156513,-29008,8474,8500.0,,209-445,209-181,209-445 209-181,209,LC258,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,6.46,6.46,8.0,8.0,,,14.36,,428.64,16,16,,1960/01/01 00:00:00+00,,,,,N,6.45739389110018
15,2156542,175063,16717,16710.0,,209-298,209-297,209-298 209-297,209,LC1505,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,42.49,42.49,8.0,8.0,0.200000002980232,11.26,11.96,390.74,390.64,16,16,,1958/01/01 00:00:00+00,,,,,N,42.4859061580206
16,2156544,-29045,13447,13444.0,,209-469,209-273,209-469 209-273,209,,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,11.02,11.02,8.0,8.0,,,9.36,,433.64,16,16,,1965/01/01 00:00:00+00,,,,,N,11.0239811014893
17,2156545,175069,16758,16754.0,,209-301,209-300,209-301 209-300,209,LC1505,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,127.52,127.52,10.0,10.0,0.400000005960464,20.26,9.56,399.74,399.24,16,16,,1958/01/01 00:00:00+00,,,,,N,127.518410125925
