OBJECTID,AREA_,PERIMETER,PSA_,PSA_ID,ID,PSLIDE,P_AREA,SHAPE_Length,SHAPE_Area
1,4421336.5,18471.275,2,1,1,2,4421336.64674289,18471.276669393,4421336.60517079
2,5231047.5,27158.441,3,16,16,2,5231047.43521348,27158.4429225784,5231047.7032463
3,17110186.0,76042.094,4,46,46,2,17110185.4401107,76042.0957335261,17110185.1979638
4,492170.81,5466.243,6,12,12,2,492170.82356139,5466.24248876268,492170.885391655
5,8666485.0,41976.16,7,47,47,2,8666485.14443813,41976.1575357841,8666485.24113632
6,19746.211,678.147,8,9,9,2,19746.21458929,678.146817305166,19746.2106950075
7,104093.82,1962.233,9,8,8,2,104093.82362397,1962.23223273654,104093.816371138
8,11766.278,420.631,10,11,11,2,11766.2792286,420.631515420554,11766.2919551227
9,208188.93,2767.843,12,7,7,2,208188.9204989,2767.84293709618,208188.927559494
10,780917.37,6194.616,13,15,15,2,780917.3554839,6194.61640117182,780917.31446887
11,39399.527,789.581,14,13,13,2,39399.53521363,789.580736639894,39399.5346232491
12,13501.448,437.253,15,14,14,2,13501.45076398,437.252763012696,13501.4590358988
13,20874986.0,104763.24,16,45,45,2,20874986.7103647,104763.241046154,20874986.4064599
14,42653.031,1199.439,18,2,2,2,42653.03678434,1199.43902633145,42653.0150910089
15,303905.28,4497.686,19,6,6,2,303905.26528959,4497.68562394209,303905.291591499
16,99250.414,1483.068,21,17,17,2,99250.41711881,1483.06736137753,99250.3829095839
17,98859.914,1610.69,22,5,5,2,98859.91206608,1610.69021601225,98859.8607857313
18,342327.71,4700.924,24,4,4,2,342327.72095454,4700.9245611102,342327.74540359
19,75399.875,1885.265,25,3,3,2,75399.86775054,1885.26498116844,75399.889126096
20,105102.55,1727.235,26,18,18,2,105102.54120727,1727.23448295601,105102.544175394
21,3697417.5,12510.871,27,20,20,2,3697417.4716584,12510.8705362078,3697417.4898403
22,2697922.7,10794.48,30,19,19,2,2697922.85342606,10794.4802056271,2697922.82574532
23,23518294.0,82755.648,32,43,43,2,23518294.4075548,82755.6454675679,23518294.5446599
24,114916.78,1807.354,33,21,21,2,114916.79630488,1807.35388981671,114916.817405654
25,237433.4,2173.115,47,48,48,2,237433.36913738,2173.11537810771,237433.345198887
26,182737.03,1839.533,50,22,22,2,182737.03634694,1839.53276168192,182737.001812218
27,26164262.0,100088.77,51,39,39,2,26164262.0791863,100088.770178012,26164262.3329876
28,10308133.0,40562.879,52,42,42,2,10308132.7328565,40562.8783447005,10308132.873202
29,87505.523,1788.925,53,23,23,2,87505.52052579,1788.9248947174,87505.4883258939
30,32927.75,690.369,55,24,24,2,32927.74987345,690.369098519148,32927.7513603233
31,3747061.5,17121.359,56,29,29,2,3747061.63655163,17121.3585961627,3747061.34319119
32,94718.133,1977.815,57,25,25,2,94718.12528395,1977.81525491722,94718.1005467082
33,16552.906,523.065,58,26,26,2,16552.90650927,523.065024089151,16552.8834913366
34,538491.25,7053.844,59,28,28,2,538491.24322727,7053.8437477746,538491.13827854
35,86096.945,1956.889,61,27,27,2,86096.94186418,1956.88830333116,86096.9145081269
36,19985742.0,56607.762,62,40,40,2,19985740.9922737,56607.7615761974,19985740.7991293
37,3720089.7,16081.723,64,36,36,2,3720089.79079392,16081.7228443946,3720089.66037506
38,9610123.0,39678.309,65,38,38,2,9610122.78249792,39678.3087765458,9610122.65692653
39,5713077.0,24835.441,66,31,31,2,5713076.97462274,24835.4432533527,5713077.11448577
40,178651.06,2343.448,67,30,30,2,178651.05713944,2343.44755434019,178651.040400519
41,653365.06,6018.652,68,35,35,2,653365.06739578,6018.65211428165,653365.123184656
42,3667291.7,28030.885,69,41,41,2,3667291.74038149,28030.8831151438,3667291.95481259
43,3425082.0,22945.611,70,34,34,2,3425082.14297129,22945.610583488,3425082.20375303
44,134825.14,2496.475,71,32,32,2,134825.13346758,2496.4760946216,134825.164209871
45,595226.68,7134.23,72,37,37,2,595226.68595615,7134.23028566774,595226.576629546
46,456185.4,5144.408,73,33,33,2,456185.39151821,5144.40747684101,456185.499937674
47,239669.59,3026.548,5,10,10,2,239669.60763097,3026.54848351565,239669.570857551
48,15830555.0,71997.578,23,44,44,2,15830554.7485538,72067.5188992794,15807885.9874743
