OBJECTID,DONUT,WETLANDS,ATTRIBUTE,DECODE,HGM_CODE,NAME,WETLAND_NAME,WETLAND_REPORT,CATEGORY,SOURCE,P_AREA,SHAPE_Length,SHAPE_Area
1,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,633.51548486,222.336672238547,633.514290133029
2,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1784.34850137,206.303241720524,1784.35187114937
3,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,17733.4124075,615.134289950641,17733.4182496536
4,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1034.03925432,226.940729724886,1034.03440813513
5,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,3058.11304261,244.452634286181,3058.11510986068
6,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,888.89083278,188.665211412124,888.897055346092
7,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,2568.88576423,536.888234842325,2568.90057243763
8,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,788.14630088,175.83108105353,788.136735187031
9,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,6256.29581991,441.811171516895,6256.29620449936
10,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,193840.9812298,4546.94889577819,193840.935558138
11,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1820.79836227,272.064827804465,1820.79040922874
12,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,16051.0416162,669.640613063554,16051.0420605665
13,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,1439.70241762,161.36320382817,1439.69247359053
14,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,1181.31412986,148.607380579022,1181.31710646965
15,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,693.15849636,242.562767806675,693.157832371436
16,,,PFO/SSCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,2279.53745863,573.866022328702,2279.54660394313
17,,,PSSA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,2678.13389667,272.037539006429,2678.14652174938
18,,,PEM/SSA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,12185.06299277,711.708590309438,12185.0468768693
19,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,8589.93583193,415.887591382974,8589.94838501357
20,,,PSSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,920.22624295,204.163277361902,920.230924048378
21,,,PFO/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2654.30613929,232.713580935771,2654.29820664711
22,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,1388.03024467,183.312955036934,1388.03551450977
23,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1813.61484296,308.640097058109,1813.618340849
24,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,2581.01799904,246.43386070655,2581.02287724724
25,,,PEMCh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,7526.44230636,462.784755951038,7526.44361392807
26,,,PEMA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,604.98223803,89.6215860566891,604.983745138213
27,,,PSSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2847.05978948,307.40612153041,2847.06173811483
28,,,PSSAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,851.19347531,119.598059393787,851.190580507297
29,,,L2UBHh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,819.94274129,178.784736273957,819.939957623315
30,,,PFOAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,1671.10503149,203.660006474944,1671.10532106433
31,,,PEMCh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,3594.58048743,235.088861930927,3594.58206193849
32,,,PFOCh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,395942.44925829,5267.0253006912,395942.435278169
33,,,PSSFh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,12253.05005495,432.174076638744,12253.0734014273
34,,,PSSFh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,3972.08031284,280.600390987805,3972.08516505385
35,,,PSSAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,13286.92848742,484.249582777815,13286.9250818396
36,,,PEM/FOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1890.47101215,187.631648655849,1890.4715014819
37,,,PEM/SSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,651.95888158,140.970240836896,651.960634415997
38,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,4103.48795412,347.866773566269,4103.4931486546
39,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,4444.89622815,682.548764857158,4444.88910644356
40,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,16066.09461311,697.825942458746,16066.0954647119
41,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,670.33801955,101.254593822786,670.338672578188
42,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,651.03600588,97.9573935021924,651.036832930034
43,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,42721.78906967,2440.16330210881,42721.8054406757
44,,,PEM/SSCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,6132.49969519,339.753227548908,6132.50757198684
45,,,PFO/SSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,7544.00207531,557.255155695471,7543.99637254557
46,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1746.75304979,384.588780975885,1746.75297671581
47,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,870.97161032,155.479878550884,870.97043470227
48,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,10902.38687867,527.863349829844,10902.400322727
49,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,6179.02207736,457.249285055518,6179.02566459326
50,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1313.8989151,170.276171510489,1313.90178767597
51,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2024.22098734,246.703939831589,2024.23511439781
52,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,705.21380781,109.011805334055,705.21169303254
53,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,5550.1039444,401.452693527307,5550.11159915303
54,,,R3UBH,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,1924.62348133,280.959751610172,1924.62095508045
55,,,R3UBH,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,4442.50061003,620.926004778191,4442.50557241884
