C002,DOCUMENT/MESSAGE NAME,010,1001,C,an..3,020,1131,C.1,an..3.1,030,3055,C.2,an..3.2,040,1000,C.3,an..35,Unnamed: 18
C040,CARRIER,10,3127,C,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,3128.0,C,an..35,
C056,DEPARTMENT OR EMPLOYEE DETAILS,10,3413,C,an..17,20,3412,C,an..35,,,,,,,,,
C059,STREET,10,3042,M,an..35,20,3042,C,an..35,30.0,3042.0,C,an..35,,,,,
C076,COMMUNICATION CONTACT,10,3148,M,an..25,20,3155,M,an..3,,,,,,,,,
C078,ACCOUNT IDENTIFICATION,10,3194,C,an..17,20,3192,C,an..35,30.0,3192.0,C,an..35,40.0,6345.0,C,an..3,
C082,PARTY IDENTIFICATION DETAILS,10,3039,M,an..35,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C107,TEXT REFERENCE,10,4441,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C112,TERMS/TIME INFORMATION,10,2475,M,an..3,20,2009,C,an..3,30.0,2151.0,C,an..3,40.0,2152.0,C,n..3,
C128,RATE DETAILS,10,5419,M,an..3,20,5420,M,n..15,30.0,5284.0,C,n..9,40.0,6411.0,C,an..3,
C138,PRICE MULTIPLIER INFORMATION,10,5394,M,n..12,20,5393,C,an..3,,,,,,,,,
C174,VALUE/RANGE,10,6411,M,an..3,20,6314,C,n..18,30.0,6162.0,C,n..18,40.0,6152.0,C,n..18,
C186,QUANTITY DETAILS,10,6063,M,an..3,20,6060,M,n..15,30.0,6411.0,C,an..3,,,,,
C202,PACKAGE TYPE,10,7065,C,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,7064.0,C,an..35,
C205,HAZARD CODE,10,8351,M,an..7,20,8078,C,an..7,30.0,8092.0,C,an..10,,,,,
C206,IDENTIFICATION NUMBER,10,7402,M,an..35,20,7405,C,an..3,,,,,,,,,
C208,IDENTITY NUMBER RANGE,10,7402,M,an..35,20,7402,C,an..35,,,,,,,,,
C211,DIMENSIONS,10,6411,M,an..3,20,6168,C,n..15,30.0,6140.0,C,n..15,40.0,6008.0,C,n..15,
C212,ITEM NUMBER IDENTIFICATION,10,7140,C,an..35,20,7143,C,an..3,30.0,1131.0,C,an..3,40.0,3055.0,C,an..3,
C214,SPECIAL SERVICES IDENTIFICATION,10,7161,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,7160.0,C,an..35,
C215,SEAL ISSUER,10,9303,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9302.0,C,an..35,
C218,HAZARDOUS MATERIAL,10,7419,C,an..4,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C219,MOVEMENT TYPE,10,8335,C,an..3,20,8334,C,an..35,,,,,,,,,
C220,MODE OF TRANSPORT,10,8067,C,an..3,20,8066,C,an..17,,,,,,,,,
C223,DANGEROUS GOODS SHIPMENT FLASHPOINT,10,7106,C,n3,20,6411,C,an..3,,,,,,,,,
C224,EQUIPMENT SIZE AND TYPE,10,8155,C,an..10,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,8154.0,C,an..35,
C228,TRANSPORT MEANS,10,8179,C,an..8,20,8178,C,an..17,,,,,,,,,
C229,CHARGE CATEGORY,10,5237,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C231,METHOD OF PAYMENT,10,4215,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C232,GOVERNMENT ACTION,10,9415,C,an..3,20,9411,C,an..3,30.0,9417.0,C,an..3,40.0,9353.0,C,an..3,
C234,UNDG INFORMATION,10,7124,C,n4,20,7088,C,an..8,,,,,,,,,
C235,HAZARD IDENTIFICATION,10,8158,C,an..4,20,8186,C,an4,,,,,,,,,
C236,DANGEROUS GOODS LABEL,10,8246,C,an..4,20,8246,C,an..4,30.0,8246.0,C,an..4,,,,,
C237,EQUIPMENT IDENTIFICATION,10,8260,C,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,3207.0,C,an..3,
C239,TEMPERATURE SETTING,10,6246,C,n3,20,6411,C,an..3,,,,,,,,,
C241,DUTY/TAX/FEE TYPE,10,5153,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,5152.0,C,an..35,
C244,TEST METHOD,10,4415,C,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,4416.0,C,an..70,
C246,CUSTOMS IDENTITY CODES,10,7361,M,an..18,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C262,REASON FOR CHANGE,10,4295,C,an..3,20,4294,C,an..35,,,,,,,,,
C270,CONTROL,10,6069,M,an..3,20,6066,M,n..18,30.0,6411.0,C,an..3,,,,,
C279,QUANTITY DIFFERENCE INFORMATION,10,6064,M,n..15,20,6063,C,an..3,,,,,,,,,
C280,RANGE,10,6411,M,an..3,20,6162,C,n..18,30.0,6152.0,C,n..18,,,,,
C286,SEQUENCE INFORMATION,10,1050,M,an..6,20,1159,C,an..3,30.0,1131.0,C,an..3,40.0,3055.0,C,an..3,
C288,PRODUCT GROUP,10,5389,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,5388.0,C,an..35,
C292,PRICE CHANGE INFORMATION,10,5377,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C329,PATTERN DESCRIPTION,10,2013,C,an..3,20,2015,C,an..3,30.0,2017.0,C,an..3,,,,,
C330,INSURANCE COVER TYPE,10,4497,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
