OBJECTID,TYPE,ESTABLISHED,PRIVATE,REFERENCE,COMMENTS,DATE_FILED,ShapeSTArea,ShapeSTLength
1,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,22197.754664322,2634.71804183008
2,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,31993.8554440049,4536.37204908408
3,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,68219.0999230151,9310.85458672103
4,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,35169.9338317746,4036.05952851425
6,Sump Pump,Plat,No,b69p147,,2007/06/22 00:00:00+00,702.303559546321,291.183974142735
7,Sump Pump,Plat,No,b69p147,,2007/06/22 00:00:00+00,603.853729920333,251.666377357105
8,Sump Pump,Plat,No,b69p147,,2007/06/22 00:00:00+00,531.764300063023,222.624036865725
9,Access,Plat,No,b69p147,,2007/06/22 00:00:00+00,603.806898217121,251.663764864063
10,General Utility,Plat,No,,,,631.879655285037,260.347142583818
11,Access,Plat,No,b69p147,,2007/06/22 00:00:00+00,812.686534637568,336.079659770726
12,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,11839.3094778215,1870.15153693792
13,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,11839.3094778215,1870.15153693792
14,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,16517.4906842251,1814.64154145333
15,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,32137.5209854336,4922.98221444121
16,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,28295.9417327186,3470.07377849757
17,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,31403.0789447147,4163.77459553715
18,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,35614.7737779871,4956.76141615958
19,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,16925.8192569466,3382.19639068804
20,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,7915.46058772424,1603.63136312349
22,Drainage,Plat,No,,,,22491.772366209,1099.7112966879
23,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,19047.2848411753,2791.59682676313
25,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,13853.6748292685,1750.21196335301
26,Drainage,Plat,No,b69p147,,2007/06/22 00:00:00+00,16686.7115031595,1866.26028240223
27,General Utility,Plat,No,b69p147,,2007/06/22 00:00:00+00,28434.1630922146,3972.45946449594
28,Sump Pump,Plat,No,b69p147,,2007/06/22 00:00:00+00,650.666635006141,270.369173792528
29,Sump Pump,Plat,No,b69p147,,2007/06/22 00:00:00+00,549.735521743771,229.993930113749
30,Sump Pump,Plat,No,b69p147,,2007/06/22 00:00:00+00,657.459129964527,273.088644098666
31,General Utility,Plat,No,b71p91,,2009/06/17 00:00:00+00,29134.4960385528,5532.86701083187
32,General Utility,Plat,No,,,,26985.1421421512,5376.95158159951
33,General Utility,Plat,No,,,,7442.49877150046,1508.4510952817
34,Sump Pump,Plat,No,,,,1064.46026919499,435.7972438753
35,Access,Plat,No,,,,1064.46026919499,435.7972438753
36,General Utility,Plat,No,,,,26888.4551750741,5357.71718263969
37,Sump Pump,Plat,No,,,,1000.02086695947,220.003021308662
38,Sump Pump,Plat,No,,,,500.040627715355,210.015348223999
39,Access,Plat,No,,,,1000.02086695947,220.003021308662
40,Access,Plat,No,,,,500.040627715355,210.015348223999
41,General Utility,Plat,No,,,,7442.27432968893,1508.45274231611
42,Drainage,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
43,Sanitary Sewer,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
44,Water Distribution,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
45,Gas Pipeline,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
46,Electric,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
47,Telecommunications,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
48,Storm Sewer,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
49,General Utility,Resolution,No,98-08,,,57367.4057550805,1846.28724846805
51,General Utility,Plat,No,,,,11230.8347107127,2265.36571447821
53,General Utility,Plat,No,,,,4841.24710013053,1566.93762013881
54,Drainage,Plat,No,,,,524.855661199772,219.998826095391
55,Access,Plat,No,,,,524.855661199772,219.998826095391
56,General Utility,Plat,No,b70p202,,2008/07/31 00:00:00+00,7503.66516562229,1521.43365989488
57,General Utility,Plat,No,b70p202,,2008/07/31 00:00:00+00,5429.49709634693,1105.74691880037
58,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9282.96901888767,1878.74139864016
59,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,6891.22931469957,1398.29880302668
60,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9701.52356693662,1963.39816392827
61,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9261.99625754161,1874.99851720125
62,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9623.44731054257,1959.36900905977
63,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,6879.22607030159,1395.85691704041
64,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,2762.79442991224,573.542088039876
65,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,11474.9443684872,1187.50236359332
66,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,600.035601836118,250.000392526647
67,Access,Plat,No,b70p96,,2008/05/08 00:00:00+00,600.035601836118,250.000392526647
68,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,16036.7669894817,3205.93425052543
70,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9228.55280136442,1863.53071699803
71,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9210.35214822761,1862.6999431205
72,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,13626.2580453947,1402.25737331628
73,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,9187.25292928898,1862.54195359118
74,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,6809.53965278929,1382.21683213035
75,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,596.718743771931,248.824023674927
76,General Utility,Plat,No,b70p96,,2008/05/08 00:00:00+00,599.941225969315,249.993602615712
77,Access,Plat,No,b70p96,,2008/05/08 00:00:00+00,596.718743771931,248.824023674927
78,Access,Plat,No,b70p96,,2008/05/08 00:00:00+00,599.941225969315,249.993602615712
79,General Utility,Plat,No,b3p58,,2009/06/01 00:00:00+00,31945.9875067809,6604.87963706874
80,Roadway,Plat,Yes,,S PROVISORE PL,,16097.3507064009,902.219601770626
81,General Utility,Plat,No,b3p58,Portion remaining after part released res #100-20,2009/06/01 00:00:00+00,14030.4126644015,3188.61206669742
82,Drainage,Plat,No,b3p58,,2009/06/01 00:00:00+00,21949.1339397554,979.877172242264
83,Drainage,Plat,No,b3p58,,2009/06/01 00:00:00+00,12678.9206955419,608.32462834635
84,Sanitary Sewer,Plat,No,b3p58,,2009/06/01 00:00:00+00,15662.2459656485,1105.96172984248
85,Sanitary Sewer,Plat,No,b3p58,,2009/06/01 00:00:00+00,7532.30530040093,501.115611007654
86,Drainage,Plat,No,b3p58,,2009/06/01 00:00:00+00,7532.30530040093,501.115611007654
87,Roadway,Plat,Yes,,,,50274.6042342605,2608.67771398371
115,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,12618.8007426466,2544.75260582396
116,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,12325.6933530779,2485.16214536758
117,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,20429.069029084,4107.2622600741
118,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,21507.950086512,4331.29088018982
119,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,7019.15655094007,1423.93226492346
120,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,7014.03695461157,1422.40207575413
121,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,6455.3081565662,1309.84458017514
122,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,6447.22053085953,1308.57805594667
123,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,4082.51775218775,836.498651248631
124,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,33542.2999747485,6726.22026460467
125,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,13050.1332020165,2630.00058628084
126,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,13050.1300199482,2630.00086967851
127,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,6373.21585632057,1292.68506495883
128,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,6371.50364966166,1292.65716147428
129,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,4082.51811116272,836.498013148988
130,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,6375.72062310964,1292.73071405532
131,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,2041.25367434733,826.497605858475
132,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,656.554064331953,273.050285673068
133,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,562.37861605649,235.124378127758
134,Access,Plat,No,b69p220,,2007/09/10 00:00:00+00,656.554064331953,273.050285673068
135,Access,Plat,No,b69p220,,2007/09/10 00:00:00+00,562.37861605649,235.124378127758
136,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,12623.840723492,2545.4214349699
137,General Utility,Plat,No,b69p220,,2007/09/10 00:00:00+00,525.023708580691,220.000951732853
138,Access,Plat,No,b69p220,,2007/09/10 00:00:00+00,525.023708580691,220.000951732853
