OBJECTID,AV_LEGEND,TYPE,FREQUENCY,ACREAGE,SHAPE_Length,SHAPE_Area
1,Medium,M,69,22.424,7715.75368841608,976784.474717883
2,Medium,M,1,1.083,793.729183836995,47195.4394989576
3,Low,L,3,0.545,591.56865002016,23731.356878018
4,Low,L,1,1.164,814.546621336983,50706.2138632402
5,Medium,M,3,3.474,1822.91279732112,151331.698497824
6,Low,L,1,1.211,844.002444727046,52761.9054644432
7,Medium,M,1,1.348,877.198427138683,58730.2052229025
8,Low,L,1,0.89,706.323259663747,38757.204109475
9,Medium,M,2,1.32,876.805929923258,57517.0297839407
10,Medium,M,1,2.035,1110.12805626498,88659.0818175524
11,Low,L,1,3.145,1329.49377967493,136992.934297632
12,Medium,M,1,1.467,905.41053424603,63899.7334717565
13,Medium,M,5,17.843,6447.96525372013,777220.962325028
14,Low,L,1,1.242,864.646330725029,54080.3234279291
15,Low,L,1,1.109,790.421304304307,48309.8844238245
16,Medium,M,14,8.255,4183.31240971116,359587.153039764
17,Low,L,1,2.642,1214.38460060366,115105.024004711
18,Medium,M,1,2.8,1251.03657136692,121969.345785901
19,Low,L,1,3.428,1533.01718651839,149341.763974053
20,High,H,2,3.04,2221.29837927386,132419.681748922
21,Absent,A,0,0.073,223.645254805531,3175.37149489199
22,Low,L,22,17.398,5985.80896307437,757838.286333247
23,Medium,M,1,1.464,914.449614452171,63778.9672525816
24,Low,L,13,6.386,2994.97183075823,278158.612717435
25,Low,L,1,3.111,1351.79280729736,135510.811721709
26,Medium,M,1,2.565,1220.52819229076,111733.397717071
27,Medium,M,1,1.503,951.915382709458,65461.4936789373
28,Low,L,6,10.569,5488.92090446394,460390.434527646
29,Medium,M,1,2.096,1105.12549938346,91299.6472991136
30,Medium,M,2,4.928,1729.45866221715,214658.892059741
31,Low,L,2,2.161,1110.23861835153,94133.1110295136
32,Low,L,3,1.814,1009.67167675826,78996.4694782827
33,Medium,M,2,2.006,1087.28510933148,87401.4743656673
34,Medium,M,8,8.737,3665.71684959659,380565.660004196
35,Medium,M,2,17.126,4552.39462022114,745989.214333851
36,Low,L,1,0.404,481.607625913988,17597.0355731649
37,Medium,M,14,7.756,2607.97932384055,337868.242015119
38,Medium,M,1,3.563,1493.8102579212,155216.403906195
39,Medium,M,15,12.665,3663.92453989356,551699.209960624
40,Medium,M,3,5.022,1854.04779715391,218774.831540089
41,Low,L,1,2.138,1096.72910582294,93151.5559217147
42,Low,L,12,19.742,4456.8427655069,859948.413983162
43,Low,L,4,1.65,1046.23795857902,71892.5430768779
44,Medium,M,4,15.711,4005.01153636229,684386.85989314
45,Medium,M,31,49.051,7295.73151896496,2136643.56002308
46,Medium,M,19,30.171,9018.10743313873,1314227.84110257
47,Low,L,2,1.401,888.761463796498,61017.7790896467
48,Medium,M,1,3.365,1385.47991781537,146571.597358741
49,Medium,M,3,5.019,1695.08665803357,218648.101600371
