X,Y,OBJECTID,COM_Name,SCI_Name,Time,Latitude,Longitude
-13560470.3836,4767745.9868,1,Elderberry,Sambucus nigra,2014/04/18 18:02:04,39.320924,-121.815778
-13560317.7645,4767905.7131,2,Elderberry,Sambucus nigra,2014/04/18 18:04:55,39.322034,-121.814407
-13560486.3023,4767888.8769,3,Elderberry,Sambucus nigra,2014/04/18 18:05:38,39.321917,-121.815921
-13561788.5177,4768397.4267,4,Elderberry,Sambucus nigra,2014/04/18 18:08:43,39.325451,-121.827619
-13563252.2577,4768129.4779,5,Elderberry,Sambucus nigra,2014/04/18 18:15:11,39.323589,-121.840768
-13565086.3576,4766936.3146,6,Elderberry,Sambucus nigra,2014/04/18 18:29:44,39.315297,-121.857244
-13560289.3781,4767651.1595,7,Elderberry,Sambucus nigra,2014/04/23 22:05:17,39.320265,-121.814152
-13556405.7751,4767481.9405,8,Elderberry,Sambucus nigra,2014/04/25 15:09:49,39.319089,-121.779265
-13556578.4315,4765258.4701,9,Elderberry,Sambucus nigra,2014/04/25 15:15:12,39.303635,-121.780816
-13562956.1478,4768615.0144,10,Elderberry,Sambucus nigra,2014/06/04 19:43:46,39.326963,-121.838108
-13563663.8058,4769975.0442,11,Elderberry,Sambucus nigra,2014/05/12 16:36:42,39.336413,-121.844465
-13562948.2441,4768644.084,12,Elderberry,Sambucus nigra,2014/05/12 16:42:03,39.327165,-121.838037
-13563132.3666,4768495.283,13,Elderberry,Sambucus nigra,2014/05/12 16:43:29,39.326131,-121.839691
