Region,Region Code,County Name,State FIPS,County FIPS,FIPS,Period,Percent of Physicians Actively Using an EHR to e-Prescribe via the Surescripts Network
Alabama,AL,Autauga,1,1,1001,2014-04,0.33
Alabama,AL,Baldwin,1,3,1003,2014-04,0.68
Alabama,AL,Barbour,1,5,1005,2014-04,0.52
Alabama,AL,Bibb,1,7,1007,2014-04,1.0
Alabama,AL,Blount,1,9,1009,2014-04,0.21
Alabama,AL,Bullock,1,11,1011,2014-04,0.52
Alabama,AL,Butler,1,13,1013,2014-04,0.67
Alabama,AL,Calhoun,1,15,1015,2014-04,0.56
Alabama,AL,Chambers,1,17,1017,2014-04,0.45
Alabama,AL,Cherokee,1,19,1019,2014-04,0.51
Alabama,AL,Chilton,1,21,1021,2014-04,0.48
Alabama,AL,Choctaw,1,23,1023,2014-04,0.47
Alabama,AL,Clarke,1,25,1025,2014-04,0.83
Alabama,AL,Clay,1,27,1027,2014-04,0.61
Alabama,AL,Cleburne,1,29,1029,2014-04,1.0
Alabama,AL,Coffee,1,31,1031,2014-04,0.66
Alabama,AL,Colbert,1,33,1033,2014-04,0.53
Alabama,AL,Conecuh,1,35,1035,2014-04,0.31
Alabama,AL,Coosa,1,37,1037,2014-04,0.0
Alabama,AL,Covington,1,39,1039,2014-04,0.55
Alabama,AL,Crenshaw,1,41,1041,2014-04,0.22
Alabama,AL,Cullman,1,43,1043,2014-04,0.46
Alabama,AL,Dale,1,45,1045,2014-04,0.32
Alabama,AL,Dallas,1,47,1047,2014-04,0.85
Alabama,AL,DeKalb,1,49,1049,2014-04,0.53
Alabama,AL,Elmore,1,51,1051,2014-04,0.46
Alabama,AL,Escambia,1,53,1053,2014-04,0.43
Alabama,AL,Etowah,1,55,1055,2014-04,0.73
Alabama,AL,Fayette,1,57,1057,2014-04,0.18
Alabama,AL,Franklin,1,59,1059,2014-04,0.36
Alabama,AL,Geneva,1,61,1061,2014-04,0.82
Alabama,AL,Greene,1,63,1063,2014-04,0.76
Alabama,AL,Hale,1,65,1065,2014-04,0.8
Alabama,AL,Henry,1,67,1067,2014-04,1.0
Alabama,AL,Houston,1,69,1069,2014-04,0.52
Alabama,AL,Jackson,1,71,1071,2014-04,0.65
Alabama,AL,Jefferson,1,73,1073,2014-04,0.71
Alabama,AL,Lamar,1,75,1075,2014-04,0.25
Alabama,AL,Lauderdale,1,77,1077,2014-04,0.7
Alabama,AL,Lawrence,1,79,1079,2014-04,0.57
Alabama,AL,Lee,1,81,1081,2014-04,0.65
Alabama,AL,Limestone,1,83,1083,2014-04,0.67
Alabama,AL,Lowndes,1,85,1085,2014-04,0.71
Alabama,AL,Macon,1,87,1087,2014-04,0.56
Alabama,AL,Madison,1,89,1089,2014-04,0.52
Alabama,AL,Marengo,1,91,1091,2014-04,0.56
Alabama,AL,Marion,1,93,1093,2014-04,1.0
Alabama,AL,Marshall,1,95,1095,2014-04,0.69
Alabama,AL,Mobile,1,97,1097,2014-04,0.68
Alabama,AL,Monroe,1,99,1099,2014-04,0.38
Alabama,AL,Montgomery,1,101,1101,2014-04,0.51
Alabama,AL,Morgan,1,103,1103,2014-04,0.56
Alabama,AL,Perry,1,105,1105,2014-04,1.0
Alabama,AL,Pickens,1,107,1107,2014-04,0.57
Alabama,AL,Pike,1,109,1109,2014-04,0.97
Alabama,AL,Randolph,1,111,1111,2014-04,0.51
Alabama,AL,Russell,1,113,1113,2014-04,0.55
Alabama,AL,Saint Clair,1,115,1115,2014-04,0.58
Alabama,AL,Shelby,1,117,1117,2014-04,0.79
Alabama,AL,Sumter,1,119,1119,2014-04,0.69
Alabama,AL,Talladega,1,121,1121,2014-04,0.75
Alabama,AL,Tallapoosa,1,123,1123,2014-04,0.55
Alabama,AL,Tuscaloosa,1,125,1125,2014-04,0.63
Alabama,AL,Walker,1,127,1127,2014-04,0.89
Alabama,AL,Washington,1,129,1129,2014-04,1.0
Alabama,AL,Wilcox,1,131,1131,2014-04,0.67
Alabama,AL,Winston,1,133,1133,2014-04,0.88
Alaska,AK,Anchorage,2,20,2020,2014-04,0.48
Alaska,AK,Bethel,2,50,2050,2014-04,1.0
Alaska,AK,Dillingham,2,70,2070,2014-04,0.0
Alaska,AK,Fairbanks North Star,2,90,2090,2014-04,0.53
Alaska,AK,Juneau,2,110,2110,2014-04,0.22
Alaska,AK,Kenai Peninsula,2,122,2122,2014-04,0.54
Alaska,AK,Ketchikan Gateway,2,130,2130,2014-04,1.0
Alaska,AK,Kodiak Island,2,150,2150,2014-04,0.26
Alaska,AK,Matanuska Susitna,2,170,2170,2014-04,0.58
Alaska,AK,Nome,2,180,2180,2014-04,0.25
Alaska,AK,Prince Wales Ketchikan,2,201,2201,2014-04,0.13
Alaska,AK,Sitka,2,220,2220,2014-04,0.02
Alaska,AK,Skagway Hoonah Angoon,2,232,2232,2014-04,0.0
Alaska,AK,Valdez Cordova,2,261,2261,2014-04,0.23
Alaska,AK,Wrangell Petersburg,2,280,2280,2014-04,0.15
Arizona,AZ,Apache,4,1,4001,2014-04,0.05
Arizona,AZ,Cochise,4,3,4003,2014-04,0.61
Arizona,AZ,Coconino,4,5,4005,2014-04,0.69
Arizona,AZ,Gila,4,7,4007,2014-04,0.47
Arizona,AZ,Graham,4,9,4009,2014-04,0.38
Arizona,AZ,Greenlee,4,11,4011,2014-04,1.0
Arizona,AZ,La Paz,4,12,4012,2014-04,0.13
Arizona,AZ,Maricopa,4,13,4013,2014-04,0.64
Arizona,AZ,Mohave,4,15,4015,2014-04,0.6
Arizona,AZ,Navajo,4,17,4017,2014-04,0.34
Arizona,AZ,Pima,4,19,4019,2014-04,0.73
Arizona,AZ,Pinal,4,21,4021,2014-04,1.0
Arizona,AZ,Santa Cruz,4,23,4023,2014-04,0.68
Arizona,AZ,Yavapai,4,25,4025,2014-04,0.69
Arizona,AZ,Yuma,4,27,4027,2014-04,0.72
Arkansas,AR,Arkansas,5,1,5001,2014-04,0.45
Arkansas,AR,Ashley,5,3,5003,2014-04,0.76
Arkansas,AR,Baxter,5,5,5005,2014-04,0.75
Arkansas,AR,Benton,5,7,5007,2014-04,0.84
Arkansas,AR,Boone,5,9,5009,2014-04,0.66
Arkansas,AR,Bradley,5,11,5011,2014-04,0.75
Arkansas,AR,Calhoun,5,13,5013,2014-04,1.0
Arkansas,AR,Carroll,5,15,5015,2014-04,0.74
Arkansas,AR,Chicot,5,17,5017,2014-04,0.89
Arkansas,AR,Clark,5,19,5019,2014-04,0.51
Arkansas,AR,Clay,5,21,5021,2014-04,0.51
Arkansas,AR,Cleburne,5,23,5023,2014-04,0.29
Arkansas,AR,Cleveland,5,25,5025,2014-04,1.0
Arkansas,AR,Columbia,5,27,5027,2014-04,0.69
Arkansas,AR,Conway,5,29,5029,2014-04,0.38
Arkansas,AR,Craighead,5,31,5031,2014-04,0.77
Arkansas,AR,Crawford,5,33,5033,2014-04,0.39
Arkansas,AR,Crittenden,5,35,5035,2014-04,0.46
Arkansas,AR,Cross,5,37,5037,2014-04,0.9
Arkansas,AR,Dallas,5,39,5039,2014-04,0.67
Arkansas,AR,Desha,5,41,5041,2014-04,0.2
Arkansas,AR,Drew,5,43,5043,2014-04,0.35
Arkansas,AR,Faulkner,5,45,5045,2014-04,0.69
Arkansas,AR,Franklin,5,47,5047,2014-04,0.68
Arkansas,AR,Fulton,5,49,5049,2014-04,0.47
Arkansas,AR,Garland,5,51,5051,2014-04,0.65
Arkansas,AR,Grant,5,53,5053,2014-04,0.5
Arkansas,AR,Greene,5,55,5055,2014-04,0.77
Arkansas,AR,Hempstead,5,57,5057,2014-04,0.23
Arkansas,AR,Hot Spring,5,59,5059,2014-04,0.72
Arkansas,AR,Howard,5,61,5061,2014-04,0.27
Arkansas,AR,Independence,5,63,5063,2014-04,0.63
Arkansas,AR,Izard,5,65,5065,2014-04,1.0
Arkansas,AR,Jackson,5,67,5067,2014-04,0.76
Arkansas,AR,Jefferson,5,69,5069,2014-04,0.6
Arkansas,AR,Johnson,5,71,5071,2014-04,0.61
Arkansas,AR,Lafayette,5,73,5073,2014-04,1.0
Arkansas,AR,Lawrence,5,75,5075,2014-04,0.43
Arkansas,AR,Lee,5,77,5077,2014-04,0.47
Arkansas,AR,Lincoln,5,79,5079,2014-04,0.71
Arkansas,AR,Little River,5,81,5081,2014-04,1.0
Arkansas,AR,Logan,5,83,5083,2014-04,0.51
Arkansas,AR,Lonoke,5,85,5085,2014-04,0.76
Arkansas,AR,Madison,5,87,5087,2014-04,0.26
Arkansas,AR,Marion,5,89,5089,2014-04,0.2
Arkansas,AR,Miller,5,91,5091,2014-04,1.0
Arkansas,AR,Mississippi,5,93,5093,2014-04,0.69
Arkansas,AR,Monroe,5,95,5095,2014-04,0.97
Arkansas,AR,Montgomery,5,97,5097,2014-04,0.67
Arkansas,AR,Nevada,5,99,5099,2014-04,0.4
Arkansas,AR,Newton,5,101,5101,2014-04,0.35
Arkansas,AR,Ouachita,5,103,5103,2014-04,0.5
Arkansas,AR,Perry,5,105,5105,2014-04,0.25
Arkansas,AR,Phillips,5,107,5107,2014-04,0.39
Arkansas,AR,Pike,5,109,5109,2014-04,0.83
Arkansas,AR,Poinsett,5,111,5111,2014-04,0.58
Arkansas,AR,Polk,5,113,5113,2014-04,0.55
Arkansas,AR,Pope,5,115,5115,2014-04,0.66
Arkansas,AR,Prairie,5,117,5117,2014-04,1.0
Arkansas,AR,Pulaski,5,119,5119,2014-04,0.64
Arkansas,AR,Randolph,5,121,5121,2014-04,0.8
Arkansas,AR,Saint Francis,5,123,5123,2014-04,1.0
Arkansas,AR,Saline,5,125,5125,2014-04,0.66
Arkansas,AR,Scott,5,127,5127,2014-04,0.86
Arkansas,AR,Searcy,5,129,5129,2014-04,0.43
Arkansas,AR,Sebastian,5,131,5131,2014-04,0.64
Arkansas,AR,Sevier,5,133,5133,2014-04,0.51
Arkansas,AR,Sharp,5,135,5135,2014-04,0.57
Arkansas,AR,Stone,5,137,5137,2014-04,0.38
Arkansas,AR,Union,5,139,5139,2014-04,0.6
