region,region_code,period,tot_e_Rx,tot_e_Rx_thru_ehr,tot_e_Rx_thru_stand_alone,tot_primary_care_e_Rx,tot_non_primary_care_e_Rx,tot_nurse_prac_e_Rx,tot_phys_asst_e_Rx,pct_new_renewal_e_Rx,tot_med_hist_reqs,tot_med_hist_req_resps,pct_pharm_enabled,pct_pharm_e_Rx
National,US,2008,,,,,,,,0.04,,,,
National,US,2009,,,,,,,,0.11,,,,
National,US,2010,,,,,,,,0.19,,,,
National,US,2011,,,,,,,,0.32,,,,
National,US,2012,,,,,,,,0.52,,,,
National,US,2013,,,,,,,,0.57,,,,
National,US,2008-12,74478.0,52947.0,19182.0,32362.0,33445.0,6953.0,3170.0,,,,0.76,0.69
National,US,2009-01,81264.0,58320.0,20611.0,,,,,,,,,0.7
National,US,2009-02,88050.0,63693.0,22040.0,,,,,,,,,0.71
National,US,2009-03,94836.0,69066.0,23469.0,,,,,,,,,0.72
National,US,2009-04,101622.0,74439.0,24898.0,,,,,,,,,0.73
National,US,2009-05,108408.0,79812.0,26327.0,,,,,,,,,0.74
National,US,2009-06,115194.0,85185.0,27756.0,,,,,,,,,0.74
National,US,2009-07,121980.0,90558.0,29185.0,,,,,,,,,0.75
National,US,2009-08,128766.0,95931.0,30614.0,,,,,,,,,0.76
National,US,2009-09,135552.0,101304.0,32043.0,,,,,,,,,0.77
National,US,2009-10,142338.0,106677.0,33472.0,,,,,,,,,0.78
National,US,2009-11,149124.0,112050.0,34901.0,,,,,,,,,0.79
National,US,2009-12,155907.0,117418.0,36325.0,66375.0,84369.0,15264.0,8055.0,,,,0.84,0.8
National,US,2010-01,161340.0,122088.0,37070.0,,,,,,,,,0.81
National,US,2010-02,166773.0,126758.0,37815.0,,,,,,,,,0.81
National,US,2010-03,172206.0,131428.0,38560.0,,,,,,,,,0.82
National,US,2010-04,177639.0,136098.0,39305.0,,,,,,,,,0.82
National,US,2010-05,183072.0,140768.0,40050.0,,,,,,,,,0.83
National,US,2010-06,188502.0,145436.0,40793.0,81514.0,104838.0,19795.0,10623.0,,15838320.0,14311647.0,0.86,0.83
National,US,2010-07,196045.0,151803.0,41980.0,,,,,,,,,0.84
National,US,2010-08,203588.0,158170.0,43167.0,,,,,,,,,0.84
National,US,2010-09,211131.0,164537.0,44354.0,,,,,,,,,0.85
National,US,2010-10,218674.0,170904.0,45541.0,,,,,,,,,0.85
National,US,2010-11,226217.0,177271.0,46728.0,,,,,,,,,0.86
National,US,2010-12,233760.0,183634.0,47913.0,98920.0,132076.0,25712.0,13374.0,,23441394.0,20989258.0,0.89,0.87
National,US,2011-01,241773.0,190452.0,49079.0,93844.0,129486.0,27301.0,13687.0,,21706204.0,19282377.0,0.9,0.88
National,US,2011-02,250985.0,197963.0,50809.0,105255.0,142619.0,28211.0,14738.0,,23146944.0,19886855.0,0.9,0.87
National,US,2011-03,262580.0,206308.0,54064.0,108054.0,151374.0,28663.0,15208.0,,27547279.0,24112623.0,0.9,0.88
National,US,2011-04,277803.0,219788.0,55858.0,111362.0,163249.0,30731.0,16540.0,,25208238.0,22439129.0,0.91,0.89
National,US,2011-05,302482.0,235480.0,64834.0,117410.0,181577.0,32746.0,17949.0,,27607243.0,24791972.0,0.91,0.9
National,US,2011-06,343830.0,260998.0,80641.0,127213.0,212298.0,35791.0,20098.0,,31308741.0,27255843.0,0.92,0.9
National,US,2011-07,338339.0,262797.0,73343.0,126238.0,205417.0,35839.0,19917.0,,28870989.0,26177827.0,0.92,0.9
National,US,2011-08,348608.0,275004.0,71338.0,125480.0,202853.0,35468.0,19685.0,,33403554.0,29851740.0,0.92,0.91
National,US,2011-09,357400.0,285216.0,69858.0,132005.0,216116.0,37767.0,20952.0,,32498789.0,28691583.0,0.92,0.91
National,US,2011-10,370357.0,297019.0,70865.0,135486.0,224663.0,38792.0,21622.0,,32648354.0,29056720.0,0.93,0.91
