X,Y,OBJECTID,SECTOR,NAME,ADDRESS
2237475.32658841,15827535.1616669,1,Northwest Sioux Fall,Axtell Park Middle School,201 N. West Ave
2223944.10660366,15827620.4318376,2,Northwest Sioux Fall,Hayward Elementary,400 N. Valley View Rd
2241026.76666399,15829629.7217822,3,Northwest Sioux Fall,Hawthorne Elementary,601 N. Spring Ave
2233744.15655733,15831627.7417363,4,Northwest Sioux Fall,Jane Addams Elementary,2511 W. Brookings St
2255165.91686333,15829937.4616523,5,Northeast Sioux Fall,Ann Sullivan Elementary,3701 E. 3rd St
2248019.3766945,15820350.9217703,6,Northeast Sioux Fall,Horace Mann Elementary,1401 E. 26th St
2247959.41684066,15833428.9615591,7,Northeast Sioux Fall,Laura B. Anderson Elementary,1600 N. Wayland Ave
2248610.68686358,15827843.9415612,8,Northeast Sioux Fall,Terry Redlin Elementary,1721 E. Austin St
2256788.20659775,15829590.0017173,9,Northeast Sioux Fall,Washington High School,501 N. Sycamore Ave
2246033.94661025,15828838.4917374,10,Northeast Sioux Fall,Whitter Middle School,930 E. 6th St
2237613.31679799,15819438.4216268,11,Southwest Sioux Fall,Edison Middle School,2101 S. West Ave
2238390.44680541,15821112.5918349,12,Southwest Sioux Fall,Jefferson Elementary,1610 S. Lake Ave
2223869.89677833,15810826.8315666,13,Southwest Sioux Fall,John F. Kennedy Elementary,4501 S. Holbrook Ave
2236150.68684924,15818702.5517075,14,Southwest Sioux Fall,Laura Wilder Elementary,2300 S. Lyndale Ave
2240460.81668041,15823331.8616746,15,Southwest Sioux Fall,Lowell Elementary,710 W. 18th St
2219188.33658766,15820561.0115732,16,Southwest Sioux Fall,Memorial Middle School,1401 S. Sertoma Ave
2223356.69668924,15816538.9116778,17,Southwest Sioux Fall,Oscar Howe Elementary,2801 S. Valley View Rd
2221663.66661074,15815354.8018413,18,Southwest Sioux Fall,Roosevelt High School,6600 W. 41st St
2254608.08661416,15823878.2316448,19,Southeast Sioux Fall,Cleveland Elementary,1000 S. Edwards Dr
2248836.08667525,15825729.4815512,20,Southeast Sioux Fall,Eugene Field Elementary,501 S. Highland Ave
2255528.0467165,15819025.0517187,21,Southeast Sioux Fall,Harvey Dunn Elementary,2400 S. Bahnson Ave
2248019.3766945,15820350.9217703,22,Southeast Sioux Fall,Horace Mann Elementary,1401 E. 26th St
2254710.56672416,15812576.7516232,23,Southeast Sioux Fall,John Harris Elementary,3501 E. 49th St
2247957.77675208,15816678.0117933,24,Southeast Sioux Fall,Lincoln High School,2900 S. Cliff Ave
2244889.03682658,15822692.2415627,25,Southeast Sioux Fall,Longfellow Elementary,1116 S. 4th Ave
2242395.39680075,15819874.031648,26,Southeast Sioux Fall,Mark Twain Elementary,315 W. 27th St
2245529.70680508,15818970.1817497,27,Southeast Sioux Fall,Patrick Henry Middle School,2200 S. 5th Ave
2244174.57664133,15815964.1916987,28,Southeast Sioux Fall,Robert Frost Elementary,3101 S. 4th Ave
2228576.67673483,15835676.271697,29,Northwest Sioux Fall,Southeast Area Technical Institute,2301 Career Pl
2235183.03655358,15824292.1317357,30,Southwest Sioux Fall,Garfield Elementary,701 Robers Dr
