Social Security Administration (SSA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Extra Help with Medicare Prescription Drug Plan Cost,,,,
"NOTE: A fiscal year (FY) runs from October-September. For example, October of FY 2015 is October of calendar year 2014.",,,,
,,,,
Fiscal Year,State,Decisions Made,Eligible,Percentage Eligible
2010,Alabama,"25,054","14,182",56.6%
2010,Alaska,865,443,51.2%
2010,Arizona,"15,533","7,349",47.3%
2010,Arkansas,"14,349","8,033",56.0%
2010,California,"87,520","41,598",47.5%
2010,Colorado,"11,496","6,346",55.2%
2010,Connecticut,"7,619","3,170",41.6%
2010,DC,"1,217",712,58.5%
2010,Delaware,"3,866","1,126",29.1%
2010,Florida,"70,900","35,623",50.2%
2010,Georgia,"39,263","21,111",53.8%
2010,Hawaii,"3,414","1,694",49.6%
2010,Idaho,"4,041","2,003",49.6%
2010,Illinois,"42,826","16,431",38.4%
2010,Indiana,"26,101","12,929",49.5%
2010,Iowa,"7,928","3,339",42.1%
2010,Kansas,"8,528","4,153",48.7%
2010,Kentucky,"22,550","11,848",52.5%
2010,Louisiana,"15,869","7,812",49.2%
2010,Maine,"2,660","1,018",38.3%
2010,Maryland,"15,180","7,881",51.9%
2010,Massachusetts,"22,575","8,833",39.1%
2010,Michigan,"38,103","19,944",52.3%
2010,Minnesota,"10,824","4,923",45.5%
2010,Mississippi,"13,286","6,034",45.4%
2010,Missouri,"22,060","11,060",50.1%
2010,Montana,"3,983","1,896",47.6%
2010,Nebraska,"4,577","2,096",45.8%
2010,Nevada,"9,383","5,772",61.5%
2010,New Hampshire,"4,293","2,084",48.5%
2010,New Jersey,"28,933","16,127",55.7%
2010,New Mexico,"7,364","4,019",54.6%
2010,New York,"98,543","33,165",33.7%
2010,North Carolina,"41,741","20,831",49.9%
2010,North Dakota,"2,215",969,43.7%
2010,Ohio,"37,027","18,121",48.9%
2010,Oklahoma,"12,755","6,888",54.0%
2010,Oregon,"10,320","5,192",50.3%
2010,Pennsylvania,"40,574","20,516",50.6%
2010,Rhode Island,"4,343","2,010",46.3%
2010,South Carolina,"23,700","12,916",54.5%
2010,South Dakota,"2,038",954,46.8%
2010,Tennessee,"29,393","14,520",49.4%
2010,Texas,"83,503","49,236",59.0%
2010,Utah,"4,287","2,132",49.7%
2010,Vermont,"2,673","1,101",41.2%
2010,Virginia,"25,390","12,823",50.5%
2010,Washington,"15,480","8,130",52.5%
2010,West Virginia,"10,030","5,167",51.5%
2010,Wisconsin,"12,404","6,043",48.7%
2010,Wyoming,"1,232",599,48.6%
2010,No Zip Available,"2,117",269,12.7%
2010,TOTAL,"1,051,925","513,171",48.8%
2011,Alabama,"22,322","13,230",59.3%
2011,Alaska,786,454,57.8%
2011,Arizona,"13,849","6,876",49.6%
2011,Arkansas,"13,589","8,074",59.4%
2011,California,"86,043","43,489",50.5%
2011,Colorado,"11,496","6,530",56.8%
2011,Connecticut,"6,084","2,755",45.3%
2011,DC,"1,208",794,65.7%
2011,Delaware,"3,781","1,200",31.7%
2011,Florida,"67,132","36,289",54.1%
2011,Georgia,"37,263","21,343",57.3%
2011,Hawaii,"3,210","1,625",50.6%
2011,Idaho,"4,447","2,459",55.3%
2011,Illinois,"40,150","17,004",42.4%
2011,Indiana,"25,030","13,240",52.9%
2011,Iowa,"7,438","3,427",46.1%
2011,Kansas,"7,639","3,944",51.6%
2011,Kentucky,"21,353","12,260",57.4%
2011,Louisiana,"14,934","8,064",54.0%
2011,Maine,"3,262","1,200",36.8%
2011,Maryland,"14,021","8,062",57.5%
2011,Massachusetts,"16,612","7,123",42.9%
2011,Michigan,"34,926","19,289",55.2%
2011,Minnesota,"10,436","4,842",46.4%
2011,Mississippi,"11,960","6,184",51.7%
2011,Missouri,"22,170","12,213",55.1%
2011,Montana,"3,645","1,903",52.2%
2011,Nebraska,"4,070","1,905",46.8%
2011,Nevada,"9,494","5,880",61.9%
2011,New Hampshire,"4,201","2,189",52.1%
2011,New Jersey,"23,313","13,036",55.9%
2011,New Mexico,"6,224","3,522",56.6%
2011,New York,"58,395","27,151",46.5%
2011,North Carolina,"38,456","21,301",55.4%
2011,North Dakota,"1,792",880,49.1%
2011,Ohio,"34,571","18,011",52.1%
2011,Oklahoma,"11,652","6,459",55.4%
2011,Oregon,"9,944","5,115",51.4%
2011,Pennsylvania,"39,238","21,630",55.1%
