OBJECTID,NAME,CD,SHAPE_Length,SHAPE_Area
1,National Park Service (Scenic Easement),PRES,34205.6630072683,11150891.8882668
2,National Park Service (Scenic Easement),PRES,9538.24006053765,3697287.56492568
3,National Park Service,EXIST,65123.969325734,32177965.5582019
4,National Park Service,EXIST,3119.28487847851,442139.654435917
5,National Park Service,EXIST,18.688072256702,7.8626653954232
6,National Park Service,EXIST,25389.9545721437,10137854.4541194
7,National Park Service,EXIST,3081.30652544292,448713.770815612
8,National Park Service (Scenic Easement),PRES,4991.56583012841,474369.611518042
9,National Park Service (Scenic Easement),PRES,1678.38615810256,113288.85569234
10,National Park Service,EXIST,23389.3640755004,12903343.3328832
11,National Park Service (Scenic Easement),PRES,5734.94637024177,690442.222828107
12,National Park Service,EXIST,2114.04128261381,236356.84807263
13,National Park Service,EXIST,20479.3273292572,11491386.5645462
14,Hancock Brook Lake (U.S. Army Corps Of Engineers),EXIST,32999.5074479566,11226553.9369621
15,National Park Service,EXIST,6596.75534071456,1308460.47780944
16,Hop Brook Lake (U.S. Army Corps Of Engineers),EXIST,26233.8129397928,10589717.5088639
17,Hop Brook Lake (U.S. Army Corps Of Engineers),EXIST,1059.97382999941,45130.4730845413
18,Hop Brook Lake (U.S. Army Corps Of Engineers),EXIST,1218.69207317709,74036.14936947
19,National Park Service,EXIST,8126.10166325013,3257661.99709751
20,National Park Service,EXIST,7647.10701134843,1334104.11455666
21,National Park Service,EXIST,3094.07924170349,512467.01005515
22,National Park Service,EXIST,13395.327334434,3071387.30725644
23,National Park Service,EXIST,7896.28677504265,2245519.13460409
24,National Park Service (Scenic Easement),PRES,2805.73991969124,311860.626837007
25,Dep Conservation Easement (James A. Grant),PRES,2479.1593274842,367228.33451566
26,National Park Service,EXIST,4868.47117391396,1256711.65490206
27,National Park Service,EXIST,14085.9608412921,5768116.35994276
28,National Park Service (Scenic Easement),PRES,4380.09019059864,571834.916604386
29,U.S. Fish And Wildlife Service Salt Meadow National Wildlife Refuge,EXIST,10228.9595282549,1404514.83485234
30,National Park Service Weir Farm Park,EXIST,10238.7079651312,2417811.75481046
31,U.S. Fish And Wildlife Service Stewart B. McKinney National Wildlife Refuge (Milford Point Unit),EXIST,5166.39678540473,526301.221138443
32,U.S. Fish And Wildlife Service Stewart B. McKinney National Wildlife Refuge (Chimon Island Unit),EXIST,6789.7071869404,2699360.2441556
33,National Park Service (Scenic Easement),PRES,5235.08773682837,886044.9240962
34,National Park Service,EXIST,4656.26038990227,1262970.11945729
35,National Park Service,EXIST,4627.71277199679,681675.491016707
36,National Park Service (Scenic Easement),PRES,6965.69357987132,961793.422375072
37,National Park Service,EXIST,15189.6228555721,4170713.97671569
38,National Park Service (Scenic Easement),PRES,3715.20848064828,392905.142720872
39,National Park Service (Scenic Easement),PRES,2828.3096572112,348350.069571925
40,National Park Service,EXIST,84440.7422899274,63750373.3636007
41,U.S. Fish And Wildlife Service Salt Meadow National Wildlife Refuge,EXIST,13428.1583662604,7321557.62357097
42,Hop Brook Lake (U.S. Army Corps Of Engineers),EXIST,3960.58985249398,379724.404849743
43,Hop Brook Lake (U.S. Army Corps Of Engineers),EXIST,5350.28889768383,906612.030308148
44,Hop Brook Lake (U.S. Army Corps Of Engineers),EXIST,883.173197060987,43012.5232925772
45,Conn. River Gateway Scenic Easement (Richard W. Gates),PRES,6809.74182808537,2406030.23776982
46,Conn. River Gateway Scenic Easement (John A. Bross),PRES,17598.7336495734,12416518.016461
47,Conn. River Gateway Scenic Easement (John A. Bross),PRES,9760.98071572233,2054198.19055424
48,National Park Service (Scenic Easement),PRES,2947.72786372055,484380.406957742
49,Colebrook River Lake (U.S. Army Corps Of Engineers),EXIST,53477.1379090683,41026186.9443021
50,West Thompson Lake (U.S. Army Corps Of Engineers),EXIST,88141.8852739357,47713960.7334001
51,National Park Service (Scenic Easement),PRES,2213.65227064403,197770.891633862
52,National Park Service (Scenic Easement),PRES,1698.13754117874,93051.278414294
53,National Park Service (Scenic Easement),PRES,2908.40501485088,157496.660655482
54,National Park Service (Scenic Easement),PRES,2500.40899623068,408566.889087786
55,National Park Service (Scenic Easement),PRES,3722.49052335807,616356.846830193
56,National Park Service,EXIST,6304.71126905606,1422781.66163575
57,National Park Service,EXIST,16785.4690422709,7994397.16548701
58,National Park Service (Scenic Easement),PRES,3396.80471730455,594522.213395795
59,National Park Service,EXIST,5498.18826812013,1443147.5354464
60,National Park Service (Scenic Easement),PRES,15150.814122893,3354227.8192215
61,National Park Service,EXIST,2176.60327512284,208036.308840716
62,National Park Service (Scenic Easement),PRES,1731.22091182135,72279.956096341
63,National Park Service (Scenic Easement),PRES,40043.1302472065,8226819.13490917
64,U.S. Fish And Wildlife Service Stewart B. McKinney National Wildlife Refuge (Sheffield Island Unit),EXIST,12693.1599038086,2679525.84743623
65,National Park Service,EXIST,155355.04050515,118106182.672961
66,National Park Service,EXIST,5961.11172552015,1825551.77225758
67,National Park Service (Scenic Easement),PRES,2725.06914224195,388745.193156631
68,Thomaston Dam (U.S. Army Corps Of Engineers),EXIST,83052.9703892981,36050266.4578506
69,National Park Service (Scenic Easement),PRES,11033.2431000503,3120228.76125555
70,Northfield Brook Lake (U.S. Army Corps Of Engineers),EXIST,13249.5926475888,2861487.3371355
