Label,Distance_Traveled__mi_,Fuel_Usage__gallon_,Fuel_Economy__mpg_,Vehicle_Begin_Date,Vehicle_End_Date,Year,Make,Model,Groups,FID
E1219 VAN,321,34.1,9.4,2016/08/16 13:37:00+00,2016/08/31 14:26:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,1
AERIAL LIFT 1238,20,16.0,1.2,2016/08/22 12:42:00+00,2016/08/30 13:51:00+00,2016,FREIGHTLINER,M2 106,DPW FLEET,2
RANGER PICKUP E 1201,178,11.5,15.5,2016/08/23 08:15:00+00,2016/08/31 12:51:00+00,2011,FORD,RANGER,DPW FLEET,3
VACTOR 1260,297,73.0,4.1,2016/08/23 11:27:00+00,2016/08/31 13:47:00+00,2007,STERLING,L8500 SERIES,DPW FLEET | LEAVES/SNOW PLOW | WATER/SEWER,4
DUMP 1253,48,14.0,3.4,2016/08/24 08:51:00+00,2016/08/31 15:28:00+00,2012,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,5
E1219 VAN,530,63.2,8.4,2016/09/01 07:47:00+00,2016/09/30 13:26:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,6
RANGER PICKUP E 1201,759,43.3,17.5,2016/09/01 08:07:00+00,2016/09/30 12:52:00+00,2011,FORD,RANGER,DPW FLEET,7
VACTOR 1260,1114,226.0,4.9,2016/09/01 08:12:00+00,2016/09/30 14:43:00+00,2007,STERLING,L8500 SERIES,DPW FLEET | LEAVES/SNOW PLOW | WATER/SEWER,8
DUMP 1253,95,25.0,3.8,2016/09/01 09:25:00+00,2016/09/30 14:17:00+00,2012,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,9
AERIAL LIFT 1238,22,14.0,1.6,2016/09/03 07:57:00+00,2016/09/30 10:01:00+00,2016,FREIGHTLINER,M2 106,DPW FLEET,10
E1219 VAN,445,44.5,10.0,2016/10/03 07:31:00+00,2016/10/31 13:13:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,11
RANGER PICKUP E 1201,689,34.8,19.8,2016/10/03 07:36:00+00,2016/10/31 12:35:00+00,2011,FORD,RANGER,DPW FLEET,12
AERIAL LIFT 1238,9,5.0,1.8,2016/10/03 09:15:00+00,2016/10/10 12:50:00+00,2016,FREIGHTLINER,M2 106,DPW FLEET,13
DUMP 1253,171,55.0,3.1,2016/10/04 09:51:00+00,2016/10/31 15:41:00+00,2012,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,14
VACTOR 1260,538,117.0,4.6,2016/10/05 07:44:00+00,2016/10/29 15:33:00+00,2007,STERLING,L8500 SERIES,DPW FLEET | LEAVES/SNOW PLOW | WATER/SEWER,15
1241-09,35,12.0,2.9,2016/10/28 09:37:00+00,2016/10/31 10:33:00+00,2009,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,16
1241-09,297,77.0,3.9,2016/11/01 08:01:00+00,2016/11/17 15:52:00+00,2009,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,17
DUMP 1253,831,265.0,3.1,2016/11/01 08:11:00+00,2016/11/30 17:34:00+00,2012,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,18
RANGER PICKUP E 1201,641,34.1,18.8,2016/11/01 08:18:00+00,2016/11/30 12:37:00+00,2011,FORD,RANGER,DPW FLEET,19
VACTOR 1260,276,71.0,3.9,2016/11/01 08:37:00+00,2016/11/29 13:46:00+00,2007,STERLING,L8500 SERIES,DPW FLEET | LEAVES/SNOW PLOW | WATER/SEWER,20
E1219 VAN,424,51.6,8.2,2016/11/01 10:28:00+00,2016/11/30 11:02:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,21
1246,476,120.0,4.0,2016/11/07 07:39:00+00,2016/11/30 15:05:00+00,2004,INTERNATIONAL,7600 SALT TRUCK 4X2,DPW FLEET,22
1245,451,111.0,4.1,2016/11/07 07:40:00+00,2016/11/30 15:08:00+00,2001,STERLING,L8500 / LT8500 SERIES,DPW FLEET,23
1248-9,744,201.0,3.7,2016/11/07 07:50:00+00,2016/11/30 15:13:00+00,2009,INTERNATIONAL,WORKSTAR 7600,DPW FLEET,24
AERIAL LIFT 1238,7,7.0,1.0,2016/11/19 07:56:00+00,2016/11/30 16:28:00+00,2016,FREIGHTLINER,M2 106,DPW FLEET,25
RANGER PICKUP E 1201,599,35.1,17.1,2016/12/01 07:53:00+00,2016/12/28 12:56:00+00,2011,FORD,RANGER,DPW FLEET,26
E1219 VAN,475,57.6,8.2,2016/12/01 07:54:00+00,2016/12/29 14:13:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,27
1245,469,166.0,2.8,2016/12/01 07:55:00+00,2016/12/19 15:38:00+00,2001,STERLING,L8500 / LT8500 SERIES,DPW FLEET,28
1248-9,880,260.0,3.4,2016/12/01 08:10:00+00,2016/12/21 14:45:00+00,2009,INTERNATIONAL,WORKSTAR 7600,DPW FLEET,29
DUMP 1253,617,223.0,2.8,2016/12/01 08:40:00+00,2016/12/28 06:48:00+00,2012,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,30
1241-09,287,104.0,2.8,2016/12/01 10:37:00+00,2016/12/29 07:01:00+00,2009,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,31
1246,656,216.0,3.0,2016/12/01 10:56:00+00,2016/12/19 15:37:00+00,2004,INTERNATIONAL,7600 SALT TRUCK 4X2,DPW FLEET,32
1251,343,83.0,4.1,2016/12/02 08:05:00+00,2016/12/17 10:56:00+00,2000,FORD,F-750 SUPER DUTY,DPW FLEET,33
VACTOR 1260,472,125.0,3.8,2016/12/02 08:09:00+00,2016/12/27 15:03:00+00,2007,STERLING,L8500 SERIES,DPW FLEET | LEAVES/SNOW PLOW | WATER/SEWER,34
AERIAL LIFT 1238,9,8.0,1.1,2016/12/28 07:56:00+00,2016/12/29 12:40:00+00,2016,FREIGHTLINER,M2 106,DPW FLEET,35
1241-09,98,40.0,2.5,2017/01/01 10:44:00+00,2017/01/25 08:48:00+00,2009,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,36
VACTOR 1260,561,129.0,4.3,2017/01/01 11:56:00+00,2017/01/28 12:38:00+00,2007,STERLING,L8500 SERIES,DPW FLEET | LEAVES/SNOW PLOW | WATER/SEWER,37
RANGER PICKUP E 1201,216,12.5,17.3,2017/01/03 07:49:00+00,2017/01/12 13:26:00+00,2011,FORD,RANGER,DPW FLEET,38
AERIAL LIFT 1238,114,45.0,2.5,2017/01/03 07:51:00+00,2017/01/19 13:27:00+00,2016,FREIGHTLINER,M2 106,DPW FLEET,39
E1219 VAN,426,50.0,8.5,2017/01/03 07:53:00+00,2017/01/31 08:16:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,40
DUMP 1253,185,71.0,2.6,2017/01/03 07:57:00+00,2017/01/31 13:12:00+00,2012,INTERNATIONAL,WORKSTAR 7400,DPW FLEET,41
1246,412,133.0,3.1,2017/01/05 12:59:00+00,2017/01/31 10:28:00+00,2004,INTERNATIONAL,7600 SALT TRUCK 4X2,DPW FLEET,42
1245,540,157.0,3.4,2017/01/07 20:57:00+00,2017/01/31 10:19:00+00,2001,STERLING,L8500 / LT8500 SERIES,DPW FLEET,43
1248-9,389,116.0,3.4,2017/01/07 21:05:00+00,2017/01/31 09:11:00+00,2009,INTERNATIONAL,WORKSTAR 7600,DPW FLEET,44
1251,380,74.0,5.1,2017/01/09 07:51:00+00,2017/01/31 09:48:00+00,2000,FORD,F-750 SUPER DUTY,DPW FLEET,45
E1219 VAN,397,47.7,8.3,2017/02/01 07:38:00+00,2017/02/28 14:50:00+00,2011,FORD,E-SERIES CARGO,WATER/SEWER,46
1251,32,5.0,6.4,2017/02/01 07:47:00+00,2017/02/01 10:51:00+00,2000,FORD,F-750 SUPER DUTY,DPW FLEET,47
