ObjectID,Loc_name,X,Y,ARC_City,ARC_State,ARC_Zip,BATTALION,STATION,CHIEF,ENGINE,LADDER,SQUAD,EMSCONAME,ADDRESS,ZIP,CITY,STATE,PHONE,COMPANIES,COMBO,Open_Closed,Units,Notes
1,Address_Points,-83.003699062103,42.3991207153106,Detroit,MI,48213,9.0,E46, ,ENGINE 46, , , ,10101 KNODELL AVE,48213,Detroit,MI,3139229824.0,1.0,E46,Open,,No changes made
2,Address_Points,-83.1133713835762,42.3798932103241,Detroit,MI,48206,5.0,L28, , ,LADDER 28, , ,10325 LINWOOD AVE,48206,Detroit,MI,3138679557.0,1.0,L28,Closed,,Marked as Closed
3,Address_Points,-83.1268612140157,42.3004650886964,Detroit,MI,48209,7.0,E33, ,ENGINE 33,, , ,1041 LAWNDALE ST,48209,Detroit,MI,3138429333.0,2.0,E33,Open,,Eliminated Ladder 13
4,Address_Points,-82.9942292011345,42.3896238746812,Detroit,MI,48213,6.0,L19, , ,LADDER 19, , ,10645 SHOEMAKER ST,48213,Detroit,MI,3139229786.0,1.0,L19,Open,,"Changed Address from 10700 to 10645, changed lat & long. Verified on google maps."
5,Address_Points,-82.9546770182859,42.4173139999633,Detroit,MI,48224,9.0,E58, ,ENGINE 58, , , ,10801 WHITTIER RD,48224,Detroit,MI,3135219492.0,2.0,E58,Open,,Eliminated Squad 6
6,Street_Address,-83.0808196402402,42.3851197409297,Detroit,MI,48202,5.0,E35, ,ENGINE 35, , ,"Medic 20, 23",111 KENILWORTH AVE,48202,Detroit,MI,3138728823.0,1.0,E35,Open,,"Added M20, M23"
7,Address_Points,-83.0540341160829,42.337930844437,Detroit,MI,48201,1.0,E1, ,ENGINE 01, , , ,111 W MONTCALM ST,48201,Detroit,MI,3139649577.0,1.0,E1,Open,,No changes made
8,Address_Points,-82.9506030894932,42.3725007832433,Detroit,MI,48215,6.0,E38, ,ENGINE 38, , , ,1113 COPLIN AVE,48215,Detroit,MI,3138249859.0,1.0,E38,Open,,Marked as Closed
9,Street_Address,-82.9680352284624,42.3679788993349,Detroit,MI,48214,6.0,C6,Chief 6, , , , ,11740 E JEFFERSON AVE,48214,Detroit,MI,3138249851.0,1.0,C6,Open,,"Eliminated Engine 32, Medic 12"
10,Street_Address,-83.1660821365974,42.3795719696715,Detroit,MI,48204,2.0,E49, ,ENGINE 49, , , ,12515 GRAND RIVER AVE,48204,Detroit,MI,3139359586.0,1.0,E49,Closed,,Marked as Closed
11,Street_Address,-82.9855256545115,42.4204579755518,Detroit,MI,48205,9.0,E50,Chief 9,ENGINE 50,LADDER 23, ,Medic 15,12985 HOUSTON WHITTIER RD,48205,Detroit,MI,3135219302.0,2.0,"E50, L23, C9",Open,,No changes made
12,Address_Points,-83.0579101940292,42.330196674985,Detroit,MI,482,1.0,HQ,,,,,,1301 3RD ST,482,Detroit,MI,,,Headquarters,Open,C200-C201-C202-C203,NEW
13,Street_Address,-83.1754371546784,42.3948446581905,Detroit,MI,48227,0.0,Central, , , , , ,13331 LYNDON ST,48227,Detroit,MI,,,Central,Closed,,Marked as Closed
14,Address_Points,-83.133839952963,42.3934459933057,Detroit,MI,48238,8.0,E40, ,ENGINE 40,LADDER 17, ,Medic 10,13939 DEXTER AVE,48238,Detroit,MI,3139359801.0,3.0,"E40, L17, S5",Open,,Eliminated Squad 5
15,Street_Address,-83.2465616404327,42.3871305405857,Detroit,MI,48223,2.0,E57, ,ENGINE 57, , , ,13960 BURT RD,48223,Detroit,MI,3135929609.0,1.0,E57,Open,,Changed Batallion from 4 to 2
16,Address_Points,-83.0420011873309,42.350116657934,Detroit,MI,48207,0.0,Apparatus, , , , , ,1400 ERSKINE ST,48207,Detroit,MI,,,Fire Apparatus,Closed,,Marked as Closed
17,Street_Address,-83.1987502199671,42.4015597702373,Detroit,MI,48227,4.0,E53, ,ENGINE 53, , , ,15217 GREENFIELD RD,48227,Detroit,MI,3134939429.0,2.0,"E53, L25",Open,,"Eliminated Ladder 25, Medic 17, Changed address to 15217 Greenfield, Changed lat & long"
18,Address_Points,-83.0640075973879,42.3244769868787,Detroit,MI,48216,1.0,E8, ,ENGINE 08, , , ,1625 W LAFAYETTE AVE,48216,Detroit,MI,3139649585.0,1.0,E8,Closed,,Marked as Closed
19,Street_Address,-83.1698316438303,42.4095321054842,Detroit,MI,48227,4.0,E30, ,ENGINE 30, , ,Medic 3,16543 MEYERS RD,48227,Detroit,MI,3138629703.0,1.0,E30,Open,,No changes made
20,Address_Points,-83.249276928644,42.4135098677794,Detroit,MI,48219,4.0,E54, ,ENGINE 54,LADDER 26, ,"Medic 4, M22",16825 TRINITY AVE,48219,Detroit,MI,3135928770.0,2.0,"E54, L26",Open,,Added M22
21,Address_Points,-83.1109701937579,42.3483899596378,Detroit,MI,48208,5.0,S4, , , ,SQUAD 04, ,1697 W GRAND BLVD,48208,Detroit,MI,3138648980.0,2.0,S4,Open,,No changes made
22,Street_Address,-83.0385552187132,42.4228000720981,Detroit,MI,48212,9.0,L30, , ,LADDER 30, , ,17475 MOUNT ELLIOTT ST,48212,Detroit,MI,3138919825.0,1.0,L30,Closed,,Marked as Closed
23,Street_Address,-83.2194082958339,42.4228395238726,Detroit,MI,48219,4.0,E59,Chief 4,ENGINE 59, ,SQUAD 01, ,17800 CURTIS AVE,48219,Detroit,MI,3135928772.0,2.0,"E59, S1, C4",Open,,Added M17
24,Address_Points,-83.2174139491459,42.3581386104354,Detroit,MI,48228,2.0,E55,Chief 2,ENGINE 55,LADDER 27, ,Medic 5,18140 JOY RD,48228,Detroit,MI,3134939430.0,2.0,"E55, L27, C2",Open,,No changes made
25,Street_Address,-83.0360561828803,42.3752537235874,Detroit,MI,48211,6.0,S3, , , ,SQUAD 03, ,1818 E GRAND BLVD,48211,Detroit,MI,3139229468.0,2.0,S3,Open,,Eliminated Engine 23
26,Address_Points,-83.1407827190292,42.425039176195,Detroit,MI,48221,8.0,S5, , , ,SQUAD 05, ,18236 LIVERNOIS AVE,48221,Detroit,MI,3138629619.0,2.0,E51,Open,,"Eliminated Engine 51, Changed Address, Lat & Long"
27,Street_Address,-83.0629853047484,42.429851761861,Detroit,MI,48234,8.0,E56, ,ENGINE 56, , ,Medic 16,18601 RYAN RD,48234,Detroit,MI,3138929806.0,1.0,E56,Open,,No changes made
28,Address_Points,-83.0052189163326,42.4402467117105,Detroit,MI,48205,9.0,E60, ,ENGINE 60, , , ,19701 HOOVER AVE,48205,Detroit,MI,3135219514.0,1.0,E60,Open,,No changes made
29,Address_Points,-82.9922776723309,42.3627251527848,Detroit,MI,48214,6.0,M12, , , , ,Medic 12,2200 CRANE ST,48214,Detroit,MI,3138249839.0,1.0,M12,Open,,"Eliminated L14, Added M12"
30,Street_Address,-83.1578616739831,42.2736032503142,Detroit,MI,48225,7.0,E48, ,ENGINE 48, , ,Medic 11,2300 S FORT ST,48225,Detroit,MI,3133839718.0,1.0,E48,Open,,Added M11
31,Street_Address,-83.0786006475875,42.3129171957505,DETROIT,MI,482,,FB,,,,,,12 24th St,48216,Detroit,MI,,,,Open,FIREBOAT,NEW
32,Street_Address,-83.0480518511536,42.3282052984461,Detroit,MI,48226,1.0,HQ, , , , , ,250 W LARNED ST,48226,Detroit,MI,,,Headquarters,Closed,,Marked as Closed
33,Address_Points,-83.0938920684215,42.3468790986285,Detroit,MI,48208,7.0,M7, , , , ,Medic 7,2775 W WARREN AVE,48208,Detroit,MI,3132372775.0,, ,Open,,"Changed Battalion from 5 to 7, Eliminated Training"
34,Address_Points,-83.1275806716391,42.3175522072531,Detroit,MI,48209,2.0,M9, , , , ,Medic 9,2820 CENTRAL AVE,48209,Detroit,MI,3138429759.0,, ,Closed,,Marked as Closed
35,Street_Address,-83.0424502153803,42.3494603130731,Detroit,MI,48207,1.0,M8,Chief 1, , , ,Medic 8,3050 RUSSELL ST,48207,Detroit,MI,3138329281.0,, ,Open,,"Added Chief 1, HM1, TAC2, DECON"
36,Street_Address,-83.0983955648541,42.3336144407318,Detroit,MI,48208,7.0,E10, ,ENGINE 10, , , ,3396 VINEWOOD ST,48208,Detroit,MI,3138949364.0,1.0,E10,Closed,,Marked as Closed
37,Street_Address,-83.0125819195144,42.3467456049783,Detroit,MI,48207,1.0,E9, ,ENGINE 09,LADDER 06, ,Medic 21,3737 E LAFAYETTE AVE,48207,Detroit,MI,3135679342.0,2.0,"E9, L6, C1",Open,,"Eliminated Chief 1, Changed Medic to 21"
38,Street_Address,-83.0228137797177,42.3632238586876,Detroit,MI,48207,1.0,L10, , ,LADDER 10, , ,3812 MOUNT ELLIOTT ST,48207,Detroit,MI,3139228811.0,1.0,L10,Closed,,Marked as Closed
39,Street_Address,-83.0635247892911,42.3491408710922,Detroit,MI,48201,1.0,L20, , ,LADDER 20,SQUAD 02,Medic 6,433 W ALEXANDRINE ST,48201,Detroit,MI,3138329853.0,3.0,"L20, S2",Open,,Eliminated Engine 5
40,Address_Points,-83.1036407192191,42.4319010032786,Detroit,MI,48203,8.0,E44,Chief 8,ENGINE 44,LADDER 18, , ,47 W 7 MILE RD,48203,Detroit,MI,3138919565.0,2.0,"E44, L18, C8",Open,,"Changed Address, Lat & Long"
41,Street_Address,-83.0929019975729,42.3111715545885,Detroit,MI,48209,7.0,E27,Chief 7,ENGINE 27,LADDER 08, ,"Medic 9, 19",4700 W FORT ST,48209,Detroit,MI,3135965427.0,2.0,"E27, L8, C7",Open,,"Added Medic 9, 19"
42,Street_Address,-83.0038934013028,42.3804977127317,Detroit,MI,48213,6.0,E41, ,ENGINE 41, , ,Medic 14,5000 ROHNS AVE,48213,Detroit,MI,3139229457.0,1.0,E41,Open,,No changes made
43,Address_Points,-82.9563317708198,42.3969713356605,Detroit,MI,48224,9.0,E52, ,ENGINE 52,LADDER 31, , ,5029 MANISTIQUE AVE,48224,Detroit,MI,3138859770.0,2.0,"E52, L31",Open,,Changed Batallion from 6 to 9
44,Address_Points,-83.0736033634405,42.3647666137913,Detroit,MI,48202,5.0,E17,Chief 5,ENGINE 17,LADDER 07, , ,6100 2ND BLVD,48202,Detroit,MI,3138729058.0,2.0,"E17, L7, C5",Open,,No changes made
45,Street_Address,-83.1389246332885,42.3665175883682,Detroit,MI,48204,2.0,E42, ,ENGINE 42, , ,Medic 2,6425 W CHICAGO,48204,Detroit,MI,3134919778.0,1.0,E42,Open,,"Added Engine 42, Eliminated Ladder 21, Changed Address, Lat & Long"
46,Address_Points,-83.1320772817856,42.3464564172748,Detroit,MI,48210,2.0,E34, ,ENGINE 34, , , ,6345 LIVERNOIS AVE,48210,Detroit,MI,3138948702.0,1.0,E34,Open,,"Changed Address, Lat & Long"
47,Address_Points,-83.1337410275398,42.3385693630778,Detroit,MI,48210,2.0,L22, , ,LADDER 22, , ,6830 MCGRAW AVE,48210,Detroit,MI,3138949238.0,1.0,L22,Open,,No changes made
48,Address_Points,-83.0297434280716,42.3901454814582,Detroit,MI,48211,5.0,L16, , ,LADDER 16, ,Medic 13,6900 MILLER RD,48211,Detroit,MI,3139229821.0,1.0,L16,Closed,,Marked as Closed
49,Address_Points,-83.1097920818996,42.2941878209318,Detroit,MI,48217,7.0,E29, ,ENGINE 29, , , ,7600 W JEFFERSON AVE,48217,Detroit,MI,3138429578.0,1.0,E29,Open,,Eliminated Medic 1-3
50,Address_Points,-83.1004031599137,42.3722309866345,Detroit,MI,48206,5.0,E39, ,ENGINE 39, , ,Medic 1,8700 14TH ST,48206,Detroit,MI,3138949852.0,1.0,E39,Open,,
