OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIP,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWID,SURFACED_1,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUT,NGHBRHDGRN,NATIONHWYS,STREETTYPE,MJTRK_STR_,PVMTCONDIN,PVMTCOND_1,TRANCLASS,TRANDESCRI,FREIGHTCLASS,SHAPE_Length
1,15279,68,11975,0200,119750200,N 145TH ST BETWEEN WAYNE PL N AND MERIDIAN AVE N,N 145TH ST,N 145TH ST,WAYNE PL N,MERIDIAN AVE N,1, , ,2000,35,E,N, , ,260.0,0,,WAYNE PL N AND N 145TH ST,E,35690,MERIDIAN AVE N AND N 145TH ST,W,35910,1270958.30225825,271394.35412197, , , , , ,0,0,3, ,1,259.968675282777
2,15261,68,11975,0040,119750040,N 145TH ST BETWEEN PHINNEY AVE N AND DAYTON AVE N,N 145TH ST,N 145TH ST,PHINNEY AVE N,DAYTON AVE N,1, , ,400,35,E,N, , ,300.0,0,,PHINNEY AVE N AND N 145TH ST,E,35777,DAYTON AVE N AND N 145TH ST,W,35776,1266321.90890951,271483.17153005, , , ,Regional, ,0,0,3, ,1,300.205643923747
3,15282,68,11975,0230,119750230,N 145TH ST BETWEEN CORLISS AVE N AND SUNNYSIDE AVE N,N 145TH ST,N 145TH ST,CORLISS AVE N,SUNNYSIDE AVE N,1, , ,2300,35,E,N, , ,332.0,0,,CORLISS AVE N AND N 145TH ST,E,35908,SUNNYSIDE AVE N AND N 145TH ST,W,35907,1271917.86334725,271366.30874594, , , , , ,0,0,3, ,1,332.002370980281
4,15271,68,11975,0139,119750139,N 145TH ST BETWEEN INTERLAKE AVE N AND INTERLAKE E AVE N,N 145TH ST,N 145TH ST,INTERLAKE AVE N,INTERLAKE E AVE N,1, , ,1400,35,E,N, , ,75.0,0,,INTERLAKE AVE N AND N 145TH ST,E,35698,N 145TH ST AND INTERLAKE E AVE N,W,35697,1269388.68190466,271423.345866, , , ,Regional, ,0,0,3, ,1,74.5086386881132
5,15275,68,11975,0163,119750163,N 145TH ST BETWEEN DENSMORE AVE N AND COURTLAND PL N,N 145TH ST,N 145TH ST,DENSMORE AVE N,COURTLAND PL N,1, , ,1600,35,E,N, , ,137.0,0,,DENSMORE AVE N AND N 145TH ST,E,35694,COURTLAND PL N AND N 145TH ST,W,35693,1270085.30180937,271410.50362597, , , , , ,0,0,3, ,1,136.637911433484
6,166205,68,13145,0040,131450040,NE 145TH ST BETWEEN 4TH AVE NE AND 145TH ST ON RP,NE 145TH ST,NE 145TH ST,4TH AVE NE,145TH ST ON RP,1, , ,400,35,E,N, , ,115.0,0,,4TH AVE NE AND NE 145TH ST,E,35905,145TH ST ON RP AND NE 145TH ST,W,166204,1273166.09547652,271327.72160989, , , , , ,0,0,3, ,1,114.737546413607
7,16684,68,13145,0120,131450120,NE 145TH ST BETWEEN 12TH AVE NE AND 15TH AVE NE,NE 145TH ST,NE 145TH ST,12TH AVE NE,15TH AVE NE,1, , ,1200,35,E,N, , ,663.0,0,,12TH AVE NE AND NE 145TH ST,E,35852,15TH AVE NE AND NE 145TH ST,W,35851,1276052.18616748,271233.0151138, , , ,Regional, ,0,0,2, ,1,662.842014356218
8,15270,68,11975,0130,119750130,N 145TH ST BETWEEN STONE AVE N AND INTERLAKE AVE N,N 145TH ST,N 145TH ST,STONE AVE N,INTERLAKE AVE N,1, , ,1300,35,E,N, , ,260.0,0,,STONE AVE N AND N 145TH ST,E,35699,INTERLAKE AVE N AND N 145TH ST,W,35698,1269221.43134448,271426.43489, , , ,Regional, ,0,0,3, ,1,260.049710129414
9,15281,68,11975,0220,119750220,N 145TH ST BETWEEN BAGLEY AVE N AND CORLISS AVE N,N 145TH ST,N 145TH ST,BAGLEY AVE N,CORLISS AVE N,1, , ,2200,35,E,N, , ,357.0,0,,BAGLEY AVE N AND N 145TH ST,E,35909,CORLISS AVE N AND N 145TH ST,W,35908,1271573.52990688,271376.95316194, , , , , ,0,0,3, ,1,356.993199303293
10,16696,68,13145,0300,131450300,NE 145TH ST BETWEEN 30TH AVE NE AND 31ST AVE NE,NE 145TH ST,NE 145TH ST,30TH AVE NE,31ST AVE NE,1, , ,3000,35,E,N, , ,334.0,0,,30TH AVE NE AND NE 145TH ST,E,35990,NE 145TH ST AND 31ST AVE NE,W,35989,1280542.25663607,271079.94836164, , , ,Regional, ,0,0,2, ,1,333.883032066153
11,16680,68,13145,0050,131450050,NE 145TH ST BETWEEN 5TH AVE NE AND 6TH AVE NE,NE 145TH ST,NE 145TH ST,5TH AVE NE,6TH AVE NE,1, , ,500,35,E,N, , ,312.0,0,,5TH AVE NE AND NE 145TH ST,E,35853,NE 145TH ST AND 6TH AVE NE,W,35861,1273898.67179728,271304.70240986, , , , , ,0,0,2, ,1,311.563943541585
12,16689,68,13145,0220,131450220,NE 145TH ST BETWEEN 22ND AVE NE AND 23RD PL NE,NE 145TH ST,NE 145TH ST,22ND AVE NE,23RD PL NE,1, , ,2200,35,E,N, , ,269.0,0,,22ND AVE NE AND NE 145TH ST,E,36074,23RD PL NE AND NE 145TH ST,W,36073,1278179.56255366,271157.39821772, , , , , ,0,0,2, ,1,269.389387631684
13,15264,68,11975,0070,119750070,N 145TH ST BETWEEN FREMONT AVE N AND LINDEN AVE N,N 145TH ST,N 145TH ST,FREMONT AVE N,LINDEN AVE N,1, , ,700,35,E,N, , ,666.0,0,,FREMONT AVE N AND N 145TH ST,E,35774,LINDEN AVE N AND N 145TH ST,W,35773,1267427.78667064,271461.07098603, , , ,Regional, ,0,0,3, ,1,665.508723512581
14,15277,68,11975,0180,119750180,N 145TH ST BETWEEN WALLINGFORD AVE N AND BURKE AVE N,N 145TH ST,N 145TH ST,WALLINGFORD AVE N,BURKE AVE N,1, , ,1800,35,E,N, , ,260.0,0,,WALLINGFORD AVE N AND N 145TH ST,E,35692,BURKE AVE N AND N 145TH ST,W,35691,1270552.62328184,271401.84749797, , , , , ,0,0,3, ,1,259.988028852466
15,15267,68,11975,0110,119750110,N 145TH ST BETWEEN AURORA AVE N AND MIDVALE AVE N,N 145TH ST,N 145TH ST,AURORA AVE N,MIDVALE AVE N,1, , ,1100,35,E,N, , ,269.0,0,,AURORA AVE N AND N 145TH ST,E,35704,MIDVALE AVE N AND N 145TH ST,W,35702,1268560.3228638,271438.64557801, , , ,Regional, ,0,0,3, ,1,268.998422785415
16,16691,68,13145,0240,131450240,NE 145TH ST BETWEEN 24TH AVE NE AND 25TH AVE NE,NE 145TH ST,NE 145TH ST,24TH AVE NE,25TH AVE NE,1, , ,2400,35,E,N, , ,408.0,0,,24TH AVE NE AND NE 145TH ST,E,36072,25TH AVE NE AND NE 145TH ST,W,35996,1278837.97970633,271133.7194977, , , ,Regional, ,0,0,2, ,1,407.982910989418
17,16685,68,13145,0150,131450150,NE 145TH ST BETWEEN 15TH AVE NE AND 17TH AVE NE,NE 145TH ST,NE 145TH ST,15TH AVE NE,17TH AVE NE,1, , ,1500,35,E,N, , ,665.0,0,,15TH AVE NE AND NE 145TH ST,E,35851,17TH AVE NE AND NE 145TH ST,W,36077,1276715.70476015,271210.04340178, , , , , ,0,0,2, ,1,664.991612405208
18,15276,68,11975,0170,119750170,N 145TH ST BETWEEN COURTLAND PL N AND WALLINGFORD AVE N,N 145TH ST,N 145TH ST,COURTLAND PL N,WALLINGFORD AVE N,1, , ,1700,35,E,N, , ,269.0,0,,COURTLAND PL N AND N 145TH ST,E,35693,WALLINGFORD AVE N AND N 145TH ST,W,35692,1270288.13003357,271406.73242597, , , ,Regional, ,0,0,3, ,1,269.088724200323
19,16697,68,13145,0310,131450310,NE 145TH ST BETWEEN 31ST AVE NE AND 32ND AVE NE,NE 145TH ST,NE 145TH ST,31ST AVE NE,32ND AVE NE,1, , ,3100,35,E,N, , ,333.0,0,,NE 145TH ST AND 31ST AVE NE,E,35989,32ND AVE NE AND NE 145TH ST,W,35988,1280875.58623642,271069.63181762, , , , , ,0,0,2, ,1,333.095438076826
20,15268,68,11975,0120,119750120,N 145TH ST BETWEEN MIDVALE AVE N AND LENORA PL N,N 145TH ST,N 145TH ST,MIDVALE AVE N,LENORA PL N,1, , ,1200,35,E,N, , ,143.0,0,,MIDVALE AVE N AND N 145TH ST,E,35702,LENORA PL N AND N 145TH ST,W,35700,1268766.17156802,271434.843466, , , ,Regional, ,0,0,3, ,1,142.769144971046
21,16683,68,13145,0100,131450100,NE 145TH ST BETWEEN 10TH AVE NE AND 12TH AVE NE,NE 145TH ST,NE 145TH ST,10TH AVE NE,12TH AVE NE,1, , ,1000,35,E,N, , ,658.0,0,,NE 145TH ST AND 10TH AVE NE,E,35863,12TH AVE NE AND NE 145TH ST,W,35852,1275392.0722468,271254.98887382, , , ,Regional, ,0,0,2, ,1,658.117241171642
22,16678,68,13145,0010,131450010,NE 145TH ST BETWEEN 1ST AVE NE AND 4TH AVE NE,NE 145TH ST,NE 145TH ST,1ST AVE NE,4TH AVE NE,1, , ,100,35,E,N, , ,693.0,0,,1ST AVE NE AND NE 145TH ST,E,35906,4TH AVE NE AND NE 145TH ST,W,35905,1272762.17272411,271340.2084579, , , ,Regional, ,0,0,3, ,1,693.494103650859
23,15280,68,11975,0210,119750210,N 145TH ST BETWEEN MERIDIAN AVE N AND BAGLEY AVE N,N 145TH ST,N 145TH ST,MERIDIAN AVE N,BAGLEY AVE N,1, , ,2100,35,E,N, , ,307.0,0,,MERIDIAN AVE N AND N 145TH ST,E,35910,BAGLEY AVE N AND N 145TH ST,W,35909,1271241.69144255,271387.21088995, , , , , ,0,0,3, ,1,307.000630087987
24,16687,68,13145,0190,131450190,NE 145TH ST BETWEEN 19TH AVE NE AND 20TH AVE NE,NE 145TH ST,NE 145TH ST,19TH AVE NE,20TH AVE NE,1, , ,1900,35,E,N, , ,333.0,0,,19TH AVE NE AND NE 145TH ST,E,36076,20TH AVE NE AND NE 145TH ST,W,36075,1277546.47365701,271180.16890575, , , ,Regional, ,0,0,2, ,1,332.510577075039
25,16688,68,13145,0200,131450200,NE 145TH ST BETWEEN 20TH AVE NE AND 22ND AVE NE,NE 145TH ST,NE 145TH ST,20TH AVE NE,22ND AVE NE,1, , ,2000,35,E,N, , ,333.0,0,,20TH AVE NE AND NE 145TH ST,E,36075,22ND AVE NE AND NE 145TH ST,W,36074,1277878.78828135,271168.21709773, , , ,Regional, ,0,0,2, ,1,332.54833164327
26,16693,68,13145,0260,131450260,NE 145TH ST BETWEEN 26TH AVE NE AND 27TH AVE NE,NE 145TH ST,NE 145TH ST,26TH AVE NE,27TH AVE NE,1, , ,2600,35,E,N, , ,334.0,0,,26TH AVE NE AND NE 145TH ST,E,35995,27TH AVE NE AND NE 145TH ST,W,35993,1279541.95884305,271110.90874568, , , ,Regional, ,0,0,2, ,1,333.626540482448
27,16695,68,13145,0280,131450280,NE 145TH ST BETWEEN 28TH AVE NE AND 30TH AVE NE,NE 145TH ST,NE 145TH ST,28TH AVE NE,30TH AVE NE,1, , ,2800,35,E,N, , ,334.0,0,,NE 145TH ST AND 28TH AVE NE,E,35992,30TH AVE NE AND NE 145TH ST,W,35990,1280208.41689172,271090.28109765, , , ,Regional, ,0,0,2, ,1,334.116146621204
28,15266,68,11975,0090,119750090,N 145TH ST BETWEEN WHITMAN AVE N AND AURORA AVE N,N 145TH ST,N 145TH ST,WHITMAN AVE N,AURORA AVE N,1, , ,900,35,E,N, , ,296.0,0,,N 145TH ST AND WHITMAN AVE N,E,35807,AURORA AVE N AND N 145TH ST,W,35704,1268278.01899152,271444.08346601, , , ,Regional, ,0,0,3, ,1,295.714267649615
29,15272,68,11975,0140,119750140,N 145TH ST BETWEEN INTERLAKE E AVE N AND ROSLYN PL N,N 145TH ST,N 145TH ST,INTERLAKE E AVE N,ROSLYN PL N,1, , ,1400,35,E,N, , ,71.0,0,,N 145TH ST AND INTERLAKE E AVE N,E,35697,ROSLYN PL N AND N 145TH ST,W,35696,1269461.58084872,271421.99904999, , , ,Regional, ,0,0,3, ,1,71.3141713073416
30,15283,68,11975,0234,119750234,N 145TH ST BETWEEN SUNNYSIDE AVE N AND 1ST AVE NE,N 145TH ST,N 145TH ST,SUNNYSIDE AVE N,1ST AVE NE,1, , ,2300,35,E,N, , ,332.0,0,,SUNNYSIDE AVE N AND N 145TH ST,E,35907,1ST AVE NE AND NE 145TH ST,W,35906,1272249.68824358,271356.05063392, , , , , ,0,0,3, ,1,331.964588519511
31,15260,68,11975,0030,119750030,N 145TH ST BETWEEN GREENWOOD AVE N AND PHINNEY AVE N,N 145TH ST,N 145TH ST,GREENWOOD AVE N,PHINNEY AVE N,1, , ,300,35,E,N, , ,323.0,0,,GREENWOOD AVE N AND N 145TH ST,E,35778,PHINNEY AVE N AND N 145TH ST,W,35777,1266010.3485892,271489.39732206, , , ,Mixed, ,0,0,3, ,1,323.039227513795
32,15262,68,11975,0050,119750050,N 145TH ST BETWEEN DAYTON AVE N AND EVANSTON AVE N,N 145TH ST,N 145TH ST,DAYTON AVE N,EVANSTON AVE N,1, , ,500,35,E,N, , ,312.0,0,,DAYTON AVE N AND N 145TH ST,E,35776,EVANSTON AVE N AND N 145TH ST,W,35775,1266627.76196583,271477.05978605, , , ,Regional, ,0,0,3, ,1,311.622602987746
33,16679,68,13145,0041,131450041,NE 145TH ST BETWEEN 145TH ST ON RP AND 5TH AVE NE,NE 145TH ST,NE 145TH ST,145TH ST ON RP,5TH AVE NE,1, , ,400,35,E,N, , ,520.0,0,,145TH ST ON RP AND NE 145TH ST,E,166204,5TH AVE NE AND NE 145TH ST,W,35853,1273483.20766884,271317.95783389, , , , , ,0,0,3, ,1,519.787518751137
34,15273,68,11975,0150,119750150,N 145TH ST BETWEEN ROSLYN PL N AND ASHWORTH AVE N,N 145TH ST,N 145TH ST,ROSLYN PL N,ASHWORTH AVE N,1, , ,1500,35,E,N, , ,260.0,0,,ROSLYN PL N AND N 145TH ST,E,35696,ASHWORTH AVE N AND N 145TH ST,W,35695,1269627.12376089,271418.94157799, , , ,Regional, ,0,0,3, ,1,259.827915211947
35,15265,68,11975,0080,119750080,N 145TH ST BETWEEN LINDEN AVE N AND WHITMAN AVE N,N 145TH ST,N 145TH ST,LINDEN AVE N,WHITMAN AVE N,1, , ,800,35,E,N, , ,370.0,0,,LINDEN AVE N AND N 145TH ST,E,35773,N 145TH ST AND WHITMAN AVE N,W,35807,1267945.33303918,271450.73140203, , , ,Regional, ,0,0,3, ,1,369.790578656744
