Agency Number,Agency Name,Account - Major Class,Account Description - Major Class,Account - Sub-Class,Account Description - Sub-Class,Account,Account Description,Fiscal Year,Accounting Period,Amount
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,1,$1722118319.00
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,2,$451173280.40
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,3,$504457879.20
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,4,$442485419.40
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,5,$416059308.40
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,6,$421960881.00
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,7,$442794582.40
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,8,$18198247.10
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,10,$452139927.80
0,STATE OF OKLAHOMA,400400,Appropriations,621000,APPROPRIATED TRANSFERS OUT,621000,APPROPRIATED TRANSFERS OUT,2011,12,$483117444.40
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,1,$-911034535.50
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,2,$-38016674.76
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,3,$-64717757.44
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,4,$-32864773.04
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,5,$-21190214.66
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,6,$-45184382.68
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,7,$-35514784.52
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,8,$-4334338.33
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,10,$-7344506.83
