OBJECTID,GPU_ID,NAME,NAMEABBREVIATION,TYPENAMEREFERENCE,CALC_ACRES,CENSUSCODE,GNIS_ID,STATENAME,SHAPEAREA,SHAPELEN
2225713,DF1B8F8259564878820543F7569CF9FA,Homer,,Recording District,,NONE,,Alaska,1.01536157835987,4.99820897570013
2226519,058B6211BA634C518E745B65FCEE2141,Iliamna,,Recording District,,NONE,,Alaska,7.62846690776881,14.5767529484178
2227174,804DDC8FC7D3495BA4B0A2971842F535,Seldovia,,Recording District,,NONE,,Alaska,0.944911086401695,5.4639314766487
2227727,8342BC9968414BD1AB0FCA0F6BAE85CF,Skagway,,Recording District,,NONE,,Alaska,0.328757451565252,2.64559047488751
2227745,9E1568FC9FF84F609FFC978967F61AE5,Manley Hot Springs,,Recording District,,NONE,,Alaska,1.84343038923759,9.58426898711746
2227746,ABB3B5E2ED7A459497C0F7DB00023556,Kuskokwim,,Recording District,,NONE,,Alaska,12.6846589944348,28.7299997091797
2227747,B761B7A666924A568593E002CB8F9C93,Juneau,,Recording District,,NONE,,Alaska,7.34172329653211,20.5868399162153
2227748,BD0B9A503DE74021BDE446EBC587C7D4,Bethel,,Recording District,,NONE,,Alaska,22.0645844963059,25.3157919204337
2227784,2B6CD85E94B24E5194F6910411E5A256,Chitina,,Recording District,,NONE,,Alaska,10.5227553530088,24.5473342792513
2227785,2BBA9E06B25642C684A67DAF24325101,Wrangell,,Recording District,,NONE,,Alaska,1.08201535372474,6.13760419423375
2227786,2C60D43321234D5FA9885EBB3FDDAA2D,Kenai,,Recording District,,NONE,,Alaska,1.28832879947267,5.87459227236164
2227797,20AAD448648941C7837DCBFE183D9DDF,Sitka,,Recording District,,NONE,,Alaska,2.82132732959218,8.55255767314322
2227986,01A1001E07B7475BBECA7D50A4C27599,Ketchikan,,Recording District,,NONE,,Alaska,6.47029670361392,13.2319225282885
2228378,B160558111AD441CA328DFB77E3A4ABD,Rampart,,Recording District,,NONE,,Alaska,2.39469621158063,14.1892281459876
2228394,EF3E700A2F0F404CB7B992D01A40C032,Kotzebue,,Recording District,,NONE,,Alaska,18.6836083689597,31.6835235853183
2228481,702829E05D6E4FE6A2D642CFFDB84C28,Palmer,,Recording District,,NONE,,Alaska,2.15604316742815,11.4751235594412
2228736,E7804086F9FF44FDA190703EE155385B,Cape Nome,,Recording District,,NONE,,Alaska,36.6652135627872,55.1765598171211
2228737,EEB9BCA11F054376B3B14DB740EE2B45,Aleutian Islands,,Recording District,,NONE,,Alaska,39.6585367926671,79.838215856773
2228738,F1F2FE87F6E7492E92B979EB54CA5084,Barrow,,Recording District,,NONE,,Alaska,75.9979971980887,62.0014589200191
2228739,F882DBA833684399A4E8EF173B20C306,Nulato,,Recording District,,NONE,,Alaska,13.918335087402,34.1502210586105
2228744,217CF0C84E324EC39D5970FDC5250FBE,Kodiak,,Recording District,,NONE,,Alaska,10.5543027225533,18.5809713681963
2228750,C925E83D222143C6A44102543621A3AC,Anchorage,,Recording District,,NONE,,Alaska,5.16280536950089,21.2696280343209
2228751,CBDA61B87CE348F1AE98C42C09B0B849,Bristol Bay,,Recording District,,NONE,,Alaska,7.65368146391532,16.8037257538957
2228752,CE41874744AA440CA87900810FCB8D72,Kvichak,,Recording District,,NONE,,Alaska,6.92083596307644,17.1719785906587
2228753,CFF2B85DDCD24A2A9D4205581E0EF60E,Nenana,,Recording District,,NONE,,Alaska,4.03351156801754,14.6704534709182
2228754,D0DD45DE15344E5083A2CCBE163AD825,Cordova,,Recording District,,NONE,,Alaska,3.61643467416618,14.0020932537809
2229083,FF8A2A3FB81B4A4C9D02986C56FDAD36,Haines,,Recording District,,NONE,,Alaska,0.852409422724381,6.88012025678533
2229334,950778D3C7D040E7B45FC49D9824CDB1,Valdez,,Recording District,,NONE,,Alaska,4.44493805540418,13.3783616483225
2229710,80521F59E55E4462B115B48CD9849FBF,Talkeetna,,Recording District,,NONE,,Alaska,6.98596192951092,20.8055635663881
2229769,3448AAC33682406B80E4F56502650CB0,Mt. Mckinley,,Recording District,,NONE,,Alaska,12.241534200651,33.059309399783
2229770,37D5A9B76A6945BA918BD64BB7787706,Fort Gibbon,,Recording District,,NONE,,Alaska,5.66624891567417,16.5972625993763
2229771,3882A46DB7B74B4796A4CBE9168B119B,Petersburg,,Recording District,,NONE,,Alaska,3.60983180856627,11.4853778734688
2229774,6489B911E2BE46C3A9B4186332233DFF,Fairbanks,,Recording District,,NONE,,Alaska,50.271780176679,64.1863587370413
2229775,650A2C40CAE74E848E822F914EB56695,Seward,,Recording District,,NONE,,Alaska,2.24598648703057,9.7030239461441
