OBJECTID,DISTRICT,CLUSTER,NAME,ADDRESS,CITY,ZIP,HOURS,PHONE,LATITUDE,LONGITUDE
1,7,7,Americana Foods,15041 Plymouth,Detroit,48227,8:30AM-9PM,(313) 837-1999,42.3727,-83.192548
2,7,9,Banner Supermarket,14424 Schaefer Hwy,Detroit,48227,8AM-9PM,313-934-0325,42.39397,-83.178751
3,7,7,Fair Line Food Center,16520 W Warren Ave,Detroit,48228,9AM-9PM,(313) 584-9630,42.343534,-83.207503
4,7,9,Food 4 Less,14020 Grand River Avenue,Detroit,48227,8AM-9PM,(313) 272-4500,42.386261,-83.182424
5,7,6,Livernois Supermarket,13230 Livernois Ave,Detroit,48238,9AM-9PM,(313) 491-4120,42.385146,-83.139471
6,7,6,Modern Foods (Lance's Hometown Supermarket),8656 Wyoming Street,Detroit,48204,8:30AM-8PM,(313) 931-2000,42.358502,-83.157891
7,7,7,Saturn Super Foods,20221 Joy Road,Detroit,48228, ,(313) 846-7555,42.357518,-83.238592
8,7,7,Save-a-Lot,8000 Schaefer Highway,Detroit,48228,9AM-8PM,(313) 584-9930,42.351365,-83.177155
9,7,7,U S Quality Food Center,15690 Joy Rd,Detroit,48228,8:30AM-9PM,(313) 837-9777,42.358146,-83.199231
10,6,5,Azteca Supermercado,2411 Central St.,Detroit,48209,8AM-9PM,(313) 843-0500,42.313638,-83.125027
11,6,5,E & L Supermercado,6000 West Vernor Highway,Detroit,48209,8:30PM-7PM,(313) 554-2140,42.316208,-83.105761
12,6,5,Garden Fresh Marketplace (La Guadalupana El Mercado),6680 Michigan Ave,Detroit,48210,8PM-10PM,313-897-4406,42.331158,-83.12616
13,6,5,Gigante Prince Valley Supermercado,5931 Michigan Avenue,Detroit,48210,8AM-10PM,(313) 898-9717,42.331159,-83.115893
14,6,5,Honey Bee La Colmena,2443 Bagley Street,Detroit,48216,8AM-8AM,(313) 237-0295,42.325898,-83.076471
15,6,5,La Fiesta Market,7403 West Vernor Highway,Detroit,48209,8AM-9PM,(313) 842-7755,42.313413,-83.122364
16,6,5,Metro Food Center,6461 W Warren Ave,Detroit,48210,8AM-9PM,(313) 894-0200,42.344775,-83.132854
17,6,5,Ryans Foods,5858 W Vernor Hwy,Detroit,48209,8AM-9PM,313-843-7440,42.316759,-83.104415
18,6,5,Save-a-Lot,2545 South Schaefer Highway,Detroit,48217,9AM-8PM,(313) 842-5000,42.275286,-83.147616
19,6,4,University Food Center,1131 W Warren Ave,Detroit,48201,8AM-8PM,(313) 833-0815,42.353405,-83.07446
20,6,5,Vernor Food Center,8801 W Vernor Hwy,Detroit,48209,8AM-10PM,313-849-5944,42.308801,-83.133638
21,6,4,Whole Foods,115 Mack Ave,Detroit,48201,8AM - 9PM,(313) 576-5300,42.34803,-83.056886
