OBJECTID,GEOID,NAME,B27011_001E,B27011_002E,B27011_003E,B27011_004E,B27011_005E,B27011_006E,B27011_007E,B27011_008E,B27011_009E,B27011_010E,B27011_011E,B27011_012E,B27011_013E,B27011_014E,B27011_015E,B27011_016E,B27011_017E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1,53033000101,"Census Tract 1.01, King County, Washington",2485,2031,1929,1705,1617,157,224,102,74,42,32,28,454,403,200,203,51,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.01
2,53033000102,"Census Tract 1.02, King County, Washington",2887,2450,2412,1930,1828,182,482,38,38,36,2,0,437,426,316,186,11,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.02
3,53033000201,"Census Tract 2.01, King County, Washington",3145,2846,2760,2411,2308,171,349,86,12,12,0,74,299,299,152,165,0,5Y20,Seattle,8.2,8.0,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.01
4,53033000202,"Census Tract 2.02, King County, Washington",2912,2346,2143,2037,1927,110,106,203,203,96,107,0,566,532,389,207,34,5Y20,Seattle,8.2,8.0,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.02
5,53033000300,"Census Tract 3, King County, Washington",2082,1787,1750,1619,1572,152,131,37,37,37,26,0,295,267,200,76,28,5Y20,Seattle,9.5,9.0,Haller Lake,"Haller Lake, Pinehurst",3.0
6,53033000402,"Census Tract 4.02, King County, Washington",3149,2974,2809,2546,2335,240,263,165,165,102,63,0,175,171,116,110,4,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.02
7,53033000403,"Census Tract 4.03, King County, Washington",2046,1479,1408,1397,1233,164,11,71,71,36,35,0,567,550,327,246,17,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.03
8,53033000404,"Census Tract 4.04, King County, Washington",2635,2121,2091,1950,1633,506,141,30,30,0,30,0,514,453,140,372,61,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.04
9,53033000500,"Census Tract 5, King County, Washington",1655,1304,1292,1227,1207,63,65,12,12,3,12,0,351,348,328,105,3,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",5.0
10,53033000601,"Census Tract 6.01, King County, Washington",3263,2677,2607,2480,2377,163,127,70,21,2,19,49,586,570,457,138,16,5Y20,Seattle,9.5,9.0,Haller Lake,"Haller Lake, Pinehurst",6.01
11,53033000602,"Census Tract 6.02, King County, Washington",2644,2207,2146,1861,1643,271,285,61,54,50,4,7,437,386,190,196,51,5Y20,Seattle,9.5,9.0,Haller Lake,"Haller Lake, Pinehurst",6.02
