OBJECTID,cons_pct,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,ThreatF5,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,ACRES,Shapearea,Shapelen
1,0.0,4.23810005,35.60260009,10.61240005,10,9,4,1,6.8,10,3,122.09200286,4,0.31345946,0,0,0,0.0,1,51.74789414,10,0.0,10,4.17775454,10,36.01962999,0,0.0,9,15.58695311,0,0,3.45,4,7,51.7478946,209417.13729132,3935.14427992063
2,0.0,6.0714302,31.94109916,0.14168499,8,8,10,1,6.0,3,4,81.27079772,3,0.18919473,0,0,0,0.0,1,31.23347785,3,0.70488467,0,0.0,8,11.96152415,0,0.0,7,6.2456061,0,0,2.1,2,6,31.2334754,126397.89613772,1695.13166882483
3,43.78882937,3.0,31.94109916,0.14168499,10,8,10,9,9.4,10,10,12.0927,1,0.00234817,0,0,0,0.0,1,44.79841156,10,0.0,2,0.0352691,8,10.56608891,0,0.0,8,10.56608891,0,0,3.65,4,10,44.79841494,181293.4783922,1999.07104307942
4,0.0,2.0,35.60260009,10.61240005,10,9,4,1,6.8,10,3,116.11399841,3,0.26848006,0,0,0,0.0,1,45.0759359,10,0.0,0,0.0,10,47.35276055,9,3.0,0,0.0,0,0,2.85,3,7,45.07593152,182416.55263983,2161.32038298119
5,0.0,3.5,38.64619827,12.14579963,10,9,4,1,6.8,10,2,190.14700317,4,0.49613229,0,0,0,0.0,1,81.90469433,10,0.0,9,1.98584466,8,10.60549712,0,0.0,6,3.98824515,0,0,3.0,3,7,81.90468699,331457.83442118,3738.85705799471
6,0.0,2.52856993,38.64619827,12.14579963,10,9,4,1,5.2,2,2,213.74299621,5,0.92750172,0,0,0,0.0,2,153.11791952,2,0.9082673,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1.3,1,5,153.11790312,619648.64823204,6576.76404842035
7,0.0,2.0,81.79329681,2.13630008,10,10,9,1,8.0,10,9,14.55809974,1,0.00382425,0,0,0,0.0,1,72.95889121,10,0.0,0,0.0,2,0.06929929,0,0.0,2,0.06929929,0,0,2.8,3,8,72.95889071,295255.3364734,3461.30431246808
8,4.11339114,3.6333301,31.94109916,0.14168499,10,8,10,3,7.2,5,10,13.45750045,1,0.01805836,0,0,0,0.0,3,344.51622731,5,0.3655909,0,0.0,7,5.44726155,0,0.0,8,8.52673914,2,2,3.4,4,7,344.51623553,1394213.3172623,10156.9644884175
9,39.42655689,3.72958993,31.94109916,0.14168499,10,8,10,8,9.2,10,3,109.38300323,3,0.22205775,0,0,0,0.0,3,384.49413776,10,0.0,3,0.05542347,6,3.9763415,0,0.0,0,0.0,0,0,2.65,3,10,384.49410809,1555998.67470904,7736.20904700172
10,8.42723298,21.39999961,24.50589942,5.81794977,3,6,7,4,6.0,10,3,115.59999847,2,0.12791246,0,0,0,0.0,1,21.47561367,10,0.0,0,0.0,0,0.0,0,0.0,10,29.35422519,0,0,2.3,2,6,21.47561141,86909.06361112,1689.1817793305
11,0.0,1.13793003,38.64619827,12.14579963,10,9,4,1,6.8,10,2,219.50300598,5,1.02183418,0,0,0,0.0,2,168.69092518,10,0.0,6,0.3113979,8,13.74827956,0,0.0,8,10.51788647,0,0,3.2,4,7,168.69091771,682670.6544325,6508.54138160949
12,0.0,1.90625,38.64619827,12.14579963,10,9,4,1,6.6,9,2,199.01400756,4,0.46116615,0,0,0,0.0,3,331.61369798,9,0.00019299,0,0.0,2,0.01273771,0,0.0,2,0.01273771,0,0,2.25,2,7,331.61368447,1341998.3367483,8117.9693163014
13,0.0,1.73836994,18.43779945,15.88129997,10,5,3,1,5.0,6,2,184.26600647,6,2.12951752,0,0,0,0.0,3,357.53118411,6,0.30251906,3,0.03924133,5,1.99319676,9,3.0,4,2.77243508,0,0,3.0,3,5,357.53117213,1446883.10767452,12954.1733632759
14,0.0,14.16219997,24.50589942,5.81794977,4,6,7,1,5.6,10,4,80.08750152,5,0.61242168,0,0,5,37.01363556,3,440.37797827,10,0.0,4,0.14319517,2,0.09137604,0,0.0,2,0.27670775,0,0,3.7,4,6,440.37796072,1782153.50723291,12416.5962751854
15,0.0,3.31461,35.60260009,10.61240005,10,9,4,1,6.8,10,4,93.49880218,3,0.25236334,0,0,0,0.0,2,181.4685245,10,0.0,0,0.0,5,2.86396774,0,0.0,0,0.0,0,0,2.45,3,7,181.46849972,734379.901084035,9443.60306523363
16,0.0,11.24530029,36.37839889,11.13090038,5,9,4,1,5.8,10,2,171.01899719,6,1.32958639,0,0,0,0.0,2,219.49663013,10,0.0,0,0.0,3,0.56283324,0,0.0,7,5.50729183,0,0,2.7,3,6,219.49661678,888274.8464325,9479.87383805349
17,62.40071204,4.0,31.94109916,0.14168499,10,8,10,9,8.4,5,3,119.56300354,2,0.12189864,0,0,0,0.0,1,20.12380883,5,0.32439187,0,0.0,3,0.50586845,0,0.0,0,0.0,0,0,1.45,1,9,20.12381006,81438.4957412,1614.54275359139
18,0.4542827,8.96107006,31.94109916,0.14168499,6,8,10,2,5.8,3,6,45.35660171,1,0.04328369,0,0,7,50.91858407,4,825.76333893,3,0.58608559,2,0.02422001,5,2.18845995,0,0.0,6,3.95394642,0,0,3.6,4,6,825.76331996,3341758.96180055,14523.6882364238
19,51.90725574,5.63829994,12.54950046,23.61030006,9,3,2,9,6.6,10,1,248.31100463,5,0.54378682,0,0,0,0.0,1,91.29802629,10,0.0,3,0.07776728,10,31.43934339,9,3.0,2,0.13108717,0,0,3.0,3,7,91.29802516,369471.47736871,3487.39566156199
20,0.0,4.1875,38.64619827,12.14579963,10,9,4,1,6.8,10,2,177.59700012,3,0.19007409,2,2,0,0.0,1,31.378648,10,0.0,6,0.29510513,10,71.84216475,0,0.0,6,4.70128604,0,0,3.05,3,7,31.37864647,126985.38496687,1832.99946832607
21,0.0,2.22034001,47.97880172,7.14589977,10,10,6,1,7.4,10,6,48.23080062,5,0.72360721,0,0,0,0.0,2,121.48861863,10,0.0,0,0.0,10,34.30963366,0,0.0,0,0.0,0,0,3.2,4,8,121.48861378,491648.94352772,4081.07104989967
22,0.0,5.44443988,12.54950046,23.61030006,9,3,2,1,3.2,1,1,278.41500854,5,0.55278809,1,1,0,0.0,1,92.80927756,1,2.78523879,4,0.09858928,10,83.267322,9,3.0,3,1.2267739,0,0,2.3,2,3,92.80927654,375587.319208655,3573.48132156574
23,62.54443166,4.09881019,12.54950046,23.61030006,10,3,2,9,6.8,10,2,212.52699279,7,2.96063286,4,6,7,56.34650773,3,497.06966989,10,0.0,0,0.0,10,93.06339292,9,3.0,3,1.95732722,0,0,5.0,6,7,497.06966062,2011577.59479984,6549.84107733555
24,7.10013189,4.0,24.50589942,5.81794977,10,6,7,4,5.6,1,8,23.79800033,2,0.13265475,0,0,0,0.0,1,21.89949625,1,3.10071059,0,0.0,9,21.19455144,0,0.0,10,78.37111775,0,0,2.6,3,6,21.89948854,88624.44037467,1861.70675429074
25,0.0,25.36840057,24.50589942,5.81794977,2,6,7,1,5.2,10,3,107.27799987,3,0.20434935,0,0,0,0.0,1,34.30883577,10,0.0,0,0.0,10,71.28542676,0,0.0,7,7.04005235,0,0,2.75,3,5,34.30882893,138843.46007692,2622.67750410085
26,4.71816325,2.69426989,35.60260009,10.61240005,10,9,4,4,7.4,10,4,87.7303009,7,3.62571684,3,4,5,37.30662415,4,608.73264503,10,0.0,2,0.00678458,10,59.31735433,8,2.65342998,3,1.50986481,0,0,5.1,6,8,608.73264892,2463463.48365834,13832.9271782259
27,0.17392202,6.39215993,24.50589942,5.81794977,8,6,7,2,6.0,7,6,43.0149002,5,1.1373397,0,0,6,44.02984456,4,817.83413849,7,0.14672901,2,0.00715303,4,1.104735,0,0.0,4,2.24867111,0,0,4.1,5,6,817.83412389,3309670.51540838,16877.4404266285
28,0.0,6.80769014,18.61249923,9.22387981,8,5,5,1,4.0,1,3,131.11199951,1,0.10185289,0,0,0,0.0,1,48.63459463,1,1.56596349,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.8,1,4,48.63459638,196818.01601668,2091.80871777929
29,0.0,12.15380001,22.77070045,2.87052011,5,6,9,1,6.2,10,6,50.74620056,1,0.05875088,0,0,0,0.0,1,28.46623002,10,0.0,0,0.0,4,1.85482938,0,0.0,3,1.85482938,0,0,2.5,3,6,28.46622654,115199.19251955,1901.17849325018
