OBJECTID,Height,HotelName,HotelBrand,Status,YearOpen,NumberRooms,Shape__Area,Shape__Length
1,261,Crowne Plaza Downtown Detroit,Crowne Plaza Hotels and Resorts,Open,1965,367,33953.1826171875,775.641900933861
2,244,Fort Shelby Downtown Detroit,DoubleTree Suites by Hilton,Open,2008,203,13917.3864746094,476.131503402086
3,186,Holiday Inn Express Downtown Detroit,Holiday Inn Express and Suites,Open,1965,241,14107.6943359375,475.152123678989
4,278,Aloft Detroit at The David Whitney,Aloft Hotels,Open,2014,136,17013.7590332031,509.87368252139
7,136,Atheneum Hotel,Independent,Open,1992,174,22156.4697265625,658.269803890186
10,727,Marriot Detroit at the Renaissance Center,Marriot,Open,1977,1298,11628.5974121094,455.654286369441
11,137,Shinola Detroit Hotel,Shinola,Under Consructino,2019,130,12558.2861328125,459.898083513435
12,147,Element Detroit at the Metropolitan,Element by  Westin,Under Construction,2018,110,8772.35083007813,446.114536810492
13,164,The Siren ,Independent,Open,2018,106,3128.29052734375,276.436114527397
17,136,Greektown Casino Hotel,Independent,Open,2009,400,128184.226074219,1599.85368514732
18,107,Detroit Foundation Hotel,Aparium,Open,2017,100,16862.7690429688,526.412828057761
20,344,Detroit Courtyard Hotel,Courtyard by Marriot,Open,1984,242,18841.8303222656,574.452257902649
21,341,Westin Book Cadillac,Westin,Open,2008,453,50358.283203125,904.807114430085
22,220,MGM Grand Casino Hotel,MGM,Open,2006,400,25698.626953125,772.954912564348
23,115,Hilton Garden Inn Detroit Downtown,Hilton,Open,2003,198,12726.1271972656,540.211244019331
