County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
ALAMEDA,ALAMEDA,6.0,ADOPTED,IN,11/16/2022,12/20/2022,IN
ALAMEDA,ALAMEDA COUNTY,6.0,INITIAL DRAFT,IN REVIEW,10/6/2023,,OUT
ALAMEDA,ALBANY,6.0,ADOPTED,IN,8/16/2023,9/8/2023,IN
ALAMEDA,BERKELEY,6.0,ADOPTED,IN,1/24/2023,2/28/2023,IN
ALAMEDA,DUBLIN,6.0,ADOPTED,IN REVIEW,11/22/2023,,OUT
ALAMEDA,EMERYVILLE,6.0,ADOPTED,IN,1/20/2023,2/3/2023,IN
ALAMEDA,FREMONT,6.0,ADOPTED,IN,1/23/2023,3/22/2023,IN
ALAMEDA,HAYWARD,6.0,ADOPTED,IN,6/7/2023,7/27/2023,IN
ALAMEDA,LIVERMORE,6.0,ADOPTED,IN,3/14/2023,3/24/2023,IN
ALAMEDA,NEWARK,6.0,ADOPTED,IN REVIEW,11/1/2023,,OUT
ALAMEDA,OAKLAND,6.0,ADOPTED,IN,2/13/2023,2/17/2023,IN
ALAMEDA,PIEDMONT,6.0,ADOPTED,IN,9/11/2023,11/9/2023,IN
ALAMEDA,PLEASANTON,6.0,ADOPTED,IN,6/27/2023,8/25/2023,IN
ALAMEDA,SAN LEANDRO,6.0,ADOPTED,IN,12/9/2022,2/2/2023,IN
ALAMEDA,UNION CITY,6.0,ADOPTED,IN,5/25/2023,5/30/2023,IN
ALPINE,ALPINE COUNTY,6.0,INITIAL DRAFT,OUT,8/4/2022,11/2/2022,OUT
AMADOR,AMADOR,6.0,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
AMADOR,AMADOR COUNTY,6.0,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
AMADOR,IONE,6.0,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
AMADOR,JACKSON,6.0,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
AMADOR,PLYMOUTH,6.0,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
AMADOR,SUTTER CREEK,6.0,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
BUTTE,BIGGS,6.0,SUBSEQUENT DRAFT,OUT,6/14/2023,8/11/2023,OUT
BUTTE,BUTTE COUNTY,6.0,ADOPTED,IN,1/25/2023,2/22/2023,IN
BUTTE,CHICO,6.0,ADOPTED,IN,9/25/2023,11/6/2023,IN
BUTTE,GRIDLEY,6.0,NEW CYCLE,DUE,6/15/2022,6/15/2022,OUT
BUTTE,OROVILLE,6.0,ADOPTED,IN,4/26/2023,5/3/2023,IN
BUTTE,PARADISE,6.0,ADOPTED,IN,2/8/2023,2/28/2023,IN
CALAVERAS,ANGELS CAMP,6.0,ADOPTED,IN,10/28/2019,12/6/2019,IN
CALAVERAS,CALAVERAS COUNTY,6.0,ADOPTED,IN,9/13/2019,10/22/2019,IN
COLUSA,COLUSA,6.0,ADOPTED,IN,12/30/2020,3/1/2021,IN
COLUSA,COLUSA COUNTY,6.0,ADOPTED,IN,7/8/2020,7/17/2020,IN
COLUSA,WILLIAMS,6.0,ADOPTED,IN,11/3/2020,12/4/2020,IN
CONTRA COSTA,ANTIOCH,6.0,ADOPTED,IN,8/15/2023,10/12/2023,IN
CONTRA COSTA,BRENTWOOD,6.0,ADOPTED,IN REVIEW,11/3/2023,,OUT
CONTRA COSTA,CLAYTON,6.0,ADOPTED,IN REVIEW,10/24/2023,,OUT
CONTRA COSTA,CONCORD,6.0,ADOPTED,IN,9/15/2023,10/20/2023,IN
CONTRA COSTA,CONTRA COSTA COUNTY,6.0,ADOPTED,OUT,6/20/2023,8/18/2023,OUT
CONTRA COSTA,DANVILLE,6.0,SUBSEQUENT DRAFT,IN REVIEW,10/6/2023,,OUT
CONTRA COSTA,EL CERRITO,6.0,ADOPTED,IN,8/17/2023,8/22/2023,IN
CONTRA COSTA,HERCULES,6.0,SUBSEQUENT DRAFT,IN REVIEW,11/14/2023,,OUT
CONTRA COSTA,LAFAYETTE,6.0,ADOPTED,OUT,1/31/2023,3/29/2023,OUT
CONTRA COSTA,MARTINEZ,6.0,INITIAL DRAFT,OUT,6/8/2023,9/6/2023,OUT
CONTRA COSTA,MORAGA,6.0,ADOPTED,IN,7/17/2023,9/14/2023,IN
CONTRA COSTA,OAKLEY,6.0,ADOPTED,IN,3/29/2023,5/24/2023,IN
CONTRA COSTA,ORINDA,6.0,ADOPTED,IN,2/1/2023,3/30/2023,IN
CONTRA COSTA,PINOLE,6.0,ADOPTED,IN,6/23/2023,7/20/2023,IN
CONTRA COSTA,PITTSBURG,6.0,INITIAL DRAFT,OUT,5/5/2023,8/3/2023,OUT
CONTRA COSTA,PLEASANT HILL,6.0,ADOPTED,IN,10/31/2023,11/22/2023,IN
CONTRA COSTA,RICHMOND,6.0,ADOPTED,IN,9/26/2023,10/2/2023,IN
CONTRA COSTA,SAN PABLO,6.0,SUBSEQUENT DRAFT,OUT,9/25/2023,11/22/2023,OUT
CONTRA COSTA,SAN RAMON,6.0,ADOPTED,IN,2/6/2023,2/27/2023,IN
CONTRA COSTA,WALNUT CREEK,6.0,ADOPTED,IN,8/25/2023,10/24/2023,IN
DEL NORTE,CRESCENT CITY,6.0,ADOPTED,IN,9/18/2023,11/17/2023,IN
DEL NORTE,DEL NORTE COUNTY,6.0,ADOPTED,IN,2/15/2023,2/24/2023,IN
EL DORADO,EL DORADO COUNTY,6.0,ADOPTED,IN,3/23/2022,5/10/2022,IN
EL DORADO,PLACERVILLE,6.0,ADOPTED,IN,12/20/2022,12/21/2022,IN
EL DORADO,SOUTH LAKE TAHOE,6.0,ADOPTED,IN,7/7/2022,8/30/2022,IN
FRESNO,CLOVIS,6.0,SUBSEQUENT DRAFT,OUT,11/27/2023,11/28/2023,RESCIND
FRESNO,COALINGA,6.0,SUBSEQUENT DRAFT,IN REVIEW,11/14/2023,,OUT
FRESNO,FIREBAUGH,6.0,INITIAL DRAFT,IN REVIEW,11/1/2023,,IN
FRESNO,FOWLER,6.0,INITIAL DRAFT,IN REVIEW,9/28/2023,,IN
FRESNO,FRESNO,6.0,INITIAL DRAFT,IN REVIEW,11/3/2023,,IN
FRESNO,FRESNO COUNTY,5.0,ADOPTED,IN,4/27/2016,7/22/2016,IN
FRESNO,HURON,6.0,INITIAL DRAFT,IN REVIEW,10/20/2023,,IN
FRESNO,KERMAN,6.0,SUBSEQUENT DRAFT,IN REVIEW,11/21/2023,,IN
FRESNO,KINGSBURG,6.0,INITIAL DRAFT,OUT,6/5/2023,8/30/2023,IN
FRESNO,MENDOTA,6.0,INITIAL DRAFT,IN REVIEW,9/29/2023,9/29/2023,IN
FRESNO,ORANGE COVE,6.0,INITIAL DRAFT,IN REVIEW,9/25/2023,,OUT
FRESNO,PARLIER,6.0,INITIAL DRAFT,IN REVIEW,11/13/2023,,IN
FRESNO,REEDLEY,6.0,SUBSEQUENT DRAFT,IN REVIEW,11/28/2023,,IN
FRESNO,SAN JOAQUIN,6.0,INITIAL DRAFT,OUT,8/7/2023,11/2/2023,IN
FRESNO,SANGER,6.0,INITIAL DRAFT,IN REVIEW,10/9/2023,,IN
FRESNO,SELMA,5.0,CONDITIONAL,IN,8/19/2020,8/24/2020,IN
GLENN,GLENN COUNTY,6.0,ADOPTED,OUT,7/24/2023,9/22/2023,OUT
GLENN,ORLAND,6.0,SUBSEQUENT DRAFT,IN,11/20/2023,11/21/2023,OUT
GLENN,WILLOWS,6.0,ADOPTED,IN,2/15/2023,3/28/2023,IN
