OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,MILES_SQUARE,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,SHELLFISH_USE_DESCRIPTION,SHELLFISH_ATTAINMENT_CODE,SHELLFISH_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
1,2016,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",0.063,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.063,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,1756834.61608887,18206.9738212562
3,2016,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.157,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.157,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,4374296.51998901,53973.6698433642
4,2016,CT-W1_002-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.442,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.442,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,12327169.8566589,33356.4149221027
5,2016,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Byram River, US to saltwater limit just above Route 1 crossing, out to CT/NY border (includes CT half of River), I95 crosses river in seg, Greenwich.",0.037,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.037,X,Unassessed,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,1034815.0005188,22885.8049632883
7,2016,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.207,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,0.207,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,5757117.02087402,16817.5379882634
8,2016,CT-E1_022,"LIS EB Inner - Bride Brook, East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Bride Brook from outlet at RR crossing, Eastern end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, East Lyme.",0.029,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.029,X,Unassessed,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,818315.725280762,16954.2219211817
9,2016,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",0.041,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.041,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,1145495.85375977,17338.9153349127
11,2016,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",0.314,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.314,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,8756572.60620117,48802.7672825621
12,2016,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), and US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",0.272,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.272,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,7585004.57037354,57721.0406813147
13,2016,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",0.022,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.022,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,607017.854125977,17920.684538841
14,2016,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",0.033,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.033,N,Not Supporting,N,Not Supporting,N,Not Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,913136.136871338,12504.3614815931
15,2016,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",0.645,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.645,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,17969699.0231628,40307.2731996634
18,2016,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",0.104,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.104,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,2886952.34570313,13565.6756801074
19,2016,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",0.103,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.103,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,2860400.67156982,18240.6604460908
20,2016,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",0.313,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.313,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,8720442.76330566,34675.4515806446
21,2016,CT-E1_005,"LIS EB Inner - Inner Stonington Harbor, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",0.226,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.226,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,6302944.70812988,26569.794521485
23,2016,CT-W1_004,"LIS WB Inner - Pine Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Pine Creek Point, US to saltwater limit at Oldfield Road crossing, Fairfield.",0.06,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.06,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,1675498.77685547,32505.3262816066
24,2016,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries.  Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",0.231,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.231,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,6430481.45751953,14980.2404508867
25,2016,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries.  Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",0.516,SQUARE MILES,ESTUARY,Central,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.516,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,14379845.9512939,32526.4247364595
27,2016,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries.  Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",0.365,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.365,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10186500.1932678,35295.4720116418
