OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CT2020_AQL_Use_USE_NAME,CT2020_REC_Use_USE_NAME,CT2020_FSHCON_Use_USE_NAME,CT2020_SHLFSH_Use_USE_NAME,Impaired,CT2020_AQL_Use_ATTAINMENT,CT2020_REC_Use_ATTAINMENT,CT2020_FSHCON_Use_ATTAINMENT,CT2020_SHLFSH_Use_ATTAINMENT,Shape__Area,Shape__Length
1,2020,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",ESTUARY,0.063,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,1756834.6159668,18206.973821278
3,2020,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",ESTUARY,0.157,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,4374296.52044678,53973.6698434639
4,2020,CT-W1_002-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",ESTUARY,0.442,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,12327169.8568115,33356.4149221285
5,2020,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Byram River, US to saltwater limit just above Route 1 crossing, out to CT/NY border (includes CT half of River), I95 crosses river in seg, Greenwich.",ESTUARY,0.037,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Supporting,1034815.00054932,22885.8049632469
7,2020,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",ESTUARY,0.207,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,5757117.02154541,16817.537988165
8,2020,CT-E1_022,"LIS EB Inner - Bride Brook, East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Bride Brook from outlet at RR crossing, Eastern end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, East Lyme.",ESTUARY,0.029,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Supporting,818315.726074219,16954.2219209858
9,2020,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",ESTUARY,0.041,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,1145495.85406494,17338.915334929
11,2020,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",ESTUARY,0.314,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,8756572.60626221,48802.7672828632
12,2020,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), and US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",ESTUARY,0.272,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,7585004.56970215,57721.0406811826
13,2020,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",ESTUARY,0.022,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Supporting,Insufficient Information,Not Supporting,607017.854064941,17920.6845387681
