OBJECTID,CYCLE,ID305B,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPION,DRINKING_WATER_SUPPLY,Shape__Length
1,2006,CT4000-00_01,Connecticut River-01,"From head of estuary at Chapman Pond outlet, East Haddam, US to northern most boundary of Hurd State Park, East Hampton.",10.26638702,1080205,Insufficient Information,Insufficient Information,Not Supporting,Water Not Classified For Drinking Supply,54206.5234342795
2,2006,CT4000-00_02,Connecticut River-02,"From northern most boundary of Hurd State Park, East Hampton, US to confluence with Reservoir Brook (adjacent to Gildersleeve Island), Portland.",10.48588098,1080205,Insufficient Information,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,55365.4516784833
3,2006,CT4000-00_03,Connecticut River-03,"From Reservoir Brook confluence (adjacent to Gildersleeve Island), Portland, US to MA border.",35.26447421,1080205,Insufficient Information,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,186196.423688925
13,2006,CT4013-00_01,Sumner Brook-01,"From mouth at Connecticut River, Middletown, US to confuence with Long Hill Brook.",0.97134533,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5128.70314490867
14,2006,CT4013-08_01,Long Hill Brook-01,"From mouth at Sumner Brook, US to Pameacha Pond outlet dam, just US of Pamecha Avenue crossing, Middletown.",0.44689379,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2359.59941975596
25,2006,CT4100-00_03,Stony Brook (Suffield)-03,"From confluence with DeGrayes Brook (just northwest of airport), US to headwaters (the confluence of Rocky Gutter Brook and Rattlesnake Brook), Suffield.",4.26577559,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,22523.2961215839
26,2006,CT4101-00_01,Muddy Brook (Suffield)-01,"From mouth at Stony Brook, Suffield, US to confluence with Philo Brook.",2.23084639,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11778.8685876681
28,2006,CT4200-00_01,Scantic River-01,"From mouth at Connecticut River, US to confluence with Broad Brook, East  Windsor.",9.3764729,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,49507.7773755868
31,2006,CT4206-00_01,Broad Brook(East Windsor)-01,"From mouth at Scantic River, US to Broad Brook Mill Pond, East Windsor, just US of Main Street (Route 191) crossing.",1.00813977,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5322.97782964981
32,2006,CT4206-00_02,Broad Brook (East Windsor-Ellington)-02,"From Broad Brook Mill Pond inlet, East Windsor, US to headwaters, Ellington, just US of Snipsic Forest Road crossing.",9.01272384,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,47587.1825077464
33,2006,CT4400-00_01,Park river-01,"From mouth at Connecticut River, US to confuence with North Branch Park River, just DS of I84 crossing at opening of conduit (US of Willow Street crossing).",2.39165591,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,12627.9432503418
34,2006,CT4400-01_01,South Branch Park River-01,"From mouth at confluence with Park River, US to enterance of conduit (entire segment in pipe underground).",0.31784416,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1678.21719576226
35,2006,CT4400-01_02,South Branch Park River-02,"From entrance of conduit (segment-01), US to confluence with Piper and Trout Brooks, between railroad tracks and Route 173 (New Britian avenue).",2.62235545,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13846.0372020453
36,2006,CT4402-00_01,Piper Brook-01,"From mouth at confluence with Trout brook, above South Branch Park River, West Hartford, US (under New Britian Avenue), to conduit opening, US side of New Britain Ave (segment completely in conduit).",0.05471599,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,288.900501722337
37,2006,CT4402-00_02,Piper Brook-02,"From conduit entrance (segment-01) US side of New Britain Avenue, West Hartford, US into St. Marys Cemetary (just US of railroad crossing and parallel with Route 9) where pipe emerges from ground, New Britain.",5.81178416,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,30686.219898546
38,2006,CT4403-00_01,Trout Brook-01,"From mouth at confluence with Piper Brook, above South Branch Park River (just DS of railroad crossing, near New Britian Avenue), West Hartford, US under Route 84 exit 42 (Trout Brook Drive) ramp.",1.0673254,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5635.47800507365
39,2006,CT4403-00_02,Trout Brook-02,"From US side of Route 84 Exit 42 (Trout Brook) ramp, West Hartford, US to Park Road crossing (Entire segment flows through concrete channel).",0.88407749,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4667.92890600699
40,2006,CT4403-00_03,Trout Brook-03,"From Park Road crossing (just DS of Boulevard road crossing), US to Woodbridge Lake outlet dam, West Hartford.",5.95130367,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,31422.8835794629
41,2006,CT4404-00_01,North Branch Park River-01,"From mouth at confluence with Park River just DS of I84 crossing, US to entrance of conduit (entire segment in pipe) near Farmingotn Avenue, Hartford.",0.50836521,1080205,Not Supporting,Not Supporting,Fully Supporting,Not Assessed,2684.16843734051
42,2006,CT4404-00_02,North Branch Park River-02,"From DS side of Farmington Avenue (at entrance of conduit), US to confluence with Wash Brook (just DS of confluence of Wash Brook and Beamans Brook), Bloomfield.",5.39120274,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28465.5504714713
43,2006,CT4500-00_01,Hockanum River-01,"From mouth at Connecticut River, East Hartford, US to Cellu Company Dam, the first dam at Scotland Impoundment (two dams just DS of this dam), includes impounded water behind East Hartford town hall.",4.26077371,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,22496.884886711
44,2006,CT4500-00_02,Hockanum River-02,"From Cellu Company dam (first dam at Scotland Impoundment), US to confluence with South Fork Hockanum (AKA Hop) River, just US of ""Laurel Lake"", Manchester.",3.59544219,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18983.9352250201
45,2006,CT4500-00_03,Hockanum River-03,"From confluence with South Fork Hockanum (AKA Hop) River (just US of ""Laurel Lake""), US to Union Pond outlet dam, Manchester.",3.42234635,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,18069.9886810753
46,2006,CT4500-00_04a,Hockanum River-04a,"From inlet to Union Pond, Manchester, US to confluence with Tankerhoosen River, Vernon.",1.44061335,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,7606.43895485904
47,2006,CT4500-00_04b,Hockanum river-04b,"From confluence with Tankerhoosen River, Vernon, US to marsh (approximatly one mile DS of Dart Hill Road crossing, parallel to Route 83, near Neak Road), Vernon.",1.66704618,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,8802.00388891144
48,2006,CT4500-00_05,Hockanum River-05,"From marsh exit (approximatly one mile DS of Dart Hill Road crossing, parallel to Route 83, near Neak Road), Vernon, US to Vernon POTW (just DS of Route 74 crossing).",2.47639313,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13075.35491601
49,2006,CT4500-00_06a,Hockanum River-06a,"From Vernon POTW (just DS of Route 74 crossing), Vernon, US to Windsor Avenue crossing (Route 74), Vernon.",3.03026282,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,15999.788228218
50,2006,CT4500-00_06b,Hockanum River-06b,"From Windsor Avenue crossing (Route 74), Vernon, US to Vernon Ave, Vernon (Rockville).",0.9332085,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4927.34102668371
51,2006,CT4500-00_07,Hockanum River-07,"From Vernon Ave (outlet of culvert), Rockville, US to Paper Mill Pond outlet dam (inlet to culvert).",0.52472123,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2770.52805330077
52,2006,CT4500-00_08,Hockanum river-08,"From Paper Mill Pond outlet dam, Rockville, US to Shenipsit Lake outlet dam.",0.5850867,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3089.25786377912
53,2006,CT4501-00_01,Charters Brook-01,From mouth at Shenipsit Lake Tolland US to headwaters near Webster Rd Ellington,6.21606373,1080205,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,32820.8163652825
54,2006,CT4503-00_01,Tankerhoosen River-01,"From mouth at Hockanum River, Vernon (DS of Route 83/03 crossing near Manchester border ), US to Tankerhoosen Lake outlet dam, Vernon.",1.51459647,1080205,Not Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7997.06932174433
57,2006,CT4600-00_01,Mattabasset River-01,"From mouth at Connecticut River, Cromwell, US to Route 3 crossing (south of Route 372 intersection).",3.30737858,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17462.9589841548
58,2006,CT4600-00_02,Mattabasset River-02,"From Route 3 crossing, Cromwell and Middletown Townline, US to High Pond Dam (just US of Berlin Street crossing), East Berlin.",3.64770215,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19259.8672225111
59,2006,CT4600-00_03,Mattabasset River-03,"From High Pond Dam just US of Berlin Street crossing,  East Berlin, US to confluence with Willow Brook.",3.59863106,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19000.7721964484
60,2006,CT4600-00_04,Mattabasset River-04,"From confluence with Willow Brook, US to Kensington Dam at outlet of Railroad Pond (just US of Kensington Road crossing), Berlin.",2.83048505,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,14944.9620597474
61,2006,CT4600-00_05,Mattabasset River-05,"From Kensington Dam at outlet of Railroad Pond (just US of Kensington Road crossing), Berlin, US to inlet of Paper Goods Pond (segment includes both ponds).",1.00923539,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,5328.76282617303
62,2006,CT4600-00_06,Mattabasset River-06,"From inlet to Paper Goods Pond, US to Lower Hart Pond outlet dam (Both Lower and Upper Hart Ponds are not in segment).",1.32129343,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6976.42946208391
66,2006,CT4600-05_01,John Hall Brook-01,"From mouth at confluence with Stocking Brook (DS of Southington Road crossing), US to Kenmere Reservoir OUTLET, Berlin.",1.01711999,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5370.39345112027
67,2006,CT4600-05_02,John Hall Brook-02,"From Kenmere Reservoir INLET, US to Hallmere Reservoir outlet dam, Berlin.",1.00467857,1080205,Not Assessed,Not Supporting,Fully Supporting,Fully Supporting,5304.70256828007
68,2006,CT4600-07_01,Little Brook (Rocky Hill)-01,"From mouth at Mattabasset River US to source near Trinity Rd, Rocky Hill.",1.91884616,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10131.5082127971
