OBJECTID,CYCLE,ID305B,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,Shape__Length
7,2008,CT3401-00_02,Rocky Brook-02,"From confluence with unnamed tributary (in marsh on south side of East Thompson Road), US to Massachusetts border, Thompson.",0.23522713,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1241.99947574784
11,2008,CT3500-00_03,Moosup River-03,"From Brunswick Mill Dam #1 (first impoundment in Almyville, parallel to Route 14), Plainfield, US to Rhode Island border.",7.35678304,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,38843.8145446399
13,2008,CT3503-00_01,Ekonk Brook-01,"From mouth at confluence with Moosup River (DS of River Street crossing), US to headwaters at Lockes Meadow Pond outlet dam, Plainfield.",4.49644885,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23741.2492635511
22,2008,CT3700-00_01,Quinebaug River-01,"From mouth at confluence with Shetucket River, at Lisbon/Norwich border, US to Aspinook Pond outlet dam (US of River Road (Route 12) crossing), Lisbon/Griswold border.",7.46312819,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,39405.3170209153
23,2008,CT3700-00_02,Quinebaug River-02,"From Aspinook Pond inlet (at Butts Bridge Road crossing), US to confuence with Mill Brook, Canterbury.",2.98250929,1100001,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,15747.649573493
25,2008,CT3700-00_04,Quinebaug River-04,"From confluence with Moosup River (river forms town boundary for Canterbury and Plainfield), US to Putnum POTW (parallel to Kennedy Drive near I-395), Putnam.",17.6144318,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,93004.1998788036
26,2008,CT3700-00_05,Quinebaug River-05,"From just US of Putnum POTW (just DS of Railroad crossing), US to confluence with French River, Thompson.",3.31565148,1100001,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17506.6397491418
28,2008,CT3700-00_07,Quinebaug River-07,"From inlet to West Thompson Lake (Reservoir) just DS of  Blain Road crossing, US to Massachusetts border (US of Route 197 crossing), Thompson.",6.39746632,1100001,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,33778.6222700516
29,2008,CT3708-00_01,Little River (Putnam)-01,"From mouth at confluence with Quinebaug River (just DS of Route 44 crossing), Putnum, US to drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner).",2.63982831,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13938.2937328827
31,2008,CT3708-01_01,Muddy Brook (Woodstock)-01,"From mouth at inlet to Roseland Lake, US to Route 197 crossing, Woodstock.",5.43905546,1100001,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,28718.2142258139
