OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,Shape__Length
1,2018,CT1000-00_01,Pawcatuck River (Stonington/North Stonington)-01,"Head of tide Route 1 crossing at CT/RI border, Stonington/Pawcatuck-Westerly RI, US along CT/RI border to point where river leaves CT in North Stonington  and enters RI.",5.38,Miles,RIVER,1090005,Pawcatuck-Wood,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,28385.5837869802
2,2018,CT1000-00_trib_01,Unnamed tributary Pawcatuck River 1000-00 (Stonington)-01,"Confluence Pawcatuck River (Little Narragansett Bay portion) just DS of Route 49 crossing, US to HW at unnamed pond outlet just US of Route 49 crossing, very close to Town border, Stonington. Statewide bacteria TMDL",0.18,Miles,RIVER,1090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,943.736514558992
3,2018,CT1000-01_01,Unnamed tributary to Pawcatuck River 1000-01 (North Stonington)-01,"Mouth at confluence Pawcatuck River, US to Lewis Pond OUTLET, just US of Boom Bridge Road crossing, North Stonington. Statewide bacteria TMDL",0.14,Miles,RIVER,1090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,746.177180691067
4,2018,CT1000-03_01,Unnamed tributary Pawcatuck River 1000-03 (Stonington)-01,"Confluence Pawcatuck River, just DS Route 2/78 crossing, US to HW at unnamed pond OUTLET just US of Elm Ridge Road crossing, Stonington.",0.88,Miles,RIVER,1090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4628.30944552166
5,2018,CT1000-04_01,Unnamed tributary Pawcatuck River 1000-04 (Stonington)-01,"Confluence Pawcatuck River, US to HW, US Route 2/78 crossing and above Kelly Street and North Road access points, Stonington. Statewide bacteria TMDL",0.72,Miles,RIVER,1090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3796.73431246689
6,2018,CT1000-05_01,Unnamed tributary Pawcatuck River 1000-05 (Stonington)-01,"Confluence Pawcatuck River, US to HW at unnamed pond OUTLET just US Arch Street crossing, Stonington. Statewide bacteria TMDL",0.55,Miles,RIVER,1090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2908.70099043016
13,2018,CT1004-00_01,Shunock River (North Stonington)-01,"Confluence Pawcatuck River, US to Ripley Parks Pond OUTLET at Side Pond dam (just south of Babcock Road), North Stonington Center.",4.37,Miles,RIVER,1090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23054.4017589645
19,2018,CT2000-30_01,Fenger Brook (Waterford)-01,"Head of tide, Alewife Cove (just DS Niles Hill Road (Route 213) crossing), US to HW (southeast Clark Lane and Chester Street intersection), Waterford.",3.47,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18332.6933200355
21,2018,CT2102-00_01,Copps Brook (Stonington)-01,"Quiambog Cove (parallel Cove Road), US to Palmer (Mystic) Reservoir dam OUTLET (just US Jerry Brown Road crossing), Stonington.",0.77,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4043.394315879
22,2018,CT2102-00_02,Copps Brook (Stonington/North Stonington)-02,"Palmer (Deans/Mystic) Reservoir INLET (just DS Pequot Trail (Route 234) road crossing), Stonington, US to HW (just US Mystic Road (Route 201) crossing, North Stonington.",4.32,Miles,RIVER,1100003,Thames,50,Inland Surface Waters Class AA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,Yes,22817.8563905056
23,2018,CT2102-00-trib_01,Unnamed tributary Copps Brook (Stonington)-01,"Confluence Copps Brook just US Quiambog Cove (parallel Cove Road), US to HW near Jerry Brown Road, Stonington (intermittent).",0.66,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3479.8575692968
26,2018,CT2103-00_03,Seth Williams Brook-03,"Highlands POTW (DS Town Farm Road crossing, parallel Shewville Road), US to HW (US Shewville Road crossing, south Route 214 intersection), Ledyard.",2.1,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11091.3885771281
28,2018,CT2104-00_02a,Whitford Brook (Ledyard/Stonington)-02a,"Area east of Shewville Road and Gallup Hill Road intersection, river is Ledyard/Stonington town line, US to entrance ""Lantern Hill"" wellfield (west Lantern Hill Road, in marsh parallel Stony Pond), river is Ledyard/Stonington town line.",0.74,Miles,RIVER,1100003,Thames,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3916.40830675527
36,2018,CT2202-00_01,Latimer Brook (East Lyme)-01,"Confluence Niantic River (head of tide at Banning Cove inlet, just DS Route 1 crossing, south side I95, east exit 75), US to confluence Cranberry Meadow Brook (parallel Route 161), East Lyme.",4.23,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,22354.8687398748
