OBJECTID_1,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,LOGRECNO,TRACT,NAME,TOTAL_POPU,WHITE,BLACK,NATIVE,ASIAN,PACIFIC,OTHER,TWO_OR_MOR,HISPANIC,WHITE_NON_,POP_18_OVE,TOTAL_HU,OCC_HU,VAC_HU,SQMI,Shape_Leng,Shape__Area,Shape__Length,Households_Total_Less_than_1000,Families_Total_Less_than_10000,Married_couple_families_Total_L,Nonfamily_households_Total_Less,Households_Total__10_000_to_149,Families_Total__10_000_to_14999,Married_couple_families_Total_1,Nonfamily_households_Total_1000,Households_Total_15000_to_24999,Families_Total_15000_to_24999,Married_couple_families_Total_2,Nonfamily_households_Total_1500,Households_Total_25000_to_34999,Families_Total_25000_to_34999,Married_couple_families_Total_3,Nonfamily_households_Total_2500,Households_Total_35000_to_49999,Families_Total_35000_to_49999,Married_couple_families_Total_4,Nonfamily_households_Total_3500,Households_Total_50000_to_74999,Families_Total_50000_to_74999,Married_couple_families_Total_5,Nonfamily_households_Total_5000,Households_Total_75000_to_99999,Families_Total_75000_to_99999,Married_couple_families_Total_7,Nonfamily_households_Total_7500,Households_Total_100000_to_1499,Families_Total_100000_to_149999,Married_couple_families_Total_6,Nonfamily_households_Total_1001,Households_Total_150000_to_1999,Families_Total_150000_to_199999,Married_couple_families_Total_8,Nonfamily_households_Total_1501,Households_Total_200000_or_more,Families_Total_200000_or_more,Married_couple_families_Total_9,Nonfamily_households_Total_2000,Households_Median_income,Families_Median_income,Married_couple_families_Median_,Nonfamily_households_Median_inc,Households_Mean_income,Families_Mean_income,Nonfamily_households_Mean_incom
1,767,4,13,319101,4013319101,3191.01,Census Tract 3191.01,G5020,S,330647,0,33.4166651,-111.9220738,140,92351,319101,Census Tract 3191.01,2942,1435,201,119,574,21,478,114,755,1225,2631,1329,1116,213,0.1276373,8618.28387243,475847.453125,3150.59369684,34.3,13.2,32.7,36.6,13.6,0.0,0.0,15.1,13.8,37.2,50.0,11.3,14.9,14.7,0.0,15.0,12.2,7.0,0.0,12.7,6.3,27.9,17.3,4.0,2.2,0.0,0.0,2.4,0.7,0.0,0.0,0.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.2,17817,22396,18365,14554,26822,30460,26430
2,75,4,13,319103,4013319103,3191.03,Census Tract 3191.03,G5020,S,957248,0,33.418997,-111.9161745,140,92354,319103,Census Tract 3191.03,4504,2513,226,144,959,11,455,196,978,2070,4110,2397,2093,304,0.36951959,15966.3752619,1377686.84375,5835.13434052,22.6,9.4,0.0,26.8,7.2,9.9,15.2,6.4,14.6,13.0,0.0,15.1,16.0,4.8,9.5,19.2,14.9,46.4,50.2,7.9,18.7,13.5,19.4,18.8,1.5,0.0,0.0,0.9,3.9,2.9,5.7,4.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.8,27488,36440,37090,25721,33643,36477,31634
3,146,4,13,319300,4013319300,3193.0,Census Tract 3193,G5020,S,1093175,0,33.417039,-111.8867329,140,92371,319300,Census Tract 3193,2420,1508,131,97,117,11,459,97,984,1081,1977,1080,1005,75,0.42199099,17170.5505372,1573247.19140625,6280.80525927,24.4,4.7,0.0,36.8,3.2,0.0,0.0,5.2,22.3,34.6,37.5,14.6,15.8,22.1,22.0,12.6,11.9,16.0,12.5,11.7,10.6,4.2,2.7,12.3,7.0,6.4,8.8,6.6,4.6,12.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000,27604,30167,16866,33337,41896,26749
4,773,4,13,318501,4013318501,3185.01,Census Tract 3185.01,G5020,S,1256246,0,33.4552284,-111.9346294,140,92329,318501,Census Tract 3185.01,3200,2628,81,59,123,20,180,109,668,2177,2623,1594,1517,77,0.48494035,18174.0468923,1809508.8125,6648.91346437,9.3,1.9,0.0,14.9,7.0,0.8,1.5,11.2,14.4,20.3,6.9,10.5,10.3,14.3,16.9,8.1,12.6,14.9,12.3,11.1,19.9,21.9,26.8,18.2,8.0,14.8,20.8,3.0,8.7,8.0,8.7,8.9,4.6,2.8,5.4,5.8,5.2,0.3,0.6,8.4,43696,44224,56959,42652,60068,55760,62310
5,74,4,13,319104,4013319104,3191.04,Census Tract 3191.04,G5020,S,1287870,0,33.4111439,-111.9176864,140,92358,319104,Census Tract 3191.04,5102,3070,377,244,636,14,537,224,1133,2607,4496,3052,2649,403,0.49714735,15774.037859,1853193.93359375,5763.56092361,24.9,9.8,11.3,31.9,6.7,9.5,10.0,5.4,17.1,13.0,14.3,19.0,11.7,12.6,11.5,11.3,11.5,19.5,14.3,11.9,12.5,17.1,16.0,9.5,7.0,5.8,11.7,5.1,6.7,10.5,10.9,4.3,0.7,2.2,0.0,0.0,1.1,0.0,0.0,1.6,25655,40344,36776,21520,38156,46680,32805
6,25,4,13,319202,4013319202,3192.02,Census Tract 3192.02,G5020,S,1325010,0,33.4111316,-111.9002656,140,92368,319202,Census Tract 3192.02,3232,2147,260,132,101,8,443,141,1128,1549,2634,2326,1726,600,0.51148492,16089.5842679,1906637.234375,5878.71388465,27.6,11.7,10.6,32.7,4.3,5.4,0.0,3.9,13.5,9.4,0.0,15.4,13.0,10.2,0.0,13.9,17.2,17.3,27.3,17.2,12.3,17.9,25.7,10.9,8.5,18.3,29.0,5.3,2.7,7.7,3.3,0.1,1.0,2.1,4.1,0.6,0.0,0.0,0.0,0.0,28961,43643,71250,21783,34684,53444,27940
7,73,4,13,319201,4013319201,3192.01,Census Tract 3192.01,G5020,S,1324914,0,33.4184286,-111.9002492,140,92363,319201,Census Tract 3192.01,5305,3142,365,189,265,16,1071,257,2217,2149,4104,2920,2131,789,0.51144888,16009.5972515,1906820.26953125,5849.92904374,16.3,13.3,0.0,19.0,9.2,15.6,13.3,8.3,15.7,24.1,12.7,17.1,11.7,21.0,16.7,5.7,19.1,8.8,9.9,19.2,8.4,3.6,11.7,11.7,14.6,9.2,26.2,13.5,3.1,4.4,9.6,3.6,0.9,0.0,0.0,0.0,1.0,0.0,0.0,1.9,31907,19630,41875,34853,43035,32064,45165
8,23,4,13,319706,4013319706,3197.06,Census Tract 3197.06,G5020,S,1339601,33096,33.3821331,-111.9533755,140,92410,319706,Census Tract 3197.06,4946,2743,341,188,274,23,1190,187,2221,1863,3669,2227,1972,255,0.52989343,16832.428162,1973946.9453125,6148.98505861,6.4,6.5,1.4,6.3,3.7,5.5,6.7,1.8,13.1,1.5,1.7,25.0,9.1,13.8,20.5,4.2,13.5,13.4,13.1,14.6,28.3,26.3,22.0,30.2,13.6,18.5,12.6,7.6,9.2,8.9,12.0,9.5,2.6,4.4,7.9,0.8,0.6,1.2,2.1,0.0,52725,57109,56382,48173,58162,65650,50033
9,506,4,13,320007,4013320007,3200.07,Census Tract 3200.07,G5020,S,2045955,0,33.3716756,-111.9529649,140,92461,320007,Census Tract 3200.07,6674,3932,653,365,306,56,1022,340,2189,3000,5330,3195,2889,306,0.78978564,19683.0912545,2941397.66796875,7194.71031545,9.4,4.9,0.0,13.5,2.9,5.9,4.5,0.7,7.0,3.7,0.0,11.0,10.9,10.3,0.0,14.5,17.9,16.1,19.1,18.5,28.2,36.8,42.9,21.6,15.6,16.9,20.5,9.8,4.8,3.1,7.3,6.3,2.7,1.2,2.8,4.0,0.6,1.2,3.0,0.0,50692,53642,63941,45000,54008,55928,49494
10,137,4,13,319404,4013319404,3194.04,Census Tract 3194.04,G5020,S,2045938,0,33.3933394,-111.8868062,140,92387,319404,Census Tract 3194.04,3333,2875,75,65,76,10,146,86,429,2657,2931,1671,1496,175,0.7897772,23103.277236,2942818.8359375,8456.88331588,1.7,2.5,2.2,1.0,0.5,0.0,0.0,1.0,10.5,0.9,0.0,19.5,5.6,4.9,4.8,6.3,13.8,7.6,8.3,19.7,23.9,30.6,26.4,17.7,17.5,17.4,17.7,19.8,15.5,24.8,26.5,4.6,7.3,8.6,10.8,6.0,3.6,2.7,3.3,4.5,68125,78833,88125,51667,80823,91343,69567
11,829,4,13,318700,4013318700,3187.0,Census Tract 3187,G5020,S,2411593,0,33.4287353,-111.9349179,140,92333,318700,Census Tract 3187,2675,2018,189,48,130,4,154,132,463,1763,2642,359,251,108,0.93093075,20882.2449244,3471579.6875,7636.99758277,35.0,19.8,6.0,39.4,4.7,4.5,0.0,4.7,5.3,0.0,0.0,6.9,3.0,0.0,0.0,3.9,4.6,7.3,3.0,3.8,17.1,5.6,7.5,20.5,8.1,4.0,5.3,9.3,9.0,20.3,27.1,5.7,1.8,4.5,6.0,1.0,11.3,33.9,45.1,4.7,43929,125625,190179,21920,75069,164815,48939
