OBJECTID,NAMELSAD,Households_Total,Households_Total_Less_than__10_,Households_Total__10_000_to__14,Households_Total__15_000_to__24,Households_Total__25_000_to__34,Households_Total__35_000_to__49,Households_Total__50_000_to__74,Households_Total__75_000_to__99,Households_Total__100_000_to__1,Households_Total__150_000_to__1,Households_Total__200_000_or_mo,Households_Median_income__dolla,Households_Mean_income__dollars,Families_Total,Families_Total_Less_than__10_00,Families_Total__10_000_to__14_9,Families_Total__15_000_to__24_9,Families_Total__25_000_to__34_9,Families_Total__35_000_to__49_9,Families_Total__50_000_to__74_9,Families_Total__75_000_to__99_9,Families_Total__100_000_to__149,Families_Total__150_000_to__199,Families_Total__200_000_or_more,Families_Median_income__dollars,Families_Mean_income__dollars_,Marriedcouple_families_Total,Marriedcouple_families_Total_Le,Marriedcouple_families_Total__1,Marriedcouple_families_Total__2,Marriedcouple_families_Total__3,Marriedcouple_families_Total__4,Marriedcouple_families_Total__5,Marriedcouple_families_Total__7,Marriedcouple_families_Total__6,Marriedcouple_families_Total__8,Marriedcouple_families_Total__9,Marriedcouple_families_Median_i,Nonfamily_households_Total,Nonfamily_households_Total_Less,Nonfamily_households_Total__10_,Nonfamily_households_Total__15_,Nonfamily_households_Total__25_,Nonfamily_households_Total__35_,Nonfamily_households_Total__50_,Nonfamily_households_Total__75_,Nonfamily_households_Total__100,Nonfamily_households_Total__150,Nonfamily_households_Total__200,Nonfamily_households_Median_inc,Nonfamily_households_Mean_incom,City,Shape__Length_1,Shape__Area_1,Shape__Area,Shape__Length
1,Census Tract 8100,1261.0,0.8,2.4,5.2,5.4,5.3,10.5,5.2,25.9,26.8,12.5,119340.0,128998.0,822.0,0.0,1.0,5.7,7.4,3.4,3.2,1.3,30.0,30.8,17.2,144224.0,145961.0,696.0,0.0,1.1,1.3,4.2,1.4,3.7,1.6,33.8,32.6,20.3,155118.0,439.0,2.3,5.0,4.1,1.6,13.0,24.4,12.3,21.0,12.5,3.9,74531.0,90493.0,Tempe,,,29927931.9466553,27935.8476574031
2,Census Tract 8101,2175.0,0.0,0.0,2.9,0.0,4.0,6.9,15.3,27.4,13.9,29.4,141359.0,180092.0,1819.0,0.0,0.0,0.6,0.0,3.9,7.9,13.2,26.4,16.6,31.4,145598.0,186013.0,1520.0,0.0,0.0,0.7,0.0,3.5,6.5,13.9,22.6,17.7,35.1,163864.0,356.0,0.0,0.0,14.9,0.0,4.8,4.2,26.1,30.9,4.8,14.3,103750.0,137694.0,Tempe,,,55493834.5514526,41937.6501215206
3,Census Tract 8103,2573.0,2.1,4.6,2.1,0.8,13.3,24.8,19.3,22.6,6.3,4.1,77875.0,90171.0,1580.0,3.5,0.0,2.6,0.0,8.8,17.4,23.0,29.9,8.2,6.6,93571.0,104978.0,1124.0,0.0,0.0,3.6,0.0,1.7,17.2,20.9,36.8,11.6,8.2,109333.0,993.0,0.0,11.9,1.4,2.0,20.5,41.9,9.6,11.1,1.6,0.0,60568.0,63453.0,Chandler,,,27595092.6945801,21171.9569646148
4,Census Tract 8104,2112.0,1.8,1.4,4.7,2.9,15.0,13.7,15.0,18.0,14.4,13.1,96250.0,118176.0,1361.0,0.7,0.4,5.6,0.0,13.1,10.1,8.2,22.9,21.4,17.6,137604.0,137478.0,1114.0,0.0,0.0,2.4,0.0,8.6,10.5,8.3,24.1,24.6,21.4,145870.0,751.0,4.9,3.2,2.0,8.1,25.3,20.9,21.2,7.7,3.5,3.2,53547.0,77122.0,Chandler,,,58446007.3277588,37438.7513553466
5,Census Tract 8105,2000.0,1.4,4.8,3.3,10.7,1.7,23.5,7.8,24.3,3.5,19.1,90800.0,115475.0,1331.0,1.0,4.3,0.5,13.0,0.0,15.5,11.3,23.0,6.4,25.1,101836.0,134355.0,1069.0,0.0,0.0,0.6,16.2,0.0,16.1,14.1,13.8,8.0,31.2,118125.0,669.0,2.2,5.8,9.0,6.1,4.9,39.5,0.7,28.4,0.0,3.3,62188.0,70764.0,Chandler,,,31551125.9501953,23795.5790532326
6,Census Tract 8106,2729.0,1.3,2.1,1.1,5.3,5.2,12.8,13.2,32.1,13.1,13.8,106397.0,128834.0,2051.0,1.8,1.0,0.0,5.5,3.9,8.5,12.7,37.4,12.7,16.5,115275.0,140329.0,1588.0,1.1,1.3,0.0,2.3,1.2,8.8,10.7,38.0,15.2,21.3,126318.0,678.0,0.0,5.3,4.4,4.7,11.8,26.5,11.2,23.6,6.9,5.5,73681.0,89760.0,Chandler,,,38331250.6889038,26516.1748299071
7,Census Tract 3197.10,987.0,18.1,2.0,2.1,5.6,8.1,18.4,15.8,20.9,3.2,5.7,72636.0,83989.0,366.0,19.7,0.0,2.5,3.6,5.2,15.8,19.9,29.5,1.4,2.5,78700.0,75596.0,238.0,0.0,0.0,2.1,5.5,3.4,11.8,30.7,40.8,2.1,3.8,96447.0,621.0,17.2,3.2,1.9,6.8,9.8,24.5,13.4,13.5,2.1,7.6,61875.0,84870.0,Tempe,,,65506564.1577148,42080.1897892385
8,Census Tract 1167.38,2700.0,1.0,0.9,4.8,4.3,17.6,14.7,15.5,25.9,1.9,13.5,79599.0,105191.0,1807.0,1.8,0.0,5.3,3.0,10.0,13.5,16.5,29.4,2.8,17.7,99479.0,116770.0,1266.0,0.0,0.0,3.9,0.0,0.0,14.5,23.6,30.6,4.0,23.5,140129.0,893.0,2.9,2.8,0.0,8.6,33.4,22.4,12.9,12.0,0.0,5.0,52135.0,74920.0,Phoenix,,,57145345.6504517,56220.6321628928
9,Census Tract 3197.08,1909.0,1.3,1.5,7.4,13.8,15.3,27.1,20.5,9.1,2.9,1.0,57357.0,64616.0,974.0,0.0,0.0,1.3,8.8,9.7,31.9,30.6,10.0,5.7,2.0,74315.0,79875.0,619.0,0.0,0.0,0.0,4.7,12.6,27.3,36.7,13.7,5.0,0.0,83750.0,935.0,2.7,3.0,13.7,18.9,21.3,29.9,3.9,6.6,0.0,0.0,44489.0,46633.0,Tempe,,,21917801.8861694,22911.3870046425
10,Census Tract 4222.27,645.0,1.7,1.7,4.3,15.0,6.4,23.9,11.2,19.1,15.7,1.1,73682.0,85434.0,438.0,1.1,0.9,3.2,21.7,3.0,17.8,11.6,19.2,19.9,1.6,85000.0,88427.0,292.0,0.0,1.4,0.0,24.7,1.7,18.5,13.4,26.4,11.6,2.4,92857.0,207.0,2.9,3.4,13.5,12.1,13.5,18.8,11.6,17.4,6.8,0.0,53438.0,69109.0,Mesa,,,12828212.6981812,15370.1627395272
