OBJECTID,Year,Dataset,DataTable,Tracts_TempeTracts_TRACTCE,Tracts_TempeTracts_GEOID,Tracts_TempeTracts_NAME,Tracts_TempeTracts_NAMELSAD,Tracts_pdb2018trv4_us_csv_Low_R,InternetAccess_Estimate__Total_,InternetAccess_Margin_of_Error_,InternetAccess_Estimate__Total1,InternetAccess_Margin_of_Error1,InternetAccess_Estimate__Tota_1,InternetAccess_Margin_of_Erro_1,InternetAccess_Estimate__Tota_2,InternetAccess_Margin_of_Erro_2,InternetAccess_Estimate__Tota_3,InternetAccess_Margin_of_Erro_3,InternetAccess_Estimate__Tota_4,InternetAccess_Margin_of_Erro_4,InternetAccess_Estimate__Tota_5,InternetAccess_Margin_of_Erro_5,InternetAccess_Percent_No_Inter,InternetAccess_Estimate__Tota_6,InternetAccess_Margin_of_Erro_6,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
1,2017,2013-2017 ACS 5 Year Estimate,BD28011,318800,4013318800,3188.0,Census Tract 3188,32.6,3219,219,2721,224,13,22,2310,219,39,48,54,61,157,98,10.6,341,139,27707062.6697388,21462.8673889815,27707062.6697388,21462.8673889815
2,2017,2013-2017 ACS 5 Year Estimate,BD28011,319101,4013319101,3191.01,Census Tract 3191.01,40.8,1295,90,902,122,0,12,747,126,27,35,55,50,171,72,17.1,222,97,3558325.43475342,8618.28337256008,3558325.43475342,8618.28337256008
3,2017,2013-2017 ACS 5 Year Estimate,BD28011,318900,4013318900,3189.0,Census Tract 3189,27.4,2698,184,2107,271,15,26,1871,273,59,52,0,17,145,135,16.5,446,181,27863090.8049927,21120.8787453139,27863090.8049927,21120.8787453139
4,2017,2013-2017 ACS 5 Year Estimate,BD28011,319000,4013319000,3190.0,Census Tract 3190,30.1,879,87,814,83,0,17,741,81,24,20,14,17,51,30,1.6,14,17,27859412.9555054,21103.0977284919,27859412.9555054,21103.0977284919
5,2017,2013-2017 ACS 5 Year Estimate,BD28011,319403,4013319403,3194.03,Census Tract 3194.03,24.9,1890,106,1460,124,6,10,1337,125,71,59,30,38,115,75,16.7,315,113,28695695.3497925,21428.1556467287,28695695.3497925,21428.1556467287
6,2017,2013-2017 ACS 5 Year Estimate,BD28011,319703,4013319703,3197.03,Census Tract 3197.03,23.2,1920,148,1555,184,0,12,1377,190,182,82,147,102,153,106,11.0,212,91,29539909.9346313,22703.9291163637,29539909.9346313,22703.9291163637
7,2017,2013-2017 ACS 5 Year Estimate,BD28011,319404,4013319404,3194.04,Census Tract 3194.04,19.2,1582,110,1281,118,29,30,1155,131,80,45,32,36,55,38,15.5,246,93,22038739.3950195,23395.4902950338,22038739.3950195,23395.4902950338
8,2017,2013-2017 ACS 5 Year Estimate,BD28011,319500,4013319500,3195.0,Census Tract 3195,27.0,2344,140,2058,192,0,17,1796,195,67,64,0,17,60,68,9.6,226,141,27725041.6586914,21070.4257411926,27725041.6586914,21070.4257411926
9,2017,2013-2017 ACS 5 Year Estimate,BD28011,319704,4013319704,3197.04,Census Tract 3197.04,28.9,727,87,617,92,0,12,545,96,12,12,5,8,15,14,13.1,95,49,84701642.7112427,42940.1169439526,84701642.7112427,42940.1169439526
10,2017,2013-2017 ACS 5 Year Estimate,BD28011,319600,4013319600,3196.0,Census Tract 3196,24.6,2426,135,2188,185,15,26,2081,198,121,95,0,17,92,97,6.0,146,90,27748950.1687622,21080.1727132346,27748950.1687622,21080.1727132346
