OBJECTID,YEAR,LINE861330,FRAME861330,MODEL861330,CAN_NBR861330,FLGTDATE861330,SCALE861330,PRINTSAVAIL,SHAPEAREA,SHAPELEN
1,1986,89,7,89007,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37982631.0785086,25279.6627319165
2,1986,104,1,104001,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,147142095.5801,48405.3730060218
3,1986,103,4,103004,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37786086.5550672,25832.213971978
4,1986,102,8,102008,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41042878.8862398,26345.5082295729
5,1986,101,25,101025,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44440973.7729172,27272.0059066624
6,1986,100,1,100001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,138467232.938448,46986.4227913402
7,1986,99,30,99030,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44680332.1136899,27622.3104924383
8,1986,98,1,98001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,108926490.875065,42071.372099174
9,1986,97,30,97030,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40891056.8980055,26406.0375296665
10,1986,96,1,96001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,99746959.3071813,40439.8790359583
11,1986,95,29,95029,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42436687.1395531,26645.8149811932
12,1986,94,1,94001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,106689841.026215,41407.8412140063
13,1986,93,27,93027,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42539901.6877367,26642.4733649775
14,1986,92,26,92026,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,46289150.1152149,28245.9474794433
15,1986,91,13,91013,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38883501.150032,25427.1297271319
16,1986,90,11,90011,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40845304.2382297,26691.3983743047
17,1986,88,4,88004,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42110473.8250211,27345.6666797019
18,1986,104,4,104004,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,55725482.0529719,33200.3915823546
19,1986,104,3,104003,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,62443693.1645305,34282.7438219479
20,1986,104,2,104002,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,60524469.1572039,33971.4222760888
21,1986,103,1,103001,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,139325482.213494,48445.976230715
22,1986,103,2,103002,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41644018.7217648,26607.2725262236
23,1986,103,3,103003,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45483704.6034117,27596.6261552492
24,1986,103,5,103005,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37634917.4046891,25753.8751574496
25,1986,102,1,102001,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,146173301.490237,48545.4399315462
26,1986,102,2,102002,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,54993761.1610149,33051.1948979109
27,1986,102,3,102003,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,61778205.2183422,34136.158702266
28,1986,102,4,102004,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,57246851.3645836,34646.8833727705
29,1986,102,5,102005,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45828827.3689313,27698.9398138527
30,1986,102,6,102006,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45294034.671575,27507.4223928124
31,1986,102,7,102007,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43951965.0877836,27121.8287359001
32,1986,102,9,102009,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40710479.8836266,26204.090379041
33,1986,101,1,101001,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,140570092.219941,47326.4593719203
34,1986,101,2,101002,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,56621929.418375,33077.0953386232
35,1986,101,3,101003,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,54576829.7257828,32754.1222614578
36,1986,101,4,101004,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,56690494.4023523,33142.9568211473
37,1986,101,5,101005,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,56910551.5520719,33207.9209064281
