OBJECTID,LINE86330,FRAME86330,YEAR,MODEL86330,SCALE86330,CAN_NBR86330,FLGTDATE86330,PRINTSAVAIL,SHAPEAREA,SHAPELEN
1,53,26,1986,53026,1 in.=330 ft.,9,1986/03/28 00:00:00+00,NO,3492747.99229844,8252.96160787943
2,1,1,1986,1001,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,6343023.08117109,10193.5086346078
3,2,7,1986,2007,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,2798372.276825,6938.39970603454
4,3,1,1986,3001,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,6454061.56576562,10255.7853532464
5,4,1,1986,4001,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,6400813.58713828,10223.976929029
6,5,16,1986,5016,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,3272287.11611484,8645.57682880522
7,6,1,1986,6001,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,6836785.16887031,10562.7280050366
8,7,19,1986,7019,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,2702750.24502734,6690.8691476511
9,8,1,1986,8001,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,9143890.48937031,12104.3674765811
10,9,1,1986,9001,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,6544817.15464453,11750.8608431048
11,10,18,1986,10018,1 in.=330 ft.,1,1986/03/21 00:00:00+00,NO,2320660.23645156,6351.7478619385
12,11,1,1986,11001,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,6343740.68856406,10221.4575486797
13,12,1,1986,12001,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,5729030.01734609,9803.70249879688
14,13,1,1986,13001,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,6510081.30473516,10278.0821226182
15,14,1,1986,14001,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,6952354.2638586,10601.2314818011
16,15,34,1986,15034,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,2998957.052675,7235.41041154276
17,16,38,1986,16038,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,2290949.45270938,6161.95231145448
18,17,29,1986,17029,1 in.=330 ft.,2,1986/03/21 00:00:00+00,NO,2687279.58774141,6947.40699227535
