COUNTY1_00,COUNTY2_00,DIR_FLY,FRAME,MODEL00,OBJECTID,LINE00,SEQUENCE00,YEAR,CAN_NBR00,FLGTDATE00,SCALE00,PRINTSAVAIL,SHAPEAREA,SHAPELEN
Oldham, ,E-W,01&02,001001,1,001,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324576.27960156,12662.2628076693
Oldham, ,E-W,01&02,002001,2,002,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324494.31280235,12662.2077208086
Oldham, ,E-W,01&02,003001,3,003,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324407.33645703,12662.1501289941
Oldham, ,E-W,01&02,004001,4,004,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324279.98005469,12662.0650475896
Oldham, ,E-W,01&02,005001,5,005,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324131.48104063,12661.9699104474
Oldham, ,E-W,01&02,006001,6,006,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324014.93094531,12661.8923090528
Jefferson, ,W-E,01&02,016001,7,016,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324066.52717344,12661.966354106
Oldham, ,W-E,01&02,008001,8,008,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323813.87881875,12661.7583442005
Oldham, ,W-E,01&02,009001,9,009,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323732.31052187,12661.7044908555
Oldham, ,W-E,01&02,010001,10,010,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323607.82455938,12661.6218752121
Oldham, ,W-E,01&02,011001,11,011,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323484.38486875,12661.5392598208
Oldham, ,W-E,01&02,012001,12,012,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323399.88934375,12661.4828971356
Oldham, ,W-E,01&02,007001,13,007,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323933.35692891,12661.838455291
Oldham, ,W-E,01&02,013001,14,013,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323275.39508125,12661.4002722693
Oldham, ,W-E,01&02,014001,15,014,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323480.30937344,12661.5752220307
Oldham, ,W-E,01&02,015001,16,015,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323927.53887187,12661.8739340157
Jefferson, ,E-W,01&02,018001,17,018,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323958.12316562,12661.894878233
Jefferson, ,E-W,01&02,019001,18,019,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324399.15212891,12662.2733041042
Jefferson, ,W-E,01&02,020001,19,020,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324577.02474609,12662.4268500453
Jefferson, ,W-E,01&02,021001,20,021,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324579.12623125,12662.4304800154
Jefferson, ,E-W,01&02,022001,21,022,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324583.73112422,12662.4353627253
Jefferson, ,E-W,01&02,017001,22,017,1,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323747.77620391,12661.7161707152
Jefferson, ,W-E,01&02,023001,23,023,1,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324589.38736406,12662.4402505857
Jefferson, ,W-E,01&02,026001,24,026,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324713.37635234,12662.5324108355
Jefferson, ,W-E,01&02,027001,25,027,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324720.48071406,12662.5385425381
Jefferson, ,W-E,01&02,028001,26,028,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324783.20200313,12662.5834365039
Jefferson, ,W-E,01&02,029001,27,029,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324791.77455938,12662.5908259748
Jefferson, ,E-W,01&02,024001,28,024,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324648.55281875,12662.4838862364
Jefferson, ,E-W,01&02,025001,29,025,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324703.35297344,12662.5237745948
Jefferson, ,E-W,01&02,030001,30,030,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324801.79406406,12662.5994585332
Jefferson, ,E-W,01&02,031001,31,031,1,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324811.81959531,12662.6080961591
Jefferson, ,E-W,01&02,032001,32,032,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325025.95517813,12662.760510022
