OBJECTID,X,Y,CELL_A,KEYID,HEAT_DEATH,WS_B_APAVG,WS_B_APMIN,WS_B_APMAX,BASE_UHI,CC_FST_DEC,CC_FST_CON,CC_FST_MIX,CC_GRASS,CC_SHRUB,CC_PASTURE,CC_CROP,CC_BARREN,CC_IPV_RS,CC_IPV_NRS,CC_IPV_ST,CC_IPV_OTH,CC_IPV_AP,CC_IPV_WLW,CC_IPV_WL,CC_IPV_WTR,CM_FST_DEC,CM_FST_CON,CM_FST_MIX,CM_GRASS,CM_SHRUB,CM_PASTURE,CM_CROP,CM_BARREN,CM_IPV_RS,CM_IPV_NRS,CM_IPV_ST,CM_IPV_OTH,CM_IPV_AP,CM_IPV_WLW,CM_IPV_WL,CM_IPV_WTR,CS_FST_DEC,CS_FST_CON,CS_FST_MIX,CS_GRASS,CS_SHRUB,CS_PASTURE,CS_CROP,CS_BARREN,CS_IPV_RS,CS_IPV_NRS,CS_IPV_ST,CS_IPV_OTH,CS_IPV_AP,CS_IPV_WLW,CS_IPV_WL,CS_IPV_WTR,EE_FST_DEC,EE_FST_CON,EE_FST_MIX,EE_GRASS,EE_SHRUB,EE_PASTURE,EE_CROP,EE_BARREN,EE_IPV_RS,EE_IPV_NRS,EE_IPV_ST,EE_IPV_OTH,EE_IPV_AP,EE_IPV_WLW,EE_IPV_WL,EE_IPV_WTR,GN_FST_DEC,GN_FST_CON,GN_FST_MIX,GN_GRASS,GN_SHRUB,GN_PASTURE,GN_CROP,GN_BARREN,GN_IPV_RS,GN_IPV_NRS,GN_IPV_ST,GN_IPV_OTH,GN_IPV_AP,GN_IPV_WLW,GN_IPV_WL,GN_IPV_WTR,AV_COOL,AV_GREEN,AV_WASTE,AV_ALL,SHAPEAREA,SHAPELEN
1,963120,-162480,230400,412,0.012036,75.995,63.444,88.042,0.0059532,0.4041,0.0,0.0,0.3551,0.0,0.1206,0.0,0.0627,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,0.0,0.4041,0.0,0.0,0.3551,0.0,0.1206,0.0,0.0627,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,0.0,0.4041,0.0,0.0,0.4053,0.0,0.1206,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,0.0,0.4041,0.0,0.0,0.3551,0.0,0.1206,0.0,0.0627,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,0.0,0.4041,0.0,0.0,0.4053,0.0,0.1206,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,0.0,-0.000104,9e-05,-5e-05,0.00012,2506381.77905938,6332.62255822636
2,963600,-162480,230400,413,0.000112,75.991,63.368,88.15,5.68e-05,0.4411,0.0,0.0,0.218,0.0,0.0535,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.2485,0.0,0.0,0.4411,0.0,0.0,0.218,0.0,0.0535,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.2485,0.0,0.0,0.4411,0.0,0.0,0.2492,0.0,0.0535,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.2485,0.0,0.0,0.4411,0.0,0.0,0.218,0.0,0.0535,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.2485,0.0,0.0,0.4411,0.0,0.0,0.2492,0.0,0.0535,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.2485,0.0,0.0,0.0,0.0,0.0,0.0,2506380.09574687,6332.62043169787
3,964080,-162480,230400,414,8.1e-05,76.041,63.602,88.104,4.15e-05,0.6555,0.0,0.0,0.0416,0.0,0.1333,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0993,0.6555,0.0,0.0,0.0416,0.0,0.1333,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0993,0.6555,0.0,0.0,0.0448,0.0,0.1333,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0993,0.6555,0.0,0.0,0.0416,0.0,0.1333,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0993,0.6555,0.0,0.0,0.0448,0.0,0.1333,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0993,0.0,0.0,0.0,0.0,2506379.80660391,6332.62006642343
4,963120,-162000,230400,612,0.004389,78.06,69.247,86.403,0.0019807,0.2005,0.0,0.0,0.0919,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.6153,0.2005,0.0,0.0,0.0919,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.6153,0.2005,0.0,0.0,0.105,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.6153,0.2005,0.0,0.0,0.0919,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.6153,0.2005,0.0,0.0,0.105,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.6153,-5.6e-05,-2e-05,-1e-05,-5e-05,2506385.69819609,6332.62750926856
5,963600,-162000,230400,613,0.002889,77.806,68.652,86.353,0.00124202,0.2823,0.0,0.0,0.15,0.0,0.0096,0.0,0.0266,0.0,0.0,0.0189,0.0,0.0,0.1769,0.0,0.3357,0.2823,0.0,0.0,0.15,0.0,0.0096,0.0,0.0266,0.0,0.0,0.0189,0.0,0.0,0.1769,0.0,0.3357,0.2844,0.0,0.0,0.1713,0.0,0.0096,0.0,0.0053,0.0,0.0,0.0168,0.0,0.0,0.1769,0.0,0.3357,0.2823,0.0,0.0,0.15,0.0,0.0096,0.0,0.0266,0.0,0.0,0.0189,0.0,0.0,0.1769,0.0,0.3357,0.2844,0.0,0.0,0.1713,0.0,0.0096,0.0,0.0053,0.0,0.0,0.0168,0.0,0.0,0.1769,0.0,0.3357,-4e-05,0.0,0.0,-3e-05,2506384.01488203,6332.62538273976
6,965520,-161520,230400,817,0.001285,76.52,65.477,87.188,0.00071852,0.9451,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0,0.9451,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0,0.9451,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0,0.9451,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0,0.9451,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0,-1e-06,0.0,1e-05,0.0,2506387.619125,6332.62993597546
7,965520,-161040,230400,1017,0.000288,76.57,65.44,87.585,0.00016378,0.3792,0.0,0.0,0.0,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0168,0.0,0.3792,0.0,0.0,0.0,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0168,0.0,0.3792,0.0,0.0,0.0,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0168,0.0,0.3792,0.0,0.0,0.0,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0168,0.0,0.3792,0.0,0.0,0.0,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0168,0.0,-3e-06,0.0,0.0,0.0,2506391.53826406,6332.63488701386
8,964560,-159120,230400,1815,0.001056,76.499,65.597,87.817,0.00055793,0.0562,0.0,0.0,0.0,0.0,0.0,0.8245,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0308,0.0657,0.0562,0.0,0.0,0.0,0.0,0.0,0.8245,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0308,0.0657,0.0562,0.0,0.0,0.0,0.0,0.0,0.8245,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0308,0.0657,0.0562,0.0,0.0,0.0,0.0,0.0,0.8245,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0308,0.0657,0.0562,0.0,0.0,0.0,0.0,0.0,0.8245,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0308,0.0657,-7e-06,-1e-05,0.0,0.0,2506408.89816641,6332.65681769261
9,966960,-159120,230400,1820,0.006109,76.183,63.996,88.005,0.00332554,0.4229,0.0,0.0,0.0,0.0,0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.0,0.0,0.4229,0.0,0.0,0.0,0.0,0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.0,0.0,0.4229,0.0,0.0,0.0,0.0,0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.0,0.0,0.4229,0.0,0.0,0.0,0.0,0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.0,0.0,0.4229,0.0,0.0,0.0,0.0,0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.0,0.0,-9.4e-05,-0.00013,-3e-05,-7e-05,2506405.78209375,6332.65288117963
10,968400,-158160,230400,2223,0.003465,76.225,64.737,87.504,0.0018674,0.6089,0.0,0.0,0.0603,0.0,0.32,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089,0.0,0.0,0.0603,0.0,0.32,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089,0.0,0.0,0.069,0.0,0.32,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089,0.0,0.0,0.0603,0.0,0.32,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089,0.0,0.0,0.069,0.0,0.32,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4e-05,-1e-05,2e-05,-0.0001,2506412.47680234,6332.66133855624
