OBJECTID,Shape_Length,PRECINCT,Shape_Area
1,62207.3226296281,A122,82950376.5374051
2,96980.8795924156,A130,184582643.15762
3,1993.56860048228,B167,80785.8228252342
4,23081.5291732723,A121,27131463.5534942
5,9436.89909904926,J139,4473006.69379664
6,27647.9195198552,A134,22293146.0528018
7,20863.2955259116,Q133,11993787.0266131
8,15621.5844043473,J138,6995502.62758689
9,79382.7611068732,B125,189674500.005785
10,19788.7226055703,Q128,19766660.635581
11,56731.7126424341,B173,119104982.705311
12,31898.181337803,B131,39285327.3104602
13,54505.0968026874,B177,78018322.3245952
14,36437.6841913817,I135,52572081.9216161
15,22875.8425883666,H145,20039060.2128936
16,19505.9666603514,A135,11205791.7654359
17,23240.3311753139,B119,16267565.5635117
18,18409.4805861409,A139,14170604.4711394
19,39640.6473198762,B180,61843105.8628342
20,22231.1419495083,Q129,21666617.0383444
21,26381.9556180326,B127,8876319.36143219
22,15880.4971130505,A137,13191890.6552167
23,16095.366234172,A119,14476340.1337533
24,22161.3246053669,I126,21431936.2328138
25,49969.9022020782,O134,97740498.1691923
26,17126.6595067982,Q118,16144364.6775458
27,155681.866384848,B143,267661821.118272
28,36407.221667114,H148,34526568.7703862
29,81846.0624918771,I133,64822201.1140281
30,14878.8418934779,A127,12673484.1620441
31,15536.3275021629,A118,9548074.86418468
32,23793.6253626648,J137,20544481.5527136
33,18074.8948427298,A128,16477342.7719751
34,24832.4093978332,O133,27578207.4206283
35,28807.2800752265,Q131,29123712.4778203
36,13920.0264817342,D144,5070582.21351837
37,9734.76419690913,E177,3850105.58708326
38,9186.61499083244,A138,3721273.11545466
39,14686.7708517176,A113,11759081.1247184
40,5424.46710330457,O141,1130120.62592591
41,22066.4139416053,B130,22946504.7047985
42,42168.4593175639,J141,23701065.4757396
43,7246.02719180934,H155,2882798.42606211
44,17513.0598468124,A129,7875083.91073619
45,2149.70776602681,B179,284196.431759239
46,8576.77024407897,H153,4186755.98830422
47,23556.5174483467,I104,15197008.0983286
48,8032.42210755482,I140,1834859.8887135
49,6811.03136315007,J140,2303060.56775418
50,5463.14786192218,Q135,756287.536816611
51,29657.3777950958,O140,19165360.8884763
52,42918.9070974066,B134,75340472.3618873
53,16832.2477649859,A115,13917769.3462336
54,50925.7120267938,J123,43417687.1768133
55,12957.4250205868,I129,8704191.17053829
56,36935.2890933229,Q119,52910858.929218
57,16132.4610290945,Q126,13019441.2001191
58,22532.9149320005,I130,22670084.6041543
59,13249.8977255674,Q115,10004190.7716318
