OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,Shape_Length,Shape_Area
1,O142,44,3,10,C,4,14,A122, ,0,62209.6118056162,82976965.8049999
2,A130,28,3,10,C,5,14, , ,0,97045.1776245768,184587286.21062
3,A121,28,3,10,C,4,14, , ,0,23829.6317083708,27081594.9264967
4,A142,28,3,10,C,5,14,J139p, ,0,9349.4809524433,4432658.80044921
5,I154,37,3,38,B,5,23,Q133, ,0,20863.2955259116,11993787.0266131
6,J138,38,3,37,C,4,25, , ,0,12085.4464262967,5472512.27268789
7,I152,37,3,38,B,5,23,Q128, ,0,19788.7318653152,19766671.6892557
8,B173,29,3,38,B,7,22,B167, ,0,54682.4809094429,107524496.073435
9,I141,37,3,38,B,5,13,B131p, ,0,32491.6916373195,39237912.4363465
10,B177,29,3,14,B,7,20, , ,0,55166.9256871642,78066408.1699548
11,H162,35,3,38,B,5,24,H145p, ,0,17703.0239788731,9902421.84128638
12,A140,28,3,37,C,4,25,B119/J138p, ,0,24375.3300627725,17840929.8956132
13,A139,28,3,10,C,5,25,A129p, ,0,18408.7249702033,14161164.7763822
14,I148,37,3,38,B,7,23,B180, ,0,40013.5813697472,61849183.329444
15,I153,37,3,38,B,7,23,Q129, ,0,22234.6325669563,21665936.3593835
16,I145,37,3,38,B,5,13,B127, ,0,26356.5592288214,8870700.11925053
17,J145,38,3,37,C,4,25,A137,Dry,0,15284.8887529813,13101872.5729239
18,A119,28,3,37,C,4,14, ,pDry,0,16127.7282824749,14470339.4915409
19,O134,44,3,10,C,4,14, , ,0,50008.2170385398,97110527.1503597
20,H148,35,3,38,B,5,24, , ,0,29942.7002089999,30602608.8371344
21,I133,37,3,38,C,5,13, , ,0,81147.3086768285,65646252.3993629
22,A127,28,3,37,C,4,25, , ,0,14253.5862104187,11943795.2244734
23,J137,38,3,37,C,4,25, ,pDry,0,23949.3573586273,20201908.0847349
24,A128,28,3,37,C,4,25,A126p/A127p, ,0,20339.2817669534,20629670.4083336
25,Q131,46,3,38,B,5,24, , ,0,22737.6268168251,14325250.2185501
