OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,SHAPEAREA,SHAPELEN
1,I168,37,3,10,C,4,14,, ,0,81605215.741232,61017.2147960591
2,A121,28,3,33,C,4,14, , ,0,27081714.0930328,23829.5132942235
3,A142,28,3,33,C,4,25,A143, ,0,4736394.21005313,10931.2968935863
4,I154,37,3,38,B,5,23, , ,0,11993786.8434492,20863.2957788078
5,J138,38,3,33,C,4,25, , ,0,5472512.70645859,12085.4471267401
6,I152,37,3,38,B,5,23, , ,0,19766671.4787086,19788.7311807521
7,B173,29,3,38,B,7,22, , ,0,99382224.8034195,60843.8766318362
8,I141,37,3,38,B,5,13, , ,0,39252941.7212141,32596.9615649813
9,B177,29,2,38,B,7,22, , ,0,65526353.6567945,47282.5956139508
10,J159,38,3,33,C,4,25,, ,0,17839731.9936391,24384.0767320846
11,A139,28,3,33,C,4,25, , ,0,14133989.2911828,19924.7740078543
12,I153,37,3,38,B,7,23, , ,0,21665936.8235086,22234.6322440437
13,I145,37,3,38,B,5,13,I143, ,0,13132656.5408945,22731.0503484363
14,J145,38,3,37,C,4,25, ,Dry,0,13101872.3352,15284.8897581144
15,A119,28,3,33,C,4,14, ,pDry,0,14470339.3138789,16127.7282413539
16,A153,28,3,33,C,4,14,, ,0,98477151.5710399,51412.161609923
17,I133,37,3,38,C,5,13, , ,0,65836737.7940555,81259.48610743
18,A127,28,3,33,C,4,25, , ,0,11943795.2714852,14253.5865291175
19,J137,38,3,37,C,4,25, ,pDry,0,20201908.5360656,23949.3558603925
20,A128,28,3,37,C,4,12, , ,0,20629670.5470273,20339.2824030258
21,I174,37,3,19,B,5,24,, ,0,14325250.1925398,22737.626450512
22,D163,31,3,26,A,7,11,, ,0,3849386.97773906,9735.480725931
23,A113,28,3,37,C,4,14, , ,0,11759081.1237031,14686.7706134402
24,O141,44,3,33,C,4,14,, ,0,11175585.8131266,14287.9075174603
25,I146,37,3,38,B,5,23, , ,0,22931461.4327797,22171.807003075
26,I165,37,3,38,C,5,13,, ,0,121690846.143611,64595.0238891123
27,H155,35,3,35,B,6,13,, ,0,32608678.1364977,23986.1181157038
28,A129,28,3,33,C,5,14, , ,0,14777920.4269047,28324.9511748886
29,K154,40,3,19,B,5,21,,NV,0,4187585.14335859,8650.55155869235
30,K168,40,3,35,B,5,21,,SM,0,8348271.56025781,14242.9170074441
31,J173,38,3,37,B,5,21,J161,,0,4132849.66019219,10710.7406666129
32,J140,38,3,37,B,5,25, , ,0,2303061.19298438,6811.03036415056
33,B134,29,3,38,B,6,22, , ,0,75513615.2450258,42953.6394830832
34,A115,28,3,37,C,4,14,A155,pDry,0,17639707.8646219,22120.3813408953
35,J153,38,3,35,C,5,13, , ,0,4993945.46848906,10608.9711164307
36,B189,29,3,26,B,6,23,, ,0,37038084.9940898,31199.8901083199
37,I173,37,3,35,B,5,23,, ,0,13019536.2640969,16132.6214319959
38,I130,37,3,35,C,5,13, , ,0,26146504.1826352,27930.4148868845
39,Q115,46,3,19,B,6,23, , ,0,10004190.7318,13249.8978570276
40,B169,29,3,26,B,6,23, , ,0,17686634.8637281,18775.2701990149
41,I172,37,3,35,B,5,23,, ,0,11569565.7059438,16021.5261896076
42,A126,28,3,37,C,4,12, ,Dry,0,14331755.2192758,18168.6141132322
43,A114,28,3,37,C,4,14, , ,0,13363063.1538477,15052.7648861342
44,H144,35,3,35,B,5,24, , ,0,16150924.0214758,16800.8850056372
45,B158,29,2,7,B,7,22, , ,0,23924727.8570742,27090.5377778396
46,H175,35,3,35,B,5,13,H170/H172/H174,SM,0,132625533.275927,46861.7713911114
47,B162,29,2,7,B,7,22, , ,0,56912571.7310117,46113.2387485901
48,B124,29,3,19,B,6,23, , ,0,10722734.8881164,13870.798745776
49,J152,38,3,35,C,5,13, , ,0,37036859.9510195,40963.3966848684
50,Q132,46,3,19,B,6,23,, ,0,23864897.0021734,21683.3995250825
51,Q125,46,3,19,B,6,23, , ,0,17141522.4623047,17258.1726640653
52,H147,35,3,35,B,5,24,H146, ,0,10593010.4581398,14579.1404783847
53,H183,35,3,35,B,5,24,, ,0,16131691.8878109,17096.4417115608
