OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
1,2000/03/31 00:00:00+00,1,582.845721875,289.674036872311
2,2019/10/15 00:00:00+00,1,155.2711453125,167.220734009375
3,2022/04/05 00:00:00+00,3,12772.5465289063,562.814540706441
4,2022/04/05 00:00:00+00,4,7074.4203921875,404.296521532134
5,2022/04/05 00:00:00+00,1,21347.2853445313,551.329369745738
6,2022/04/05 00:00:00+00,4,6391.94994296875,387.576050880101
7,2022/04/05 00:00:00+00,4,3643.7391046875,301.667329450008
8,2022/04/05 00:00:00+00,4,496.44478359375,93.1453643832466
9,2022/04/05 00:00:00+00,4,1311.3333921875,150.146014431193
10,2000/03/31 00:00:00+00,1,20475.75645625,767.531070334668
11,2019/10/15 00:00:00+00,1,7268.0217203125,346.339577870751
12,2022/04/05 00:00:00+00,3,1510144.47438203,93668.3174280419
13,2022/04/05 00:00:00+00,3,730833.85690625,35606.1117683483
14,2022/04/05 00:00:00+00,1,9665.99508046875,448.817792143119
15,2000/03/31 00:00:00+00,1,890.4735375,126.75079411133
16,2000/03/31 00:00:00+00,1,3791.19760625,273.499626856957
17,2022/04/05 00:00:00+00,1,1638.2274,154.838222757337
18,2000/03/31 00:00:00+00,1,1142.8598375,157.82266460877
19,2000/03/31 00:00:00+00,1,73666.7369851563,1696.31172681853
20,2022/04/05 00:00:00+00,3,46548.3484867188,2696.46323615797
21,2000/03/31 00:00:00+00,4,4162.72561328125,428.85348796803
22,2000/03/31 00:00:00+00,4,47678.3581140625,1117.34047625689
23,2000/03/31 00:00:00+00,4,5219.91771796875,276.139710178022
24,2000/03/31 00:00:00+00,4,3268.295325,255.698454414051
25,2009/04/04 00:00:00+00,1,1886.28810078125,180.446729286834
26,2022/04/05 00:00:00+00,1,8697.1849078125,355.642068696418
27,2022/04/05 00:00:00+00,1,8364.3808234375,353.98986877905
28,2022/04/05 00:00:00+00,3,7703.1061,2047.73191209342
29,2017/07/06 00:00:00+00,1,15390.0726390625,522.358322927028
30,2017/07/06 00:00:00+00,4,1440.29329296875,142.146742920014
31,2022/04/05 00:00:00+00,1,246664.342128906,3321.55642437257
32,2022/04/05 00:00:00+00,1,56789.751834375,1153.21903250028
33,2022/04/05 00:00:00+00,1,3241.7320328125,234.876116038409
34,2019/10/15 00:00:00+00,1,8258.05389375,340.483120762051
35,2022/04/05 00:00:00+00,1,590589.476610156,6853.97963955706
36,2022/04/05 00:00:00+00,3,35983.320003125,3431.61202090798
37,2022/04/05 00:00:00+00,3,69770.7582421875,1283.20268551226
38,2019/10/15 00:00:00+00,4,1172.02323203125,183.776976682905
39,2019/10/15 00:00:00+00,4,1477.5973546875,215.168285427811
40,2022/04/05 00:00:00+00,4,2089.29024609375,258.479857825374
41,2019/10/15 00:00:00+00,4,1133.90223515625,124.601599767032
42,2022/04/05 00:00:00+00,4,16001.8852914063,1046.94714073298
43,2022/04/05 00:00:00+00,4,26107.0678648437,1213.94893433441
44,2022/04/05 00:00:00+00,1,1260.0946640625,179.150884242115
45,2022/04/05 00:00:00+00,4,25509.1818257812,1333.09045115458
46,2022/04/05 00:00:00+00,1,25267.17693125,615.164202416218
47,2022/04/05 00:00:00+00,4,61614.7161617188,1395.68439179753
48,2022/04/05 00:00:00+00,4,8643.09353359375,598.793481392584
49,2022/04/05 00:00:00+00,4,45906.8472703125,1361.06516686348
50,2022/04/05 00:00:00+00,1,8535.9173375,357.069784416921
