OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,Shape_Length,Shape_Area
1,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,719.701336799639,26786.2662355961
2,R7,RES MULTI-FAMILY,RESIDENTIAL,524.347896196202,15421.7983861603
3,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1394.76498789623,121207.629647373
4,R5A,RES MULTI-FAMILY,RESIDENTIAL,1831.04789865843,168222.961878106
5,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,895.706713986434,28820.8323455312
6,OR3,OFFICE/RES,OFFICE,1166.01532484354,45196.6534319985
7,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1518.36242180089,6.25859955216418
8,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,4218.90537438046,411954.264596293
9,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,611.854452900348,12500.8821642395
10,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,755.126928156881,32016.9048166228
11,M3,INDUSTRIAL,INDUSTRIAL,12953.8372096823,7160551.40177218
12,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,579.103262275916,11668.6230398761
13,R7,RES MULTI-FAMILY,RESIDENTIAL,2500.08283279804,305356.343924162
14,R4,RES SINGLE FAMILY,RESIDENTIAL,3586.68143887764,329429.489251147
15,R4,RES SINGLE FAMILY,RESIDENTIAL,2169.97072773765,264545.620229637
16,R4,RES SINGLE FAMILY,RESIDENTIAL,3576.8814456987,477712.100100115
17,R2,RES SINGLE FAMILY,RESIDENTIAL,13478.4554593937,2069250.01543079
18,R6,RES MULTI-FAMILY,RESIDENTIAL,2546.16756896055,256955.92674981
19,OR2,OFFICE/RES,OFFICE,936.934393285578,21596.6037699433
20,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,715.107182126591,33093.1148217521
21,R5A,RES MULTI FAMILY,RESIDENTIAL,4667.51759485617,1175184.98384264
