OBJECTID,AREA,PERIMETER,ZONING_,ZONING_ID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Length,Shape_Area
1,171510.885355,6338.24973537,2,928,178,R1,RES SINGLE FAMILY,RESIDENTIAL,6338.25002050809,171510.886322735
2,30624377.8084,40783.6416759,3,1750,178,R1,RES SINGLE FAMILY,RESIDENTIAL,40783.6413204847,30624377.8708247
3,19057075.1362,18866.7898454,4,4138,6,PVD,PLANNED VILLAGE DEV,SPECIAL,18866.789169118,19057074.978778
4,1719021.84564,7235.46407127,5,1751,178,R1,RES SINGLE FAMILY,RESIDENTIAL,7235.46380705196,1719021.79923484
5,112932.495117,1348.03915582,6,939,4,R4,RES SINGLE FAMILY,RESIDENTIAL,1348.03920035978,112932.443808284
6,17704.1095992,547.586649897,7,940,4,R4,RES SINGLE FAMILY,RESIDENTIAL,547.586763898321,17704.1068248963
7,158557.644617,1731.78945659,8,843,178,R1,RES SINGLE FAMILY,RESIDENTIAL,1731.78953733666,158557.609993863
8,301205.2888,2386.35100159,9,943,4,R4,RES SINGLE FAMILY,RESIDENTIAL,2386.35096071704,301205.23946248
9,2579929.22553,7102.19044945,10,945,178,R1,RES SINGLE FAMILY,RESIDENTIAL,7102.18970078832,2579929.05997312
10,290581.368241,2606.06214197,11,851,178,R1,RES SINGLE FAMILY,RESIDENTIAL,2606.06193214181,290581.396803301
11,224837.584292,2132.57028905,12,4110,320,OTF,OFFICE/TOURIST FACILITY,OFFICE,2132.57038630375,224837.652159604
12,30272.988735,750.080149287,13,3921,4,R4,RES SINGLE FAMILY,RESIDENTIAL,750.080003417357,30272.9756669817
13,244300.416141,2102.8084694,14,963,178,R1,RES SINGLE FAMILY,RESIDENTIAL,2102.80839692482,244300.398227624
14,749204.46783,3839.8657428,15,973,113,R2,RES SINGLE FAMILY,RESIDENTIAL,3839.86575746881,749204.453461668
15,641805.494742,3490.28057362,16,856,320,OTF,OFFICE/TOURIST FACILITY,OFFICE,3490.28064470024,641805.457308472
16,277458.387671,2159.42368386,17,1753,4,R4,RES SINGLE FAMILY,RESIDENTIAL,2159.42349625899,277458.301311712
17,1855765.05698,6874.75431528,18,2188,178,R1,RES SINGLE FAMILY,RESIDENTIAL,6874.75414079207,1855765.15444362
18,929769.773718,3950.9355246,19,884,178,R1,RES SINGLE FAMILY,RESIDENTIAL,3950.93574838457,929769.6690864
19,632353.385434,4165.94822926,20,874,178,R1,RES SINGLE FAMILY,RESIDENTIAL,4165.94872645885,632353.436952177
20,41846.6101326,947.46178148,21,876,178,R1,RES SINGLE FAMILY,RESIDENTIAL,947.461743675042,41846.6013530735
21,736947.581075,3401.89700602,22,878,178,R1,RES SINGLE FAMILY,RESIDENTIAL,3401.89716444637,736947.700882243
22,1027803.88079,5409.16987709,23,2023,129,R3,RES SINGLE FAMILY,RESIDENTIAL,5409.16957442445,1027803.79558306
23,25899.3948816,661.819799977,24,2024,4,R4,RES SINGLE FAMILY,RESIDENTIAL,661.820256192545,25899.4436576753
24,24873.4877548,639.630198784,25,879,4,R4,RES SINGLE FAMILY,RESIDENTIAL,639.63003100519,24873.4989429106
25,1122348.2623,6185.71489954,26,885,178,R1,RES SINGLE FAMILY,RESIDENTIAL,6185.71447997182,1122348.22462394
26,180289.957336,2295.03429439,27,1013,334,OR1,OFFICE/RES,OFFICE,2295.0349018671,180290.017962789
27,982405.549653,4527.88773174,28,881,178,R1,RES SINGLE FAMILY,RESIDENTIAL,4527.88816972699,982405.631368982
28,750533.578371,3490.2633415,29,882,113,R2,RES SINGLE FAMILY,RESIDENTIAL,3490.26343010786,750533.800087306
29,1692209.54611,9447.64785383,30,392,178,R1,RES SINGLE FAMILY,RESIDENTIAL,9447.64743576304,1692209.49026451
30,435987.316391,2658.91198932,31,401,113,R2,RES SINGLE FAMILY,RESIDENTIAL,2658.91188884237,435987.265668382
31,1652463.86954,8388.94891641,32,4269,4,R4,RES SINGLE FAMILY,RESIDENTIAL,8388.94944913506,1652464.00422657
32,2744180.97743,9473.64101499,33,1823,12,M2,INDUSTRIAL,INDUSTRIAL,9473.64081240088,2744180.79308654
33,332275.360773,2328.23243414,34,4166,9,M1,INDUSTRIAL,INDUSTRIAL,2328.23259990035,332275.360940741
34,7144384.00792,12017.8738821,35,1952,15,M3,INDUSTRIAL,INDUSTRIAL,12017.8734935432,7144383.75481931
35,193236.311052,2044.5747821,36,424,149,RE,RES ESTATE,RESIDENTIAL,2044.57479190513,193236.328161256
36,539078.88226,3105.97647639,37,431,149,RE,RES ESTATE,RESIDENTIAL,3105.97620860776,539078.830763232
37,368369.666738,2490.98005445,38,456,113,R2,RES SINGLE FAMILY,RESIDENTIAL,2490.98027772202,368369.633644494
38,346123.030256,2499.61338358,39,1099,9,M1,INDUSTRIAL,INDUSTRIAL,2499.61389893961,346123.043040653
39,668779.133373,3535.52936969,40,484,129,R3,RES SINGLE FAMILY,RESIDENTIAL,3535.5291718247,668779.177218145
40,110032.89829,1540.55809433,41,1972,4,R4,RES SINGLE FAMILY,RESIDENTIAL,1540.55807388663,110032.857640932
41,225121.631236,2347.2317957,42,492,15,M3,INDUSTRIAL,INDUSTRIAL,2347.23170723618,225121.684202508
42,443754.820965,3463.18602969,43,4205,178,R1,RES SINGLE FAMILY,RESIDENTIAL,3463.18563849791,443754.700159298
43,24971.2350817,674.165073116,44,4160,9,M1,INDUSTRIAL,INDUSTRIAL,674.165661911284,24971.2814681422
44,118363.642459,1504.84734614,45,3936,4,R4,RES SINGLE FAMILY,RESIDENTIAL,1504.847385578,118363.6436295
45,5811.40212918,305.821622689,46,2909,12,M2,INDUSTRIAL,INDUSTRIAL,305.82181556817,5811.40038001886
46,53517.2301044,1642.4763261,47,4119,12,M2,INDUSTRIAL,INDUSTRIAL,1642.47586941225,53517.1493503988
47,34082.9373239,740.469477688,48,2916,431,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,740.469922163226,34082.9812399209
48,56816.7895508,976.273827662,49,516,4,R4,RES SINGLE FAMILY,RESIDENTIAL,976.273761760164,56816.7866774516
49,35448.441753,941.252091349,50,4120,0,OR,OFFICE/RESIDENTIAL,OFFICE,941.252363976782,35448.4828913415
50,55255.0609078,1148.6831831,51,2009,334,OR1,OFFICE/RES,OFFICE,1148.68312103047,55255.0545648859
51,240622.818367,1962.79442308,52,2939,12,M2,INDUSTRIAL,INDUSTRIAL,1962.79436276028,240622.839921588
52,45364.4859864,903.132169362,53,3961,431,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,903.132606952862,45364.5371880038
53,150124.753894,2248.77301159,54,3728,320,OTF,OFFICE/TOURIST FACILITY,OFFICE,2248.77341995091,150124.786746579
54,35024.5146398,778.476576083,55,526,4,R4,RES SINGLE FAMILY,RESIDENTIAL,778.47622439938,35024.4579226172
55,12810.6047476,550.42689823,56,2973,225,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,550.427053390115,12810.6244304003
56,139188.939338,1823.34541618,57,622,334,OR1,OFFICE/RES,OFFICE,1823.34539496778,139189.115572775
57,2606.20959624,217.935729189,58,3012,431,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,217.936059756092,2606.21715458352
58,5151.33998428,296.70592389,59,3025,221,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,296.706323601938,5151.35442639901
